,Job Title,Experience,Education,Company Name,Salary Estimate,Location,Rating,Is Remote,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape
12,Software Engineer - GIS,2,1,"LJA Engineering
4.1","$88,847 /yr (est.)","Katy, TX",4.1,False,1001 to 5000 Employees,1997,Private Practice / Firm,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$100 to $500 million (USD),4.2,4.1,4.3,4.2,3.9,2023-05-14 14:12:57.393258
13,Software Engineer - CommerceTools,1,2,"Atos Syntel
3.6",$45.24 /hr (est.),Remote,3.6,True,10000+ Employees,1980,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),3.4,3.0,3.5,3.1,3.5,2023-05-14 14:12:59.057802
14,Junior Software Developer (Remote),1,1,SnapRISK,"$68,078 /yr (est.)",Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-14 14:13:00.771843
15,DevOps Engineer - AWS CDK,3,1,"ComTec
2.4",-1,Remote,2.4,True,51 to 200 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,1.4,1.8,1.8,1.8,1.5,2023-05-14 14:13:02.219441
16,Software Engineer,-1,1,Emergeflow Technologies,"$500,000 /yr (est.)",Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-14 14:13:03.856813
17,Software Engineer,2,1,"THIRDHOME
4.3","$100,000 /yr (est.)",Remote,4.3,True,1 to 50 Employees,2010,Company - Private,Real Estate,Real Estate,$1 to $5 million (USD),4.3,4.4,4.3,4.3,4.4,2023-05-14 14:13:05.252064
18,Software Engineer 1,-1,1,"Service Core
4.5","$80,000 /yr (est.)","Denver, CO",4.5,False,Unknown,-1,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,Unknown / Non-Applicable,4.3,3.9,4.4,4.6,4.3,2023-05-14 14:13:06.994775
19,Software Engineer - Recent/Upcoming Graduates,-1,1,"Performance
4.5","$59,740 /yr (est.)","Cedar Rapids, IA",4.5,False,201 to 500 Employees,1998,Company - Private,Software Development,Information Technology,$25 to $100 million (USD),4.1,4.2,4.6,4.4,4.5,2023-05-14 14:13:08.693145
20,Junior Software Engineer,1,1,DataBP,"$85,000 /yr (est.)","New York, NY",-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-14 14:13:10.385890
21,Junior Software Developer,2,1,Springbrook Creek Statement Composition LLC,$31.00 /hr (est.),Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-14 14:13:11.851913
22,Software Engineer - AWS (Remote),4,2,"Stage 4 Solutions Inc
4.6",$88.67 /hr (est.),United States,4.6,False,51 to 200 Employees,2001,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),4.5,4.1,4.5,4.5,4.5,2023-05-14 14:13:13.283169
23,Junior Cloud Engineer,2,2,"Atos Syntel
3.6","$55,000 /yr (est.)","Littleton, CO",3.6,False,10000+ Employees,1980,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),3.4,3.0,3.5,3.1,3.5,2023-05-14 14:13:15.233644
24,Associate Software Engineer,2,1,"Pfizer
4.1","$83,681 /yr (est.)","Pearl River, NY",4.1,False,10000+ Employees,1849,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.8,4.0,4.0,3.6,3.9,2023-05-14 14:13:17.039146
25,Software Development Engineer,7,2,"Intellibus
4.5",$70.00 /hr (est.),Remote,4.5,True,Unknown,2015,Unknown,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.1,4.8,4.4,4.3,4.4,2023-05-14 14:13:18.739826
26,DevOps Engineer,2,2,"Capillary Technologies
4.0","$107,500 /yr (est.)",Remote,4.0,True,501 to 1000 Employees,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.0,3.6,4.2,3.8,3.6,2023-05-14 14:13:20.478929
27,Frontend Engineer,3,1,"Trellis
4.4",-1,Remote,4.4,True,51 to 200 Employees,2012,Company - Private,Advertising & Public Relations,Media & Communication,$5 to $25 million (USD),4.3,4.2,4.3,4.3,4.2,2023-05-14 14:13:22.231388
28,Full Stack Software Engineer,4,1,"Vityl
5.0",-1,Remote,5.0,True,1 to 50 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,5.0,4.3,4.9,4.8,5.0,2023-05-14 14:13:23.994397
29,DevOps Engineer,8,2,Artint Knowledge Tech,$60.00 /hr (est.),"McLean, VA",-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-14 14:13:25.729805
30,Frontend Engineer,3,1,"Trellis
4.4",-1,Remote,4.4,True,51 to 200 Employees,2012,Company - Private,Advertising & Public Relations,Media & Communication,$5 to $25 million (USD),4.3,4.2,4.3,4.3,4.2,2023-05-14 14:13:35.992731
31,Software Development Engineer,7,2,"Intellibus
4.5",$70.00 /hr (est.),Remote,4.5,True,Unknown,2015,Unknown,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.1,4.8,4.4,4.3,4.4,2023-05-14 14:13:37.707736
32,Full Stack Java,1,3,"Fuge Technologies Inc
4.7",$57.50 /hr (est.),Remote,4.7,True,1 to 50 Employees,-1,Contract,-1,-1,Unknown / Non-Applicable,4.7,4.5,4.7,4.3,4.5,2023-05-14 14:13:39.447548
33,Software Engineer - Frontend,4,1,"Kikoff
4.3",-1,Remote,4.3,True,1 to 50 Employees,2019,Company - Private,Banking & Lending,Financial Services,Unknown / Non-Applicable,4.2,4.6,4.2,4.1,4.2,2023-05-14 14:13:41.163818
34,Software Engineer,2,1,Aiden Technology,"$100,000 /yr (est.)",Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-14 14:13:42.951975
35,Software Engineer – Frontend,2,1,"ClimateAI
5.0",-1,Remote,5.0,True,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,4.7,3.3,5.0,4.7,4.7,2023-05-14 14:13:44.375712
36,Associate Software Engineer - Entry Level,3,1,"Network Innovations U.S. Government
3.4","$90,000 /yr (est.)","Frederick, MD",3.4,False,1 to 50 Employees,-1,Company - Public,-1,-1,$5 to $25 million (USD),2.6,2.7,3.3,2.8,3.0,2023-05-14 14:13:46.068298
37,Software Engineer,-1,1,"Jumpseller
4.2",$40.00 /hr (est.),Remote,4.2,True,1 to 50 Employees,2013,Company - Private,Computer Hardware Development,Information Technology,Less than $1 million (USD),3.8,3.9,4.5,4.0,4.5,2023-05-14 14:13:47.827075
38,Frontend Software Engineer (React),4,1,"PracticeGenius LLC
5.0",-1,Remote,5.0,True,51 to 200 Employees,-1,Company - Private,Computer Hardware Development,Information Technology,$5 to $25 million (USD),4.0,4.0,5.0,5.0,4.0,2023-05-14 14:13:49.593639
39,Software Engineer,7,1,"Intone Networks
4.5",$67.50 /hr (est.),"Foster City, CA",4.5,False,201 to 500 Employees,-1,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.4,4.2,4.4,3.8,4.4,2023-05-14 14:13:51.356475
40,Frontend Engineer,4,2,"OpenPhone Technologies
5.0",-1,Remote,5.0,True,51 to 200 Employees,2018,Company - Private,Enterprise Software & Network Solutions,Information Technology,$5 to $25 million (USD),4.8,5.0,4.9,5.0,4.9,2023-05-14 14:13:53.148389
41,AWS Cloud Engineer,-1,2,Kanini,$67.50 /hr (est.),Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-14 14:13:54.903123
42,Frontend Engineer,5,2,"FAAZ Consulting
2.4",$62.50 /hr (est.),"Cerritos, CA",2.4,False,Unknown,-1,Company - Private,Construction,"Construction, Repair & Maintenance Services",Unknown / Non-Applicable,3.3,3.7,2.3,2.7,3.3,2023-05-14 14:13:56.364137
43,DevOps engineer,-1,2,GS SOLUTIONS,$65.00 /hr (est.),Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-14 14:13:58.177803
44,Software Engineer - AWS (Remote),4,2,"Stage 4 Solutions Inc
4.6",$88.67 /hr (est.),United States,4.6,False,51 to 200 Employees,2001,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),4.5,4.1,4.5,4.5,4.5,2023-05-14 14:13:59.632162
45,Engineer Software,3,1,"PAYLOCITY CORPORATION
4.0","$110,595 /yr (est.)",Remote,4.0,True,1001 to 5000 Employees,1997,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),4.0,3.9,4.2,3.8,4.0,2023-05-14 14:14:01.447679
46,Software Engineer,-1,2,"Mosaic Learning, Inc.
3.4","$82,000 /yr (est.)",Remote,3.4,True,51 to 200 Employees,2005,Company - Private,Enterprise Software & Network Solutions,Information Technology,$5 to $25 million (USD),3.0,3.5,3.4,3.0,3.8,2023-05-14 14:14:03.269318
47,Full Stack Software Developer,5,2,Remedy Well,$13.00 /hr (est.),Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-14 14:14:05.109962
48,DevOps Engineer,2,2,"Capillary Technologies
4.0","$107,500 /yr (est.)",Remote,4.0,True,501 to 1000 Employees,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.0,3.6,4.2,3.8,3.6,2023-05-14 14:14:06.579475
49,Software Engineer - Full Stack,20,2,"PayPal
3.9","$124,350 /yr (est.)",California,3.9,False,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),3.5,3.9,4.0,3.4,4.0,2023-05-14 14:14:08.485119
50,DevOps Engineer,8,2,Artint Knowledge Tech,$60.00 /hr (est.),"McLean, VA",-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-14 14:14:10.344816
51,Junior Software Developer,2,1,Springbrook Creek Statement Composition LLC,$31.00 /hr (est.),Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-14 14:14:11.815094
52,Full Stack Engineer,2,1,Big Corporations,$75.00 /hr (est.),Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-14 14:14:13.318253
53,Software Engineer,3,1,Vindhya Data Science,"$105,000 /yr (est.)",Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-14 14:14:14.780934
54,Senior Full-Stack Software Engineer,-1,1,"Chartbeat
4.2","$165,000 /yr (est.)",Remote,4.2,True,51 to 200 Employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,$5 to $25 million (USD),4.0,4.1,4.7,3.7,4.7,2023-05-14 14:14:16.230086
55,Backend Software Engineer (All Skill Levels),1,2,Wolfjaw Studios,"$80,000 /yr (est.)",Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-14 14:14:18.065920
56,Software Engineer – Full Stack,2,1,"ClimateAI
5.0",-1,Remote,5.0,True,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,4.7,3.3,5.0,4.7,4.7,2023-05-14 14:14:19.585492
57,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-14 14:14:21.387097
58,Python Software Engineer,1,1,Rackera Inc,$75.63 /hr (est.),"Boston, MA",-1,False,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,-1,-1,-1,2023-05-14 14:14:22.739984
59,Software Engineer,6,2,"January Technologies
5.0","$135,000 /yr (est.)","San Francisco, CA",5.0,False,51 to 200 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.9,4.4,5.0,5.0,4.9,2023-05-14 14:14:24.555583
60,-1,-1,-1,-1,-1,-1,-1,False,1 to 50 Employees,2019,Company - Private,Banking & Lending,Financial Services,Unknown / Non-Applicable,4.2,4.6,4.2,4.1,4.2,2023-05-14 14:14:35.221603
61,Software Engineer – Frontend,2,1,"ClimateAI
5.0",-1,Remote,5.0,True,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,4.7,3.3,5.0,4.7,4.7,2023-05-14 14:14:37.225436
62,Software Engineer,2,1,Aiden Technology,"$100,000 /yr (est.)",Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-14 14:14:38.942142
63,Software Engineer (JavaScript),3,2,"SoftIron
3.9","$100,000 /yr (est.)","San Diego, CA",3.9,False,51 to 200 Employees,2012,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,4.1,4.1,4.3,4.1,4.1,2023-05-14 14:14:40.455239
64,Software Engineer,-1,2,"Mosaic Learning, Inc.
3.4","$82,000 /yr (est.)",Remote,3.4,True,51 to 200 Employees,2005,Company - Private,Enterprise Software & Network Solutions,Information Technology,$5 to $25 million (USD),3.0,3.5,3.4,3.0,3.8,2023-05-14 14:14:42.343510
65,Software Engineer,3,1,Vindhya Data Science,"$105,000 /yr (est.)",Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-14 14:14:44.243206
66,Kubernetes Engineer,1,3,"Purple Drive Technologies
4.2",$55.00 /hr (est.),"Deerfield, IL",4.2,False,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,3.9,3.7,4.0,4.0,4.2,2023-05-14 14:14:45.751028
67,Software Engineer - Frontend,3,1,"Visibly
4.3",-1,United States,4.3,False,1 to 50 Employees,2013,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,4.3,3.9,4.0,4.0,4.3,2023-05-14 14:14:47.539822
68,DevOps Engineer,-1,2,Seamless Migration LLC,"$102,500 /yr (est.)",Remote,-1,True,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,-1,-1,-1,2023-05-14 14:14:49.338618
69,DevOps Engineer,2,2,"Capillary Technologies
4.0","$107,500 /yr (est.)",Remote,4.0,True,501 to 1000 Employees,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.0,3.6,4.2,3.8,3.6,2023-05-14 14:14:50.993798
70,Software Engineer,-1,1,"PNC Financial Services Group
3.6","$87,184 /yr (est.)","Pittsburgh, PA",3.6,False,10000+ Employees,1845,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.6,3.3,3.7,3.2,3.5,2023-05-14 14:14:52.864553
71,DevOps Engineer - AWS CDK,3,1,"ComTec
2.4",-1,Remote,2.4,True,51 to 200 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,1.4,1.8,1.8,1.8,1.5,2023-05-14 14:14:54.874218
72,Frontend Engineer,4,2,"OpenPhone Technologies
5.0",-1,Remote,5.0,True,51 to 200 Employees,2018,Company - Private,Enterprise Software & Network Solutions,Information Technology,$5 to $25 million (USD),4.8,5.0,4.9,5.0,4.9,2023-05-14 14:14:56.682479
73,Software Engineer,-1,1,"Braintrust
4.6",$106.00 /hr (est.),"San Francisco, CA",4.6,False,51 to 200 Employees,2018,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),4.4,4.5,4.5,4.4,4.3,2023-05-14 14:14:58.511365
74,Software Engineer,6,2,"January Technologies
5.0","$135,000 /yr (est.)","San Francisco, CA",5.0,False,51 to 200 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.9,4.4,5.0,5.0,4.9,2023-05-14 14:15:00.420882
75,"Software Engineer, Frontend",-1,1,"Evertz Microsystems Limited
3.2",-1,Remote,3.2,True,1001 to 5000 Employees,-1,Company - Public,Electronics Manufacturing,Manufacturing,$25 to $100 million (USD),3.2,2.6,2.9,3.0,3.3,2023-05-14 14:15:02.374317
76,Software Engineer (L4) - TV User Interface,-1,1,"Netflix
4.3",-1,Remote,4.3,True,5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD),3.9,4.6,4.2,3.8,3.9,2023-05-14 14:15:04.230759
77,Full Stack Software Developer,5,2,Remedy Well,$13.00 /hr (est.),Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-14 14:15:06.116275
78,DevOps Engineer,2,2,"Acklen Avenue Software
4.0",-1,Remote,4.0,True,51 to 200 Employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),3.9,3.3,4.3,3.8,4.4,2023-05-14 14:15:07.635525
79,Frontend Engineer,3,2,"Drivetrain AI
3.6",-1,Remote,3.6,True,10000+ Employees,1949,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),3.5,3.5,3.4,3.1,3.1,2023-05-14 14:15:09.558695
80,Software Engineer - Full Stack,20,2,"PayPal
3.9","$124,350 /yr (est.)",California,3.9,False,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),3.5,3.9,4.0,3.4,4.0,2023-05-14 14:15:11.418983
81,DevOps engineer,-1,2,GS SOLUTIONS,$65.00 /hr (est.),Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-14 14:15:13.307985
82,Software Engineer,18,1,"Southwest Airlines
4.1","$112,950 /yr (est.)","Dallas, TX",4.1,False,10000+ Employees,1967,Company - Public,"Airlines, Airports & Air Transportation",Transportation & Logistics,$10+ billion (USD),4.1,4.2,4.0,3.5,3.6,2023-05-14 14:15:14.763679
83,Software Engineer,-1,1,"RevaComm
3.9",-1,Remote,3.9,True,51 to 200 Employees,1990,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $100 million (USD),4.2,3.5,4.5,3.9,4.4,2023-05-14 14:15:16.844657
84,Software Engineer I (NST),-1,1,"Nintendo
4.5","$96,997 /yr (est.)","Redmond, WA",4.5,False,5001 to 10000 Employees,-1,Company - Public,Video Game Publishing,Media & Communication,$10+ billion (USD),3.9,4.1,4.3,4.0,3.9,2023-05-14 14:15:18.920152
85,Frontend Software Engineer,16,2,"IZEA Worldwide, Inc
4.0",-1,United States,4.0,False,51 to 200 Employees,2006,Company - Public,Advertising & Public Relations,Media & Communication,$25 to $100 million (USD),3.7,3.6,4.4,4.0,4.3,2023-05-14 14:15:20.819657
86,Software Engineer – Full Stack,2,1,"ClimateAI
5.0",-1,Remote,5.0,True,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,4.7,3.3,5.0,4.7,4.7,2023-05-14 14:15:22.734679
87,Frontend Engineer,6,1,"MagicLinks
3.7","$135,000 /yr (est.)",Remote,3.7,True,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,3.8,3.8,3.8,3.6,4.1,2023-05-14 14:15:24.598918
88,Software Engineer (Full Stack),3,1,"Abbott Laboratories
3.8","$97,800 /yr (est.)","Alameda, CA",3.8,False,10000+ Employees,1888,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),3.5,3.8,3.6,3.2,3.4,2023-05-14 14:15:26.439381
89,Frontend Engineer,-1,1,"CRED Investments
5.0",-1,Remote,5.0,True,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,5.0,5.0,5.0,5.0,5.0,2023-05-14 14:15:28.731233
90,Software Engineer – Frontend,2,1,"ClimateAI
5.0",-1,Remote,5.0,True,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,4.7,3.3,5.0,4.7,4.7,2023-05-14 14:15:39.618692
91,Software Engineer - Frontend,4,1,"Kikoff
4.3",-1,Remote,4.3,True,1 to 50 Employees,2019,Company - Private,Banking & Lending,Financial Services,Unknown / Non-Applicable,4.2,4.6,4.2,4.1,4.2,2023-05-14 14:15:41.466846
92,Software Engineer I (NST),-1,1,"Nintendo
4.5","$96,997 /yr (est.)","Redmond, WA",4.5,False,5001 to 10000 Employees,-1,Company - Public,Video Game Publishing,Media & Communication,$10+ billion (USD),3.9,4.1,4.3,4.0,3.9,2023-05-14 14:15:43.462745
93,Software Engineer – Full Stack,2,1,"ClimateAI
5.0",-1,Remote,5.0,True,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,4.7,3.3,5.0,4.7,4.7,2023-05-14 14:15:45.407694
94,Software Engineer I,2,1,"Apollo Medical Holdings
3.9","$85,000 /yr (est.)",Remote,3.9,True,1 to 50 Employees,-1,Company - Private,Health Care Services & Hospitals,Healthcare,Less than $1 million (USD),3.5,2.9,3.9,2.9,3.5,2023-05-14 14:15:47.297326
95,Frontend Engineer,3,2,"Drivetrain AI
3.6",-1,Remote,3.6,True,10000+ Employees,1949,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),3.5,3.5,3.4,3.1,3.1,2023-05-14 14:15:49.272746
96,Software Engineer,-1,1,"Jumpseller
4.2",$40.00 /hr (est.),Remote,4.2,True,1 to 50 Employees,2013,Company - Private,Computer Hardware Development,Information Technology,Less than $1 million (USD),3.8,3.9,4.5,4.0,4.5,2023-05-14 14:15:51.251179
97,Senior Full-Stack Software Engineer,-1,1,"Chartbeat
4.2","$165,000 /yr (est.)",Remote,4.2,True,51 to 200 Employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,$5 to $25 million (USD),4.0,4.1,4.7,3.7,4.7,2023-05-14 14:15:53.271768
98,Software Engineer (L4) - TV User Interface,-1,1,"Netflix
4.3",-1,Remote,4.3,True,5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD),3.9,4.6,4.2,3.8,3.9,2023-05-14 14:15:55.286815
99,Software Engineer - Full Stack,20,2,"PayPal
3.9","$124,350 /yr (est.)",California,3.9,False,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),3.5,3.9,4.0,3.4,4.0,2023-05-14 14:15:57.257296
100,Full Stack Software Engineer,-1,1,"Packback Inc
3.1","$96,500 /yr (est.)",Remote,3.1,True,51 to 200 Employees,2012,Company - Private,Education & Training Services,Education,Unknown / Non-Applicable,3.2,2.9,3.4,3.1,3.5,2023-05-14 14:15:59.236863
101,Full Stack Software Engineer,-1,1,"Green Hills Software
3.7",$50.00 /hr (est.),"Santa Barbara, CA",3.7,False,201 to 500 Employees,1982,Company - Private,Computer Hardware Development,Information Technology,$100 to $500 million (USD),3.6,4.1,3.2,3.0,3.7,2023-05-14 14:16:01.238793
102,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-14 14:16:03.210743
103,DevOps Engineer,2,2,"Capillary Technologies
4.0","$107,500 /yr (est.)",Remote,4.0,True,501 to 1000 Employees,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.0,3.6,4.2,3.8,3.6,2023-05-14 14:16:04.454567
104,Frontend Engineer (ReactJS),5,2,"Scalio
4.6",-1,Remote,4.6,True,1 to 50 Employees,2011,Company - Private,Software Development,Information Technology,$1 to $5 million (USD),4.5,4.6,4.7,4.6,4.6,2023-05-14 14:16:06.481919
105,Software Engineer,3,1,Vindhya Data Science,"$105,000 /yr (est.)",Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-14 14:16:08.449197
106,DevOps Engineer,-1,2,Seamless Migration LLC,"$102,500 /yr (est.)",Remote,-1,True,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,-1,-1,-1,2023-05-14 14:16:09.996654
107,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-14 14:16:11.764346
108,Software Engineer (Full Stack) - Remote,5,2,"TeamOne Logistics
4.0","$125,000 /yr (est.)","Dallas, TX",4.0,False,501 to 1000 Employees,2003,Company - Private,Taxi & Car Services,Transportation & Logistics,$25 to $100 million (USD),3.3,3.7,3.1,3.5,3.5,2023-05-14 14:16:13.004249
109,Software Engineer,-1,1,"PHNTM
5.0","$125,000 /yr (est.)",Remote,5.0,True,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,4.0,5.0,5.0,5.0,5.0,2023-05-14 14:16:15.037337
110,Software Engineer,18,1,"Southwest Airlines
4.1","$112,950 /yr (est.)","Dallas, TX",4.1,False,10000+ Employees,1967,Company - Public,"Airlines, Airports & Air Transportation",Transportation & Logistics,$10+ billion (USD),4.1,4.2,4.0,3.5,3.6,2023-05-14 14:16:17.013732
