,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time Unit
15,"$160,000 /yr (est.)",160000.0,AWS Cloud Engineer,4,1,-1,"DSM Infocom
2.5","Bethesda, MD",2.5,0,-1,-1,-1,-1,-1,-1,-1,2.7,2.1,2.6,2.4,2.5,yr
16,"$56,437 /yr (est.)",56437.0,Associate End User Computing Support Analyst,0,2,0,"PAYLOCITY CORPORATION
4.0","Lake Mary, FL",4.0,0,26,1001 to 5000 Employees,1997,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),4.0,4.0,4.2,3.9,4.0,yr
17,$75.00 /hr (est.),156000.0,Data Engineer,8,1,-1,"BigLynx Computer Software
4.9","Redmond, WA",4.9,0,-1,-1,-1,-1,-1,-1,-1,4.8,4.5,4.8,4.9,4.8,hr
18,"$88,750 /yr (est.)",88750.0,Jr. Web Developer,3,1,0,"webfx.com
4.3","Ann Arbor, MI",4.3,0,28,501 to 1000 Employees,1995,Company - Private,Internet & Web Services,Information Technology,$100 to $500 million (USD),4.4,4.1,4.4,4.3,4.1,yr
20,"$75,000 /yr (est.)",75000.0,Junior Cloud Engineer,0,1,0,"Technergetics
5.0","Utica, NY",5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,yr
21,$65.00 /hr (est.),135200.0,Cloud Engineer - AWS/Azure,3,1,-1,Pragma Inc,"Orange, CT",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,hr
22,$60.00 /hr (est.),124800.0,DevOps Engineer,-1,-1,-1,"Maven Workforce Pvt. Ltd.
4.1","Berkeley Heights, NJ",4.1,0,15,51 to 200 Employees,2008,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,4.2,4.0,4.3,4.3,4.1,hr
23,"$118,600 /yr (est.)",118600.0,Cloud DevOps Engineer,0,1,1,"Southwest Airlines
4.1","Dallas, TX",4.1,0,56,10000+ Employees,1967,Company - Public,"Airlines, Airports & Air Transportation",Transportation & Logistics,$10+ billion (USD),4.1,4.2,4.0,3.5,3.6,yr
31,"$147,500 /yr (est.)",147500.0,Cloud Engineer (AWS),4,1,-1,"Doran Jones
3.9","New York, NY",3.9,0,-1,-1,-1,-1,-1,-1,-1,3.8,3.1,3.7,3.8,3.6,yr
33,$66.00 /hr (est.),137280.0,Azure Cloud Architect,10,2,1,"Triveni IT
4.6",Remote,4.6,1,-1,-1,-1,-1,-1,-1,-1,4.9,4.5,4.6,4.6,4.7,hr
34,"$140,500 /yr (est.)",140500.0,IBM Cloud Architect,10,1,1,"IBM
4.0","Austin, TX",4.0,0,112,10000+ Employees,1911,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.9,3.7,4.0,3.5,4.0,yr
35,"$98,500 /yr (est.)",98500.0,Cloud Engineer,3,2,-1,"E-Logic, Inc.
4.4","Sacramento, CA",4.4,0,16,1 to 50 Employees,2007,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3.4,2.3,5.0,4.6,4.6,yr
36,"$110,147 /yr (est.)",110147.0,Software Engineer - Remote,-1,-1,-1,"Mayo Clinic
3.9","Rochester, MN",3.9,0,-1,-1,-1,-1,-1,-1,-1,3.9,3.8,3.9,3.4,3.5,yr
43,"$109,873 /yr (est.)",109873.0,Frontend Engineer (UI),2,1,0,"Tessell, Inc.
5.0","San Francisco, CA",5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,yr
44,$66.43 /hr (est.),138174.4,DevOps Engineer,0,2,-1,Software concept LLC,"Sturgis, MI",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,hr
46,$43.89 /hr (est.),91291.2,Operations Support/Cloud Engineer - ITS4,1,1,0,"State of Minnesota
3.9","Saint Paul, MN",3.9,0,56,10000+ Employees,1967,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,3.4,4.0,3.5,3.2,3.9,hr
47,"$147,500 /yr (est.)",147500.0,Cloud Engineer,5,1,-1,"State Street
3.5","Boston, MA",3.5,0,231,10000+ Employees,1792,Company - Public,Investment & Asset Management,Financial Services,$10+ billion (USD),3.5,3.2,3.5,3.2,3.4,yr
49,"$110,147 /yr (est.)",110147.0,Software Engineer - Remote,2,1,1,"Mayo Clinic
3.9","Rochester, MN",3.9,0,-1,-1,-1,-1,-1,-1,-1,3.9,3.8,3.9,3.4,3.5,yr
51,"$101,725 /yr (est.)",101725.0,Hybrid Cloud Engineer,5,1,-1,"Anne Arundel Community College
4.3","Arnold, MD",4.3,0,56,501 to 1000 Employees,1967,College / University,Colleges & Universities,Education,$100 to $500 million (USD),3.3,3.4,4.0,3.8,4.3,yr
52,"$75,000 /yr (est.)",75000.0,Junior DevOps Engineer,1,1,0,"University of Texas at Austin
4.2","Austin, TX",4.2,0,140,10000+ Employees,1883,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),3.9,3.5,4.0,3.8,4.0,yr
53,"$96,625 /yr (est.)",96625.0,Junior Cloud Infrastructure Engineer,6,1,-1,"Applied Insight
3.5","Laurel, MD",3.5,0,-1,-1,-1,-1,-1,-1,-1,3.5,3.9,3.6,3.2,4.0,yr
54,"$90,525 /yr (est.)",90525.0,Data Analyst,0,1,1,"Blend
3.2",United States,3.2,0,11,1001 to 5000 Employees,2012,Company - Public,Banking & Lending,Financial Services,Unknown / Non-Applicable,3.0,3.6,3.4,2.9,3.7,yr
64,"$98,930 /yr (est.)",98930.0,Software and Data Junior Engineer,0,1,0,"MIT
4.3","Cambridge, MA",4.3,0,162,10000+ Employees,1861,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),4.2,3.7,4.1,3.7,3.6,yr
65,$45.00 /hr (est.),93600.0,Cloud Big-Data Engineer,5,2,1,"PhasorSoft Group
4.0","Starkville, MS",4.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,hr
66,"$111,977 /yr (est.)",111977.0,AWS Cloud Data Engineer,3,1,-1,"SEFCU
3.4","Albany, NY",3.4,0,70,201 to 500 Employees,1953,Nonprofit Organization,Banking & Lending,Financial Services,Unknown / Non-Applicable,2.8,3.9,3.5,3.1,3.6,yr
69,"$117,500 /yr (est.)",117500.0,Cloud Consultant - AWS,5,1,-1,"Sourced Group, an Amdocs Company","Denver, CO",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,yr
70,"$105,000 /yr (est.)",105000.0,Software Engineer,3,1,-1,Vindhya Data Science,Remote,-1.0,1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,yr
71,"$93,000 /yr (est.)",93000.0,"Software Engineer - Parallel Computing, AWS (Hybrid - 3 Days in Office)",0,1,0,"Freddie Mac
3.4","McLean, VA",3.4,0,53,5001 to 10000 Employees,1970,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.3,3.6,3.4,2.6,3.4,yr
80,"$57,500 /yr (est.)",57500.0,Data Center Specialist,3,2,1,"IBM
4.0","Irving, TX",4.0,0,112,10000+ Employees,1911,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.9,3.7,4.0,3.5,4.0,yr
83,$71.50 /hr (est.),148720.0,DATA ENGINEER,0,1,-1,"STAND 8
4.4",Remote,4.4,1,-1,-1,-1,-1,-1,-1,-1,4.0,4.1,4.7,4.7,4.4,hr
84,"$71,034 /yr (est.)",71034.0,"IT Analyst I, Cybersecurity",3,1,-1,"AGCO
3.9","Duluth, GA",3.9,0,33,10000+ Employees,1990,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD),3.4,3.6,3.6,3.3,3.5,yr
85,"$170,500 /yr (est.)",170500.0,Security Analyst,4,2,1,"IBM
4.0","Dallas, TX",4.0,0,112,10000+ Employees,1911,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.9,3.7,4.0,3.5,4.0,yr
86,"$135,000 /yr (est.)",135000.0,Data Engineer,5,1,1,"Pallidus, Inc
3.7",Remote,3.7,1,-1,-1,-1,-1,-1,-1,-1,3.5,2.5,2.8,3.4,3.0,yr
90,"$176,675 /yr (est.)",176675.0,Senior Data Analyst,5,1,1,"Coinbase
3.7",Remote,3.7,1,11,501 to 1000 Employees,2012,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.7,4.5,3.6,3.2,3.5,yr
92,"$105,049 /yr (est.)",105049.0,Data Engineer,0,2,1,"Intertech, Inc
4.4","Minnetonka, MN",4.4,0,32,51 to 200 Employees,1991,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.3,4.2,4.6,4.5,4.5,yr
110,"$90,000 /yr (est.)",90000.0,Senior Data Engineer,10,1,-1,"spar information systems
3.5",Remote,3.5,1,11,201 to 500 Employees,2012,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),3.6,3.5,3.4,3.6,3.6,yr
174,"$88,750 /yr (est.)",88750.0,Jr Software Engineer,3,1,0,"webfx.com
4.3","Ann Arbor, MI",4.3,0,28,501 to 1000 Employees,1995,Company - Private,Internet & Web Services,Information Technology,$100 to $500 million (USD),4.4,4.1,4.4,4.3,4.1,yr
204,$50.00 /hr (est.),104000.0,Remote - SQL Developer,4,1,1,First-Tek Inc,"New York, NY",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,hr
211,$82.50 /hr (est.),171600.0,Cloud Transformation Consultant,-1,-1,-1,"Synovize
5.0",Remote,5.0,1,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,hr
274,$77.50 /hr (est.),161200.0,Cloud Infrastructure Engineer,-1,-1,-1,"Devcare Solutions
3.7","Trenton, NJ",3.7,0,18,51 to 200 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.6,3.9,3.5,3.5,3.6,hr
299,"$57,500 /yr (est.)",57500.0,Data Center Specialist,-1,-1,-1,"IBM
4.0","Irving, TX",4.0,0,112,10000+ Employees,1911,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.9,3.7,4.0,3.5,4.0,yr
304,"$88,750 /yr (est.)",88750.0,-1,-1,-1,-1,-1,"Ann Arbor, MI",4.3,0,28,501 to 1000 Employees,1995,Company - Private,Internet & Web Services,Information Technology,$100 to $500 million (USD),4.4,4.1,4.4,4.3,4.1,yr
334,$30.00 /hr (est.),62400.0,Scripting and Programming Foundations (Complex)|| Fresher,-1,-1,-1,"Hurix Digital
3.2",Remote,3.2,1,23,501 to 1000 Employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.2,3.0,3.1,3.0,3.0,hr
345,$60.00 /hr (est.),124800.0,DevOps Engineer,7,1,-1,"Maven Workforce Pvt. Ltd
4.1","Berkeley Heights, NJ",4.1,0,15,51 to 200 Employees,2008,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,4.2,4.0,4.3,4.3,4.1,hr
394,$50.00 /hr (est.),104000.0,Remote - SQL Developer,-1,-1,-1,First-Tek Inc,"New York, NY",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,hr
427,$65.00 /hr (est.),135200.0,Cloud Engineer - AWS/Azure,-1,-1,-1,Pragma Inc,"Orange, CT",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,hr
437,$67.50 /hr (est.),140400.0,Cloud Engineer,-1,-1,-1,CloudXoo,Remote,-1.0,1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,hr
0,$30.00 /hr (est.),62400.0,Web Development Foundations (Complex) || Fresher,5,1,1,Hurix Digital,Remote,3.2,1,23,501 to 1000 Employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.2,3.0,3.1,3.0,3.0,hr
1,"$50,000 /yr (est.)",50000.0,Frontend engineer,1,2,1,Arvist,Remote,-1.0,1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,yr
2,"$82,299 /yr (est.)",82299.0,XSELLARATE WEB DEVELOPMENT & MERCHANT SERVICES,1,1,-1,BPS,Remote,-1.0,1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,yr
3,$22.00 /hr (est.),45760.0,Jr. Web Developer,1,1,0,HiFi Design,Remote,-1.0,1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,hr
4,"$63,473 /yr (est.)",63473.0,Associate Web App Engineer,0,1,0,Hyperspace Ventures,"Durham, NC",4.2,0,6,1 to 50 Employees,2017,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.5,4.0,4.7,4.5,4.5,yr
5,$15.00 /hr (est.),31200.0,Project Coordinator for Web Development Company,-1,-1,-1,Gretrix LLC,Remote,4.3,1,-1,-1,-1,-1,-1,-1,-1,4.3,2.9,3.8,3.3,4.0,hr
6,"$167,000 /yr (est.)",167000.0,Frontend Software Engineer,4,1,1,Zillow,Remote,3.9,1,18,5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $5 billion (USD),3.6,4.0,4.1,3.4,4.2,yr
7,"$57,500 /yr (est.)",57500.0,Web Quality Assurance Engineer - Remote,3,1,-1,Provision IAM,Remote,-1.0,1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,yr
8,"$95,000 /yr (est.)",95000.0,Full Stack Web Developer (Contract to hire),5,1,1,NovaWurks,Remote,-1.0,1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,yr
9,$40.00 /hr (est.),83200.0,WEB CONTENT PROGRAMMER,5,2,-1,Princeton IT Services,Remote,4.2,1,15,1 to 50 Employees,2008,Private Practice / Firm,Information Technology Support Services,Information Technology,$1 to $5 million (USD),3.9,3.9,3.9,3.9,4.3,hr
10,"$70,414 /yr (est.)",70414.0,Junior Web Developer,1,1,-1,Crunchapps,"New York, NY",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,yr
11,"$100,000 /yr (est.)",100000.0,Frontend Developer,3,1,-1,WPROMOTE,Remote,3.9,1,22,501 to 1000 Employees,2001,Company - Private,Advertising & Public Relations,Media & Communication,$100 to $500 million (USD),3.8,3.6,4.0,3.6,3.9,yr
12,$62.50 /hr (est.),130000.0,Web and Graphics Designer,0,1,-1,Creator Marketing,Remote,-1.0,1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,hr
13,"$60,717 /yr (est.)",60717.0,Web Development,0,1,0,Family Reunion,"Vienna, VA",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,yr
14,$45.00 /hr (est.),93600.0,Freelance Web Designer (Contract),0,1,-1,Loopdash,Remote,-1.0,1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,hr
15,"$95,000 /yr (est.)",95000.0,Full Stack Engineer,0,2,1,Endurance Warranty Services,Remote,3.4,1,17,201 to 500 Employees,2006,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),3.3,3.5,3.2,3.0,3.3,yr
16,"$71,327 /yr (est.)",71327.0,Web Development (Front End),2,1,-1,JEMSU,"Denver, CO",4.2,0,13,1 to 50 Employees,2010,Company - Private,Advertising & Public Relations,Media & Communication,$1 to $5 billion (USD),4.0,3.5,4.4,3.9,4.3,yr
17,"$88,750 /yr (est.)",88750.0,Jr. Web Developer,3,1,0,webfx.com,"Ann Arbor, MI",4.3,0,28,501 to 1000 Employees,1995,Company - Private,Internet & Web Services,Information Technology,$100 to $500 million (USD),4.4,4.1,4.4,4.3,4.1,yr
18,"$68,078 /yr (est.)",68078.0,Junior Software Developer (Remote),1,1,0,SnapRISK,Remote,-1.0,1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,yr
19,"$70,000 /yr (est.)",70000.0,Jr Frontend Developer,10,1,1,Modernize Home Services,"Austin, TX",4.1,0,18,51 to 200 Employees,2005,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.1,4.0,4.3,4.1,4.2,yr
20,"$80,000 /yr (est.)",80000.0,Frontend Engineer (Remote),2,1,1,Leaf Logistics,Remote,4.0,1,6,1 to 50 Employees,2017,Company - Private,Taxi & Car Services,Transportation & Logistics,Unknown / Non-Applicable,3.9,4.2,3.9,3.8,4.5,yr
21,"$90,735 /yr (est.)",90735.0,Frontend Web Developer,0,2,-1,Tasktoday,"Newark, CA",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,yr
22,"$70,000 /yr (est.)",70000.0,Jr Frontend Developer,0,1,-1,QuinStreet,"Austin, TX",4.0,0,24,501 to 1000 Employees,1999,Company - Public,Advertising & Public Relations,Media & Communication,$500 million to $1 billion (USD),3.9,3.8,3.9,3.7,4.1,yr
23,"$88,424 /yr (est.)",88424.0,Frontend Engineer,0,1,1,Loft Orbital Solutions,"Toulouse, KY",4.6,0,6,1 to 50 Employees,2017,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,4.6,4.1,4.7,4.6,3.5,yr
24,$15.00 /hr (est.),31200.0,Project Coordinator for Web Development Company,0,1,1,Gretrix,Remote,4.3,1,-1,-1,-1,-1,-1,-1,-1,4.3,2.9,3.8,3.3,4.0,hr
25,"$115,000 /yr (est.)",115000.0,Frontend Software Engineer - React,0,2,-1,"Search Leaders, LLC",Minnesota,3.8,0,25,1 to 50 Employees,1998,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,4.1,3.8,4.1,4.1,4.2,yr
26,$30.00 /hr (est.),62400.0,Web Designer,3,1,-1,Graybill Creative,Remote,-1.0,1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,hr
27,"$64,250 /yr (est.)",64250.0,Frontend Engineer Apprenticeship,0,1,0,Fetch,"Madison, WI",3.7,0,10,501 to 1000 Employees,2013,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.7,3.8,3.7,3.3,3.8,yr
28,"$78,250 /yr (est.)",78250.0,Frontend Web Developer,0,1,-1,Firefly Dimension,"San Jose, CA",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,yr
29,"$65,000 /yr (est.)",65000.0,Web Designer,2,1,-1,Einstein Industries,Remote,3.6,1,28,51 to 200 Employees,1995,Company - Private,Advertising & Public Relations,Media & Communication,$5 to $25 million (USD),3.4,3.2,3.8,3.4,3.9,yr
30,"$102,500 /yr (est.)",102500.0,Web Developer,2,1,1,The New York Times,"New York, NY",3.7,0,127,1001 to 5000 Employees,1896,Company - Public,Broadcast Media,Media & Communication,$1 to $5 billion (USD),3.6,3.5,4.0,3.5,3.9,yr
31,"$110,000 /yr (est.)",110000.0,Web Developer,2,1,1,A10 Networks,"San Jose, CA",4.1,0,19,501 to 1000 Employees,2004,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),3.8,3.8,3.8,3.9,4.4,yr
32,"$10,000 /mo (est.)",120000.0,Web Developer/Programmer,0,1,-1,Vegan Liftz,"San Clemente, CA",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,mo
33,"$113,809 /yr (est.)",113809.0,Frontend Engineer,2,2,1,Rephrase.ai,"San Francisco, CA",3.9,0,-1,-1,-1,-1,-1,-1,-1,3.4,2.8,3.1,3.4,2.7,yr
34,"$120,000 /yr (est.)",120000.0,"Software Developer, Frontend",2,1,-1,DISQO,Remote,4.5,1,8,201 to 500 Employees,2015,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.1,4.3,4.2,4.1,4.2,yr
35,$18.00 /hr (est.),37440.0,Junior Web Developer and Designer,1,1,0,Craft & Communicate,Remote,-1.0,1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,hr
36,"$103,193 /yr (est.)",103193.0,React JS Developer,7,1,-1,cortracker inc,"Monterey, IN",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,yr
37,"$55,000 /yr (est.)",55000.0,Web Developer,1,1,-1,Region 6 ESC,"Huntsville, TX",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,yr
38,"$119,218 /yr (est.)",119218.0,Frontend engineer,0,2,-1,Trood,"New York, NY",5.0,0,-1,-1,-1,-1,-1,-1,-1,4.6,4.4,5.0,4.4,5.0,yr
47,"$45,000 /yr (est.)",45000.0,Junior Web Designer & Front-End Developer,0,1,1,Fame Foundry,"Charlotte, NC",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,yr
48,"$160,000 /yr (est.)",160000.0,Frontend Engineer,4,2,-1,BW Talent Solutions,"San Francisco, CA",4.4,0,20,51 to 200 Employees,2003,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,4.4,4.2,4.4,4.4,4.3,yr
49,"$72,760 /yr (est.)",72760.0,Front end Developer,0,2,-1,Gazelle Global Consulting,Remote,3.6,1,-1,-1,-1,-1,-1,-1,-1,3.3,3.6,3.6,3.4,3.5,yr
51,"$126,015 /yr (est.)",126015.0,FrontEnd (React) Developer - Remote,3,1,1,CEDARS-SINAI,"Los Angeles, CA",4.1,0,121,10000+ Employees,1902,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),4.0,4.0,4.0,3.6,3.6,yr
52,"$60,693 /yr (est.)",60693.0,Frontend Engineer Apprenticeship,0,1,0,Fetch,"Birmingham, AL",3.7,0,10,501 to 1000 Employees,2013,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.7,3.8,3.7,3.3,3.8,yr
53,"$105,000 /yr (est.)",105000.0,Front End Developer,10,1,-1,Redvest App,Remote,5.0,1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,yr
54,"$104,726 /yr (est.)",104726.0,Frontend Engineer,5,1,1,Wonders Corporation,"New York, NY",3.1,0,11,201 to 500 Employees,2012,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,3.8,4.0,3.5,3.3,3.5,yr
56,"$75,000 /yr (est.)",75000.0,Web Designer II,2,1,1,Web Tech Fusion,Remote,-1.0,1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,yr
58,"$140,000 /yr (est.)",140000.0,Frontend Engineer,1,1,-1,Hive,"San Francisco, CA",3.8,0,-1,-1,-1,-1,-1,-1,-1,3.3,3.6,3.7,3.0,4.1,yr
