,Job Title,Experience,Position,Education,Company Name,Salary Estimate,Location,Rating,Is Remote,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape
10,Core Java/J2EE developer,10,-1,1,"SAM NETWORK SYSTEMS
5.0",$52.50 /hr (est.),"Reston, VA",5.0,False,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,5.0,5.0,5.0,5.0,5.0,2023-05-11 23:25:15.108309
11,Software Developer,1,-1,0,Cornucopia Living LLC,$30.00 /hr (est.),Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-11 23:25:16.773618
12,Junior Software Developer,2,-1,0,"InterConnect Wiring
3.7","$67,500 /yr (est.)","Fort Worth, TX",3.7,False,51 to 200 Employees,1993,Company - Private,Aerospace & Defense,Aerospace & Defense,$5 to $25 million (USD),3.5,3.4,3.8,3.6,3.7,2023-05-11 23:25:18.211811
13,Junior Software Developer,5,0,0,"Kiss Products
2.8","$84,897 /yr (est.)","Port Washington, NY",2.8,False,501 to 1000 Employees,1989,Company - Private,Consumer Product Manufacturing,Manufacturing,$500 million to $1 billion (USD),3.2,2.8,2.9,2.6,2.7,2023-05-11 23:25:19.963607
14,JUNIOR SOFTWARE DEVELOPER,-1,0,0,"Bureau Veritas
3.4",-1,Remote,3.4,True,10000+ Employees,1828,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD),3.1,3.0,3.4,3.1,3.2,2023-05-11 23:25:21.797830
15,AWS FULL STACK DEVELOPER,9,1,0,Next Gen It,$90.00 /hr (est.),"New York, NY",-1,False,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,-1,-1,-1,2023-05-11 23:25:23.626459
16,"Software Developer, Frontend",-1,-1,0,"DISQO
4.5","$120,000 /yr (est.)",Remote,4.5,True,201 to 500 Employees,2015,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.1,4.3,4.2,4.1,4.2,2023-05-11 23:25:25.211231
17,Software Developer,-1,-1,1,"Rite-Solutions, Inc.
4.7","$86,285 /yr (est.)","Dahlgren, VA",4.7,False,201 to 500 Employees,1999,Company - Private,Computer Hardware Development,Information Technology,$25 to $100 million (USD),4.4,4.3,4.8,4.6,4.6,2023-05-11 23:25:26.921325
18,Software Developer,5,1,0,"OpenDrives
4.3","$145,000 /yr (est.)",Remote,4.3,True,51 to 200 Employees,2011,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,4.3,4.2,4.3,4.0,3.5,2023-05-11 23:25:28.886192
19,Frontend UI Developer,7,-1,1,"Resolvetech Solutions
4.0","$105,000 /yr (est.)","Irving, TX",4.0,False,51 to 200 Employees,2010,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),3.7,3.8,3.7,3.5,3.9,2023-05-11 23:25:30.630709
20,Java Full Stack Developer 021,5,1,1,Reuben Cooley Inc.,$72.50 /hr (est.),"Charlotte, NC",-1,False,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,-1,-1,-1,2023-05-11 23:25:32.385124
21,JUNIOR SOFTWARE DEVELOPER,3,0,0,"Carthage System
3.1","$76,898 /yr (est.)","Carthage, IL",3.1,False,501 to 1000 Employees,2000,Company - Private,Animal Production,Agriculture,Unknown / Non-Applicable,3.5,3.3,3.0,3.2,2.0,2023-05-11 23:25:34.020676
22,Junior Software Developer,12,0,0,"Samsill Corporation
3.2","$61,500 /yr (est.)","Fort Worth, TX",3.2,False,51 to 200 Employees,1953,Company - Private,Machinery Manufacturing,Manufacturing,$25 to $100 million (USD),2.9,2.8,3.4,3.0,2.7,2023-05-11 23:25:35.797299
23,Software Developer,2,-1,0,"Envision Pharma Group
4.0",-1,Remote,4.0,True,501 to 1000 Employees,2001,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$25 to $100 million (USD),4.1,4.0,4.3,3.9,4.1,2023-05-11 23:25:37.605505
24,Jr Software Engineer,3,0,0,"webfx.com
4.3","$88,750 /yr (est.)","Ann Arbor, MI",4.3,False,501 to 1000 Employees,1995,Company - Private,Internet & Web Services,Information Technology,$100 to $500 million (USD),4.3,4.2,4.4,4.3,4.1,2023-05-11 23:25:39.317140
25,Apigee API Software Developer,-1,1,1,"QUALTECH RPO PVT LTD
5.0",$55.00 /hr (est.),Remote,5.0,True,51 to 200 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,5.0,4.7,4.9,4.7,5.0,2023-05-11 23:25:41.418152
26,Jr. Web Developer,3,0,0,"webfx.com
4.3","$88,750 /yr (est.)","Ann Arbor, MI",4.3,False,501 to 1000 Employees,1995,Company - Private,Internet & Web Services,Information Technology,$100 to $500 million (USD),4.3,4.2,4.4,4.3,4.1,2023-05-11 23:25:43.281919
27,Python Developer,-1,-1,-1,Okaya Corp,"$140,000 /yr (est.)","New York, NY",-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-11 23:25:45.019815
28,Java Developer,-1,-1,1,"On Demand Agility Software Pvt Ltd
3.9","$130,000 /yr (est.)","Plano, TX",3.9,False,501 to 1000 Employees,2006,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,3.9,3.9,3.9,3.9,4.0,2023-05-11 23:25:46.440009
29,Junior Software Developer,-1,0,0,"Vetro Tech Inc
3.9","$91,500 /yr (est.)","Chicago, IL",3.9,False,Unknown,-1,Company - Public,Staffing & Subcontracting,Human Resources & Staffing,Unknown / Non-Applicable,3.9,3.9,3.4,3.4,3.9,2023-05-11 23:25:48.192650
30,Developer I,-1,-1,0,"Greenshades Software
4.4",-1,Remote,4.4,True,51 to 200 Employees,2002,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.2,4.1,4.3,4.1,4.1,2023-05-11 23:25:59.154907
31,Hadoop Developer,3,1,1,avansait,$62.50 /hr (est.),"Charlotte, NC",-1,False,501 to 1000 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,-1,-1,-1,2023-05-11 23:26:00.851470
32,Junior Developer,1,0,0,"Silverback Strategies
4.5",-1,Remote,4.5,True,1 to 50 Employees,2007,Company - Private,Advertising & Public Relations,Media & Communication,$5 to $25 million (USD),4.2,4.3,4.6,4.3,4.1,2023-05-11 23:26:02.489178
33,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-11 23:26:04.264484
34,Software Developer,3,-1,0,Sigao,"$75,000 /yr (est.)","Birmingham, AL",-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-11 23:26:05.603103
35,Jr .Net Developer,4,-1,1,Rivago infotech Inc.,$35.00 /hr (est.),Remote,-1,True,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,-1,-1,-1,2023-05-11 23:26:07.116994
36,Software Engineer - Recent/Upcoming Graduates,-1,-1,0,"Performance
4.5","$59,740 /yr (est.)","Cedar Rapids, IA",4.5,False,201 to 500 Employees,1998,Company - Private,Software Development,Information Technology,$25 to $100 million (USD),4.1,4.2,4.6,4.4,4.5,2023-05-11 23:26:08.690675
37,Jr. Software Developer,1,1,0,"4Creeks Inc.
4.3",$26.00 /hr (est.),"Visalia, CA",4.3,False,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,4.0,3.5,4.5,3.5,4.0,2023-05-11 23:26:10.525919
38,Jr. ReactJS/NodeJS Developer,2,0,0,"Florida Blue
4.0","$68,600 /yr (est.)",Remote,4.0,True,10000+ Employees,1944,Nonprofit Organization,Insurance Carriers,Insurance,$10+ billion (USD),3.7,3.8,4.1,3.7,4.0,2023-05-11 23:26:12.182894
39,API Developer,5,-1,1,"Global IT
4.3",$50.00 /hr (est.),"Raritan, NJ",4.3,False,51 to 200 Employees,-1,Contract,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.9,4.0,4.4,4.3,4.1,2023-05-11 23:26:13.949250
40,Jr. Developer,-1,0,1,"Helm360
4.0",-1,Remote,4.0,True,201 to 500 Employees,1997,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.0,3.9,4.0,3.8,4.0,2023-05-11 23:26:15.586781
41,AWS Developer,-1,-1,1,Vorizo info tech inc,"$90,193 /yr (est.)",Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-11 23:26:17.277104
42,Software Developer,2,-1,0,"U-PARTS
3.8","$84,040 /yr (est.)","Irvine, CA",3.8,False,1 to 50 Employees,2012,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,3.8,3.5,3.8,3.8,3.5,2023-05-11 23:26:18.781724
43,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-11 23:26:20.534901
44,Software Engineer,2,-1,0,"Polco
4.8","$115,000 /yr (est.)",Remote,4.8,True,51 to 200 Employees,-1,Company - Private,Municipal Agencies,Government & Public Administration,Unknown / Non-Applicable,4.4,4.4,4.7,4.7,5.0,2023-05-11 23:26:21.811704
45,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-11 23:26:23.505393
46,Junior Full Stack Software Engineer,1,0,0,"Octo
4.2",-1,"Reston, VA",4.2,False,1001 to 5000 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),4.0,3.9,4.0,3.9,4.2,2023-05-11 23:26:24.764404
47,Software Engineer (JavaScript),3,-1,1,"SoftIron
3.9","$100,000 /yr (est.)","San Diego, CA",3.9,False,51 to 200 Employees,2012,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,4.1,4.1,4.3,4.1,4.1,2023-05-11 23:26:26.495224
48,Jr Frontend Developer,10,1,0,"Modernize Home Services
4.1","$70,000 /yr (est.)","Austin, TX",4.1,False,51 to 200 Employees,2005,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.1,4.0,4.3,4.1,4.2,2023-05-11 23:26:28.345343
49,Junior Software Developer,2,0,1,"DMI
3.9",-1,Remote,3.9,True,1001 to 5000 Employees,2002,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),3.6,3.7,3.8,3.6,4.0,2023-05-11 23:26:30.089542
50,"Software Developer, Junior",-1,0,0,"Booz Allen Hamilton
4.2","$75,950 /yr (est.)","Charleston, SC",4.2,False,10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD),4.1,3.9,4.3,4.0,4.3,2023-05-11 23:26:31.755589
51,Junior Software Developer,-1,0,0,"RelyMD
1.0","$63,227 /yr (est.)","Atlanta, GA",1.0,False,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,1.0,1.0,1.0,1.0,2.0,2023-05-11 23:26:33.577480
52,Angular Developer,4,-1,0,LikeMinded Software,$50.00 /hr (est.),Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-11 23:26:35.589630
53,Software Developer,6,-1,0,Symplore,$47.50 /hr (est.),"Dallas, TX",-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-11 23:26:37.144714
54,Junior Developer,3,1,0,"AllianceBernstein
3.7","$110,000 /yr (est.)","New York, NY",3.7,False,1001 to 5000 Employees,1967,Company - Public,Investment & Asset Management,Financial Services,$1 to $5 billion (USD),3.5,3.3,3.7,3.4,3.6,2023-05-11 23:26:38.583805
55,Software Developer,-1,1,1,"Woodridge Software
4.5","$97,500 /yr (est.)","Lakewood, CO",4.5,False,1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,3.9,4.0,5.0,3.9,4.5,2023-05-11 23:26:40.278584
56,Junior Level Software Developer,1,0,0,"BeaconFire Solution
4.2","$70,000 /yr (est.)","Princeton, NJ",4.2,False,1 to 50 Employees,2017,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.2,3.6,4.1,4.1,4.0,2023-05-11 23:26:42.134785
57,Software Developer Level 1,5,1,0,"SYSTEM AUTOMATION CORPORATION
4.2",-1,Remote,4.2,True,1 to 50 Employees,-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,Less than $1 million (USD),4.0,3.9,4.6,4.5,4.4,2023-05-11 23:26:44.087661
58,Jr Frontend Developer,12,-1,0,"QuinStreet
4.1","$70,000 /yr (est.)","Austin, TX",4.1,False,501 to 1000 Employees,1999,Company - Public,Advertising & Public Relations,Media & Communication,$500 million to $1 billion (USD),4.0,3.8,4.0,3.7,4.1,2023-05-11 23:26:45.795765
59,Shopify Developer,1,1,0,Zora,$70.00 /hr (est.),Remote,-1,True,1 to 50 Employees,-1,Contract,-1,-1,Unknown / Non-Applicable,-1,-1,-1,-1,-1,2023-05-11 23:26:47.566936
60,Full Stack Java,1,-1,2,"Fuge Technologies Inc
4.7",$57.50 /hr (est.),Remote,4.7,True,1 to 50 Employees,-1,Contract,-1,-1,Unknown / Non-Applicable,4.7,4.5,4.7,4.3,4.5,2023-05-11 23:26:58.531215
61,Java Developer,6,0,0,"Cloud Shift Technologies LLC
5.0",$65.00 /hr (est.),"Denver, CO",5.0,False,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,4.5,4.5,5.0,5.0,5.0,2023-05-11 23:27:00.231636
62,Java AWS Developer ( Only Full Time),3,-1,1,"Kani Solutions Inc.
4.7",$62.50 /hr (est.),"Plano, TX",4.7,False,201 to 500 Employees,2009,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.4,4.3,4.6,4.4,4.5,2023-05-11 23:27:02.046736
63,Trainee - Software Developer,1,0,0,"LeewayHertz
3.7","$90,411 /yr (est.)","San Francisco, CA",3.7,False,51 to 200 Employees,-1,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.8,3.5,3.6,3.6,3.6,2023-05-11 23:27:03.881144
64,Software Developer I,1,1,0,"University of California, Riverside
4.2","$64,400 /yr (est.)","Riverside, CA",4.2,False,1001 to 5000 Employees,-1,College / University,Colleges & Universities,Education,$100 to $500 million (USD),3.7,3.5,4.1,3.8,3.9,2023-05-11 23:27:05.630905
65,Java Developer,8,1,2,Trinity Technologies,$59.26 /hr (est.),"Plano, TX",-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-11 23:27:07.452792
66,Java Developer,7,0,0,"Radiant Digital
3.8","$84,106 /yr (est.)","Tallahassee, FL",3.8,False,201 to 500 Employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.8,3.0,3.7,3.7,3.7,2023-05-11 23:27:08.917577
67,Software Developer,10,1,1,Arreglo Consulting,$45.00 /hr (est.),"Philadelphia, PA",-1,False,1 to 50 Employees,-1,Contract,-1,-1,Unknown / Non-Applicable,-1,-1,-1,-1,-1,2023-05-11 23:27:10.700033
68,Software Developer I,2,1,0,"wovenware
3.7","$48,370 /yr (est.)","San Juan, PR",3.7,False,1 to 50 Employees,-1,Company - Private,Computer Hardware Development,Information Technology,$1 to $5 million (USD),3.6,3.3,4.0,3.5,3.5,2023-05-11 23:27:12.341916
69,Software Engineer (Neo4J/Binqa),5,-1,1,"CBTS
4.2",$70.00 /hr (est.),Remote,4.2,True,501 to 1000 Employees,-1,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),3.9,3.9,4.1,3.9,4.3,2023-05-11 23:27:14.189613
70,Java Developer,-1,-1,0,"7-Eleven
3.3",$60.00 /hr (est.),"Irving, TX",3.3,False,10000+ Employees,1927,Company - Private,Food & Beverage Stores,Retail & Wholesale,$1 to $5 billion (USD),3.1,3.0,3.1,3.0,2.9,2023-05-11 23:27:15.881960
71,Backend Developer,-1,-1,0,"7-Eleven
3.3",$60.00 /hr (est.),"Irving, TX",3.3,False,10000+ Employees,1927,Company - Private,Food & Beverage Stores,Retail & Wholesale,$1 to $5 billion (USD),3.1,3.0,3.1,3.0,2.9,2023-05-11 23:27:17.761831
72,Python Developer,8,-1,1,"American Unit
4.3",$62.50 /hr (est.),"Philadelphia, PA",4.3,False,201 to 500 Employees,2003,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $100 million (USD),3.9,3.7,4.2,4.2,4.0,2023-05-11 23:27:19.573517
73,Java Developer,5,0,0,Think Another LLC,$60.00 /hr (est.),"Tallahassee, FL",-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-11 23:27:21.367338
74,Python Developer,-1,-1,1,MNM TEC LLC,"$122,098 /yr (est.)",Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-11 23:27:22.795953
75,Junior Frontend Developer,12,-1,1,"ECi Software Solutions
4.0",-1,Remote,4.0,True,1001 to 5000 Employees,1999,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.9,3.8,4.0,3.9,4.0,2023-05-11 23:27:24.407885
76,Junior Java Developer,1,-1,0,"DSMH LLC
5.0",$33.50 /hr (est.),"Chicago, IL",5.0,False,1 to 50 Employees,-1,Company - Private,-1,-1,$1 to $5 million (USD),-1,-1,-1,-1,-1,2023-05-11 23:27:26.150417
77,Software Developer I,4,1,0,"SelectQuote
2.9","$57,500 /yr (est.)",Remote,2.9,True,1001 to 5000 Employees,1985,Company - Public,Insurance Agencies & Brokerages,Insurance,$100 to $500 million (USD),3.0,3.0,2.9,2.8,2.7,2023-05-11 23:27:27.730447
78,Java Developer,6,-1,0,Sana Pivot Inc,$65.00 /hr (est.),"O Fallon, MO",-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-11 23:27:29.609494
79,Software Developer (Remote),5,1,0,"Avenu Insights & Analytics
4.3","$55,736 /yr (est.)","Mandeville, LA",4.3,False,501 to 1000 Employees,1989,Company - Private,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,3.9,4.1,4.3,4.2,3.9,2023-05-11 23:27:31.049500
80,Developer I,3,-1,1,"TBX Employee Benefits, LLC
4.1","$58,367 /yr (est.)","Plano, TX",4.1,False,1 to 50 Employees,2013,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,3.8,4.0,4.0,4.3,2023-05-11 23:27:33.112547
81,Java Developer,4,-1,1,"eJAmerica
4.1",$48.89 /hr (est.),"Philadelphia, PA",4.1,False,1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,4.1,4.0,4.0,4.0,4.1,2023-05-11 23:27:34.837572
82,Mobile Application Software Engineer I,0,0,0,"Bread Financial
4.4",-1,Remote,4.4,True,5001 to 10000 Employees,1996,Company - Public,Banking & Lending,Financial Services,$1 to $5 million (USD),4.1,4.6,4.5,4.3,4.1,2023-05-11 23:27:36.613092
83,Software Developer,-1,1,0,"Freedom Consulting Group
4.8","$90,800 /yr (est.)","Laurel, MD",4.8,False,51 to 200 Employees,2004,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.4,4.5,4.8,4.8,4.8,2023-05-11 23:27:38.336148
84,Sr. Java Developer,-1,-1,2,"Hanker System's Inc.
5.0",$67.50 /hr (est.),"San Leandro, CA",5.0,False,51 to 200 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,5.0,4.6,4.8,4.8,4.8,2023-05-11 23:27:40.612085
85,Developer I,5,0,0,"DHL
3.8","$61,382 /yr (est.)","Westerville, OH",3.8,False,10000+ Employees,1969,Company - Private,Shipping & Trucking,Transportation & Logistics,$10+ billion (USD),3.7,3.6,3.8,3.4,3.5,2023-05-11 23:27:43.165378
86,AWS Java Developer,6,-1,1,"Purple Drive Technologies
4.2",$60.00 /hr (est.),"Plano, TX",4.2,False,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,3.9,3.7,4.0,4.0,4.2,2023-05-11 23:27:45.100968
87,Automation Testing Software Developer,-1,-1,0,"BEPC Inc
3.7",$55.00 /hr (est.),"Tucson, AZ",3.7,False,51 to 200 Employees,-1,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),2.3,2.8,3.0,2.6,3.2,2023-05-11 23:27:47.133038
88,Angular Developer,-1,-1,1,"Tekfortune Inc
4.6",$60.00 /hr (est.),"Sturgis, MI",4.6,False,1 to 50 Employees,-1,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.6,4.2,4.4,4.3,4.6,2023-05-11 23:27:48.872018
89,Full Stack Software Developer,5,-1,1,Remedy Well,$13.00 /hr (est.),Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-11 23:27:50.689782
90,Java AWS Developer ( Only Full Time),3,-1,1,"Kani Solutions Inc.
4.7",$62.50 /hr (est.),"Plano, TX",4.7,False,201 to 500 Employees,2009,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.4,4.3,4.6,4.4,4.5,2023-05-11 23:28:01.493555
91,Java Developer,8,1,2,Trinity Technologies,$59.26 /hr (est.),"Plano, TX",-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-11 23:28:03.308525
92,Java Full Stack Developer,5,-1,0,"Violetink LLC
3.9",$65.00 /hr (est.),"Dallas, TX",3.9,False,1 to 50 Employees,2007,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.9,3.9,3.9,3.8,4.0,2023-05-11 23:28:04.726408
93,Full Stack Java,1,-1,2,"Fuge Technologies Inc
4.7",$57.50 /hr (est.),Remote,4.7,True,1 to 50 Employees,-1,Contract,-1,-1,Unknown / Non-Applicable,4.7,4.5,4.7,4.3,4.5,2023-05-11 23:28:06.449286
94,Sr. Full Stack Developer,7,-1,0,"Zelus Inc.
3.0",$75.00 /hr (est.),"Minneapolis, MN",3.0,False,1 to 50 Employees,2018,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),-1,-1,-1,-1,-1,2023-05-11 23:28:08.113772
95,Java Developer,6,0,0,"Cloud Shift Technologies LLC
5.0",$65.00 /hr (est.),"Denver, CO",5.0,False,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,4.5,4.5,5.0,5.0,5.0,2023-05-11 23:28:09.942648
96,Java Developer,5,0,0,Think Another LLC,$60.00 /hr (est.),"Tallahassee, FL",-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-11 23:28:11.587980
97,Java Developer,-1,-1,0,"7-Eleven
3.3",$60.00 /hr (est.),"Irving, TX",3.3,False,10000+ Employees,1927,Company - Private,Food & Beverage Stores,Retail & Wholesale,$1 to $5 billion (USD),3.1,3.0,3.1,3.0,2.9,2023-05-11 23:28:13.114863
98,Java Backend Developer,6,-1,0,"Kani Solutions Inc.
4.7",$55.00 /hr (est.),"New York, NY",4.7,False,201 to 500 Employees,2009,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.4,4.3,4.6,4.4,4.5,2023-05-11 23:28:14.962606
99,Java Full Stack Developer,4,1,1,ZENOTIS TECHNOLOGY PVT LTD,$66.50 /hr (est.),"Charlotte, NC",-1,False,201 to 500 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,-1,-1,-1,2023-05-11 23:28:16.817095
100,Java Developer,7,0,0,"Radiant Digital
3.8","$84,106 /yr (est.)","Tallahassee, FL",3.8,False,201 to 500 Employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.8,3.0,3.7,3.7,3.7,2023-05-11 23:28:18.444680
101,Java Developer,4,-1,1,"eJAmerica
4.1",$48.89 /hr (est.),"Philadelphia, PA",4.1,False,1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,4.1,4.0,4.0,4.0,4.1,2023-05-11 23:28:20.259144
102,Java Developer,11,-1,0,Integrisys LLC,"$80,000 /yr (est.)","Egg Harbor Township, NJ",-1,False,1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,-1,-1,-1,2023-05-11 23:28:21.915125
103,Java Full Stack Developer,4,-1,1,"Kaygen
4.1",$62.50 /hr (est.),Remote,4.1,True,51 to 200 Employees,2003,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),3.9,3.9,3.8,3.9,4.0,2023-05-11 23:28:23.537554
104,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-11 23:28:25.332458
105,Sr. Java Developer,2,0,1,Hemanth,$70.00 /hr (est.),"Alpharetta, GA",-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-11 23:28:26.778666
106,Full Stack developer,5,-1,0,"Stefanini, Inc
3.8",$82.00 /hr (est.),"Dearborn, MI",3.8,False,10000+ Employees,1987,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),3.5,3.3,3.7,3.5,3.7,2023-05-11 23:28:28.346244
