,Job Title,Annual Salary,Experience,Education,Position,Location,Is Remote,Company Size,Company Size Scale,Founded,Company Old,Industry,Sector,Revenue,Revenue Scale,Type of Ownership,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Company Name,Time of Scrape
17,"Software Developer, Frontend",120000.0,-1,BACHELOR,-1,Remote,1,201 to 500 Employees,3,2015,8,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.5,4.1,4.3,4.2,4.1,4.2,"DISQO
4.5",2023-05-10 12:31:37.371397
18,Full Stack Software Developer,27040.0,5,MASTER,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Remedy Well,2023-05-10 12:31:39.155584
19,Jr. Software Developer,54080.0,1,BACHELOR,SENIOR,"Visalia, CA",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,4.3,4.0,3.5,4.5,3.5,4.0,"4Creeks Inc.
4.3",2023-05-10 12:31:40.652177
20,"Software Developer, Junior",75950.0,-1,BACHELOR,JUNIOR,"Charleston, SC",0,10000+ Employees,7,1914,109,Business Consulting,Management & Consulting,$5 to $10 billion (USD),8,Company - Public,4.2,4.1,3.9,4.3,4.0,4.3,"Booz Allen Hamilton
4.2",2023-05-10 12:31:42.414713
21,Java Developer,130000.0,-1,MASTER,-1,"Plano, TX",0,501 to 1000 Employees,4,2006,17,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,-1,Company - Private,3.9,3.9,3.9,3.9,3.9,4.0,"On Demand Agility Software Pvt Ltd
3.9",2023-05-10 12:31:44.447049
22,-1,80871.0,-1,-1,-1,"Newport, RI",0,201 to 500 Employees,3,1999,24,Computer Hardware Development,Information Technology,$25 to $100 million (USD),4,Company - Private,4.7,4.4,4.3,4.8,4.6,4.6,-1,2023-05-10 12:31:46.317399
23,Trainee - Software Developer,90344.0,1,BACHELOR,JUNIOR,"San Francisco, CA",0,51 to 200 Employees,2,-1,-1,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.7,3.8,3.5,3.6,3.6,3.6,"LeewayHertz
3.7",2023-05-10 12:31:48.389225
24,Junior Software Developer,67500.0,2,BACHELOR,-1,"Fort Worth, TX",0,51 to 200 Employees,2,1993,30,Aerospace & Defense,Aerospace & Defense,$5 to $25 million (USD),3,Company - Private,3.7,3.5,3.4,3.8,3.6,3.7,"InterConnect Wiring
3.7",2023-05-10 12:31:50.201560
25,IT Software Developer,84094.4,5,MASTER,SENIOR,Remote,1,1 to 50 Employees,1,-1,-1,Computer Hardware Development,Information Technology,$1 to $5 million (USD),2,Company - Private,4.2,4.1,4.1,4.3,4.3,4.1,"Sedna Consulting Group
4.2",2023-05-10 12:31:52.061107
27,Junior Software Developer,84897.0,5,BACHELOR,JUNIOR,"Port Washington, NY",0,501 to 1000 Employees,4,1989,34,Consumer Product Manufacturing,Manufacturing,$500 million to $1 billion (USD),7,Company - Private,2.8,3.2,2.8,2.9,2.6,2.7,"Kiss Products
2.8",2023-05-10 12:31:55.768107
28,Angular Developer,104000.0,4,BACHELOR,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,LikeMinded Software,2023-05-10 12:31:57.635671
31,Software Developer,114400.0,-1,MASTER,-1,"Muscle Shoals, AL",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Give Social LLC,2023-05-10 12:32:05.431980
32,Java Developer,127420.8,7,BACHELOR,JUNIOR,"Tallahassee, FL",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,-1,-1,-1,-1,-1,-1,"Business Intelligence & Informatics Consulting Services, Inc (BIICS, Inc)",2023-05-10 12:32:06.979178
