,Job Title,Annual Salary,Experience,Education,Position,Location,Is Remote,Company Size,Company Size Scale,Founded,Company Old,Industry,Sector,Revenue,Revenue Scale,Type of Ownership,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Company Name,Time of Scrape
22,Web Developer,88500.0,-1,-1,-1,"San Francisco, CA",0,Unknown,-1,-1,-1,Staffing & Subcontracting,Human Resources & Staffing,Unknown / Non-Applicable,-1,Company - Public,3.9,3.9,3.9,3.4,3.4,3.9,"Vetro Tech Inc
3.9",2023-05-09 16:37:37.278143
23,UTS - Remote Web Services Developer at UNC Chapel Hill,124800.0,-1,-1,-1,"Chapel Hill, NC",0,1001 to 5000 Employees,5,1887,136,Colleges & Universities,Education,$500 million to $1 billion (USD),7,College / University,4.3,4.0,3.5,4.2,4.0,4.0,"North Carolina State University
4.3",2023-05-09 16:37:38.994912
24,Full Stack Developer,166400.0,-1,-1,-1,Remote,1,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Contract,-1,-1,-1,-1,-1,-1,Zora,2023-05-09 16:37:41.529841
25,Java Developer,124800.0,-1,-1,-1,Remote,1,1001 to 5000 Employees,5,-1,-1,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,-1,Company - Private,4.5,4.5,4.2,4.5,4.3,4.3,"DiamondPick
4.5",2023-05-09 16:37:43.214397
26,Web Developer,56160.0,-1,-1,SENIOR,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Sterner Stuff,2023-05-09 16:37:45.012304
27,Front End Web Developer,45000.0,-1,HIGH-SCHOOL,-1,Remote,1,1 to 50 Employees,1,-1,-1,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,-1,Company - Public,3.5,2.0,3.0,2.0,3.0,4.0,"Beavercreek Marketing
3.5",2023-05-09 16:37:46.517191
28,Mid-Level Web Developer,62400.0,-1,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Udundi,2023-05-09 16:37:48.309317
29,Jr. Web Developer,88750.0,-1,BACHELOR,JUNIOR,"Ann Arbor, MI",0,501 to 1000 Employees,4,1995,28,Internet & Web Services,Information Technology,$100 to $500 million (USD),6,Company - Private,4.3,4.3,4.2,4.4,4.3,4.1,"webfx.com
4.3",2023-05-09 16:37:49.815726
30,UTS - Remote Web Services Developer at UNC Chapel Hill,124800.0,-1,-1,-1,"Chapel Hill, NC",0,1001 to 5000 Employees,5,1887,136,Colleges & Universities,Education,$500 million to $1 billion (USD),7,College / University,4.3,4.0,3.5,4.2,4.0,4.0,"North Carolina State University
4.3",2023-05-09 16:37:54.535831
31,Full Stack Developer-Remote,150000.0,-1,BACHELOR,-1,Remote,1,Unknown,-1,-1,-1,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.2,2.9,3.2,2.9,2.7,3.2,"DIGITALSPEC, LLC
3.2",2023-05-09 16:37:56.283938
32,-1,75000.0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-09 16:37:58.140868
33,Jr Frontend Developer,70000.0,-1,-1,SENIOR,"Austin, TX",0,51 to 200 Employees,2,2005,18,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.1,4.1,4.0,4.3,4.1,4.2,"Modernize Home Services
4.1",2023-05-09 16:37:59.790816
34,Web Developer,83500.0,3,BACHELOR,-1,"Miami, FL",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,MSP Recovery,2023-05-09 16:38:01.641414
35,Web Developer,134599.0,5,BACHELOR,JUNIOR,"Tysons Corner, VA",0,1 to 50 Employees,1,2019,4,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,-1,Company - Private,3.9,3.8,3.4,3.9,3.6,3.5,"NADA
3.9",2023-05-09 16:38:03.355458
37,Frontend Engineer (Remote),80000.0,-1,-1,-1,Remote,1,1 to 50 Employees,1,2017,6,Taxi & Car Services,Transportation & Logistics,Unknown / Non-Applicable,-1,Company - Private,4.0,3.9,4.2,3.9,3.8,4.5,"Leaf Logistics
4.0",2023-05-09 16:38:06.991976
38,Frontend Developer,176800.0,-1,-1,-1,"Foster City, CA",0,501 to 1000 Employees,4,2010,13,Information Technology Support Services,Information Technology,$25 to $100 million (USD),4,Company - Private,4.2,4.2,4.2,4.2,4.1,4.3,"Denken Solutions Inc
4.2",2023-05-09 16:38:08.838489
39,Web Developer,87312.0,-1,BACHELOR,-1,"Chicago, IL",0,10000+ Employees,7,2000,23,Computer Hardware Development,Information Technology,$1 to $5 billion (USD),7,Company - Public,4.3,4.2,4.1,4.2,4.1,4.2,"Fortinet
4.3",2023-05-09 16:38:10.645878
40,Web Engineer I,75000.0,-1,-1,-1,Remote,1,501 to 1000 Employees,4,1975,48,Consumer Product Manufacturing,Manufacturing,$100 to $500 million (USD),6,Company - Public,3.2,2.7,3.0,3.2,3.2,3.5,"JOHNSON HEALTH TECH TRADING INC
3.2",2023-05-09 16:38:12.443757
41,Jr Frontend Developer,70000.0,-1,-1,-1,"Austin, TX",0,501 to 1000 Employees,4,1999,24,Advertising & Public Relations,Media & Communication,$500 million to $1 billion (USD),7,Company - Public,4.1,4.0,3.8,4.0,3.7,4.1,"QuinStreet
4.1",2023-05-09 16:38:14.325191
44,Full Stack Web Developer,68500.0,-1,-1,-1,"Tacoma, WA",0,501 to 1000 Employees,4,1973,50,Aerospace & Defense,Aerospace & Defense,$25 to $100 million (USD),4,Company - Private,4.3,3.4,4.2,4.3,4.1,4.5,"Tecolote Research, Inc.
4.3",2023-05-09 16:38:19.254160
45,SENIOR Java backend Developer,156000.0,-1,-1,-1,"Charlotte, NC",0,Unknown,-1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,-1,-1,-1,-1,-1,-1,TrackerGO CRM,2023-05-09 16:38:21.185018
46,Web UI Developer,95672.0,-1,BACHELOR,-1,"King of Prussia, PA",0,10000+ Employees,7,2004,19,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$5 to $10 billion (USD),8,Company - Public,3.5,3.2,3.7,3.3,2.8,3.1,"CSL Behring
3.5",2023-05-09 16:38:22.847021
47,Jr. Web Developer,55120.0,-1,BACHELOR,-1,"Atlanta, GA",0,51 to 200 Employees,2,2005,18,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.7,3.6,3.9,3.5,3.5,3.6,"Devcare Solutions
3.7",2023-05-09 16:38:24.712166
49,Junior Level Full Stack Developer,72500.0,-1,-1,-1,"East Windsor, NJ",0,1 to 50 Employees,1,2017,6,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.2,4.2,3.6,4.1,4.1,4.0,"BeaconFire Solution
4.2",2023-05-09 16:38:28.525334
