,Job Title,Annual Salary,Experience,Education,Position,Location,Is Remote,Company Size,Company Size Scale,Founded,Company Old,Industry,Sector,Revenue,Revenue Scale,Type of Ownership,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Company Name,Time of Scrape
22,SR. DATA ANALYST,109200.0,2,BACHELOR,-1,Remote,1,51 to 200 Employees,2,-1,-1,Computer Hardware Development,Information Technology,$5 to $25 million (USD),3,Company - Private,3.7,3.9,3.6,3.9,3.8,3.6,"MARVEL TECHNOLOGIES INC
3.7",2023-05-11 14:52:39.277681
23,Data Scientist,150000.0,12,BACHELOR,SENIOR,Remote,1,51 to 200 Employees,2,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,5.0,5.0,4.6,4.8,4.8,4.8,"Hanker Systems Inc
5.0",2023-05-11 14:52:42.147557
24,Data Analyst,67430.0,-1,BACHELOR,-1,"Falls Church, VA",0,51 to 200 Employees,2,2009,14,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3,Contract,4.3,3.7,3.6,4.5,3.9,4.5,"Tesla Government
4.3",2023-05-11 14:52:44.732375
25,Data Engineer,125000.0,3,BACHELOR,-1,Remote,1,1 to 50 Employees,1,2012,11,Information Technology Support Services,Information Technology,Less than $1 million (USD),1,Company - Private,4.1,3.8,3.9,4.0,4.0,3.9,"Cureatr
4.1",2023-05-11 14:52:46.401954
27,Senior Data Cloud Architect (Data Science Focus),223500.0,-1,MASTER,-1,Remote,1,1001 to 5000 Employees,5,2012,11,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD),7,Company - Public,4.1,4.1,4.2,4.0,3.9,3.7,"Snowflake
4.1",2023-05-11 14:52:51.229409
28,Marketing Data Analytics,135200.0,5,MASTER,-1,Remote,1,201 to 500 Employees,3,1996,27,Staffing & Subcontracting,Human Resources & Staffing,Unknown / Non-Applicable,-1,Company - Private,3.7,3.3,3.4,3.2,3.4,3.4,"cyberThink
3.7",2023-05-11 14:52:55.225074
29,Data Scientist,109177.0,2,BACHELOR,SENIOR,"Boston, MA",0,10000+ Employees,7,1828,195,Banking & Lending,Financial Services,$5 to $10 billion (USD),8,Company - Public,3.7,3.6,3.6,3.8,3.4,3.7,"Citizens
3.7",2023-05-11 14:52:58.805603
30,Data Scientist,99000.0,4,BACHELOR,SENIOR,Remote,1,1001 to 5000 Employees,5,1999,24,Home Furniture & Housewares Stores,Retail & Wholesale,$1 to $5 billion (USD),7,Company - Public,3.1,3.2,3.0,3.4,2.8,3.4,"Overstock.com Inc.
3.1",2023-05-11 14:53:08.257868
31,Data Scientist,221500.0,3,BACHELOR,SENIOR,Remote,1,10000+ Employees,7,2011,12,Other Retail Stores,Retail & Wholesale,$1 to $5 billion (USD),7,Company - Public,3.2,2.5,3.1,3.1,2.6,3.6,"Stitch Fix
3.2",2023-05-11 14:53:10.517348
32,Associate Data Engineer,108900.0,0,BACHELOR,JUNIOR,"Hartford, CT",0,10000+ Employees,7,1853,170,Insurance Carriers,Insurance,$10+ billion (USD),9,Company - Public,4.0,4.1,4.1,4.1,3.8,3.9,"The Travelers Companies, Inc.
4.0",2023-05-11 14:53:13.699733
33,Data Science (AI/ML),69782.0,-1,-1,-1,"Dallas, TX",0,501 to 1000 Employees,4,2004,19,Information Technology Support Services,Information Technology,$25 to $100 million (USD),4,Company - Private,3.9,3.9,3.8,4.0,3.7,3.9,"Anblicks
3.9",2023-05-11 14:53:16.783179
34,Data Scientist (All Levels),115100.0,3,BACHELOR,JUNIOR,"Reston, VA",0,1001 to 5000 Employees,5,1996,27,Business Consulting,Management & Consulting,$100 to $500 million (USD),6,Nonprofit Organization,4.5,4.1,4.0,4.5,4.2,4.5,"Noblis
4.5",2023-05-11 14:53:19.287445
36,Data Scientist (Remote),108750.0,3,BACHELOR,-1,Remote,1,10000+ Employees,7,1944,79,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),7,Company - Public,3.9,3.7,3.7,3.8,3.5,3.8,"Parsons
3.9",2023-05-11 14:53:24.765829
37,Data Scientist,115000.0,3,BACHELOR,-1,Remote,1,1 to 50 Employees,1,2007,16,Internet & Web Services,Information Technology,$25 to $100 million (USD),4,Company - Private,3.4,3.0,3.0,3.6,2.7,3.4,"Medicx Health
3.4",2023-05-11 14:53:27.340746
38,Data Scientist,115535.0,5,BACHELOR,SENIOR,"Reston, VA",0,1001 to 5000 Employees,5,2006,17,Information Technology Support Services,Information Technology,$100 to $500 million (USD),6,Company - Private,4.2,4.0,3.9,4.0,3.9,4.2,"Octo
4.2",2023-05-11 14:53:29.379181
39,Data Engineer,124000.0,2,MASTER,SENIOR,Remote,1,201 to 500 Employees,3,1978,45,Education & Training Services,Education,Unknown / Non-Applicable,-1,Company - Private,4.0,3.5,3.8,4.1,3.6,4.3,"O'Reilly Media
4.0",2023-05-11 14:53:31.558175
40,Data Science Co-op,105551.0,-1,BACHELOR,JUNIOR,"Danvers, MA",0,1001 to 5000 Employees,5,1981,42,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$100 to $500 million (USD),6,Company - Public,3.6,3.8,3.7,3.6,3.3,2.9,"Abiomed
3.6",2023-05-11 14:53:33.856247
41,Data Scientist,107500.0,3,BACHELOR,JUNIOR,Remote,1,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,-1,-1,-1,-1,-1,-1,National Consulting Partners,2023-05-11 14:53:35.565920
42,Data Science Associate,96038.0,2,BACHELOR,-1,"Raleigh, NC",0,10000+ Employees,7,1987,36,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),9,Company - Public,3.9,3.5,4.3,3.8,3.5,3.4,"Gilead Sciences
3.9",2023-05-11 14:53:37.653259
45,Data Scientist - Hybrid Remote,140000.0,3,BACHELOR,SENIOR,"New York, NY",0,1001 to 5000 Employees,5,2010,13,Internet & Web Services,Information Technology,$500 million to $1 billion (USD),7,Company - Public,4.2,3.8,4.1,4.2,4.1,4.1,"Sharecare
4.2",2023-05-11 14:53:43.627332
46,Data Science Analyst,100782.0,-1,-1,-1,"San Jose, CA",0,51 to 200 Employees,2,2018,5,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.6,3.5,3.4,3.4,3.3,3.4,"Banyan Data Services
3.6",2023-05-11 14:53:45.949414
47,Data Scientist,105547.0,10,BACHELOR,SENIOR,"Plano, TX",0,10000+ Employees,7,1957,66,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),9,Company - Public,3.9,3.7,4.0,3.8,3.5,3.3,"Toyota
3.9",2023-05-11 14:53:47.636578
48,BUSINESS INTELLIGENCE ANALYST I,78042.0,-1,BACHELOR,-1,"Columbia, MO",0,5001 to 10000 Employees,6,1956,67,Health Care Services & Hospitals,Healthcare,$500 million to $1 billion (USD),7,Hospital,3.4,3.6,3.4,3.3,2.8,3.1,"MU Health Care
3.4",2023-05-11 14:53:50.211907
49,AI/ML Engineer,122900.0,2,BACHELOR,-1,Dallas-Fort Worth,0,5001 to 10000 Employees,6,2000,23,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD),7,Company - Public,3.6,3.1,3.4,3.5,3.0,3.7,"Avaya
3.6",2023-05-11 14:53:52.439097
51,Statistical Analyst I,65910.0,12,MASTER,-1,"Schaumburg, IL",0,10000+ Employees,7,1872,151,Insurance Carriers,Insurance,$10+ billion (USD),9,Company - Private,4.2,3.8,4.0,4.2,3.8,4.1,"Zurich Insurance
4.2",2023-05-11 14:53:56.838528
53,"Manager, Data Science & Analytics",152100.0,5,BACHELOR,-1,United States,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,FedEx Dataworks,2023-05-11 14:54:01.863653
54,Analyst - Analytics and Data Science,70000.0,3,BACHELOR,SENIOR,United States,0,1001 to 5000 Employees,5,1939,84,Insurance Carriers,Insurance,Unknown / Non-Applicable,-1,Nonprofit Organization,4.2,3.9,4.0,4.3,4.0,4.0,"Blue Cross Blue Shield of Arizona
4.2",2023-05-11 14:54:03.093492
55,Data Analyst,91474.0,2,BACHELOR,-1,"San Francisco, CA",0,51 to 200 Employees,2,2006,17,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.4,4.1,4.0,4.7,4.3,4.5,"Moove-it
4.4",2023-05-11 14:54:05.568268
56,Data Scientist III Data Science,140875.0,-1,BACHELOR,SENIOR,"Downey, CA",0,10000+ Employees,7,1945,78,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),9,Nonprofit Organization,3.9,3.7,4.3,3.6,3.2,3.5,"Kaiser Permanente
3.9",2023-05-11 14:54:08.074741
58,"Data Scientist, Product Analytics",137500.0,-1,-1,-1,Remote,1,51 to 200 Employees,2,2013,10,Ticket Sales,"Arts, Entertainment & Recreation",$25 to $100 million (USD),4,Company - Private,4.5,4.3,4.2,4.5,4.2,4.5,"Gametime United, Inc.
4.5",2023-05-11 14:54:10.668232
59,Data Scientist,109200.0,-1,BACHELOR,SENIOR,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,FameArch,2023-05-11 14:54:12.781551
60,Junior AI Engineer,87503.0,-1,-1,-1,"Reston, VA",0,1001 to 5000 Employees,5,2006,17,Information Technology Support Services,Information Technology,$100 to $500 million (USD),6,Company - Private,4.2,4.0,3.9,4.0,3.9,4.2,-1,2023-05-11 14:54:18.339156
61,Data Scientist - Hybrid Remote,140000.0,3,BACHELOR,SENIOR,"New York, NY",0,1001 to 5000 Employees,5,2010,13,Internet & Web Services,Information Technology,$500 million to $1 billion (USD),7,Company - Public,4.2,3.8,4.1,4.2,4.1,4.1,"Sharecare
4.2",2023-05-11 14:54:20.465862
62,BUSINESS INTELLIGENCE ANALYST I,78042.0,-1,BACHELOR,-1,"Columbia, MO",0,5001 to 10000 Employees,6,1956,67,Health Care Services & Hospitals,Healthcare,$500 million to $1 billion (USD),7,Hospital,3.4,3.6,3.4,3.3,2.8,3.1,"MU Health Care
3.4",2023-05-11 14:54:22.239741
63,Data Scientist,99000.0,4,BACHELOR,SENIOR,Remote,1,1001 to 5000 Employees,5,1999,24,Home Furniture & Housewares Stores,Retail & Wholesale,$1 to $5 billion (USD),7,Company - Public,3.1,3.2,3.0,3.4,2.8,3.4,"Overstock.com Inc.
3.1",2023-05-11 14:54:24.462763
64,Associate Data Engineer,108900.0,0,BACHELOR,JUNIOR,"Hartford, CT",0,10000+ Employees,7,1853,170,Insurance Carriers,Insurance,$10+ billion (USD),9,Company - Public,4.0,4.1,4.1,4.1,3.8,3.9,"The Travelers Companies, Inc.
4.0",2023-05-11 14:54:26.930911
65,Sr. Data Visualization Engineer (Remote),144867.0,12,BACHELOR,SENIOR,"Brea, CA",0,1001 to 5000 Employees,5,1961,62,Insurance Carriers,Insurance,$1 to $5 billion (USD),7,Company - Public,3.5,3.5,3.4,3.7,3.4,3.4,"Mercury Insurance
3.5",2023-05-11 14:54:30.141110
66,Analyst - Analytics and Data Science,70000.0,3,BACHELOR,SENIOR,United States,0,1001 to 5000 Employees,5,1939,84,Insurance Carriers,Insurance,Unknown / Non-Applicable,-1,Nonprofit Organization,4.2,3.9,4.0,4.3,4.0,4.0,"Blue Cross Blue Shield of Arizona
4.2",2023-05-11 14:54:32.803450
67,Statistical Analyst I,65910.0,12,MASTER,-1,"Schaumburg, IL",0,10000+ Employees,7,1872,151,Insurance Carriers,Insurance,$10+ billion (USD),9,Company - Private,4.2,3.8,4.0,4.2,3.8,4.1,"Zurich Insurance
4.2",2023-05-11 14:54:35.215981
69,Data Engineer (7564D),117500.0,-1,-1,-1,"Dallas, TX",0,10000+ Employees,7,1976,47,General Merchandise & Superstores,Retail & Wholesale,Unknown / Non-Applicable,-1,Company - Public,4.0,3.9,4.3,3.8,3.4,3.3,"Costco Wholesale
4.0",2023-05-11 14:54:38.130544
70,AI/ML Engineer,122900.0,2,BACHELOR,-1,Dallas-Fort Worth,0,5001 to 10000 Employees,6,2000,23,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD),7,Company - Public,3.6,3.1,3.4,3.5,3.0,3.7,"Avaya
3.6",2023-05-11 14:54:41.023021
72,Senior Data Analyst,145600.0,8,MASTER,SENIOR,Remote,1,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Contract,-1,-1,-1,-1,-1,-1,Zora,2023-05-11 14:54:44.995441
74,Data Scientist (All Levels),115100.0,-1,-1,-1,"Reston, VA",0,1001 to 5000 Employees,5,1996,27,Business Consulting,Management & Consulting,$100 to $500 million (USD),6,Nonprofit Organization,4.5,4.1,4.0,4.5,4.2,4.5,"Noblis
4.5",2023-05-11 14:54:48.197693
75,Data Science Co-op,105551.0,-1,BACHELOR,JUNIOR,"Danvers, MA",0,1001 to 5000 Employees,5,1981,42,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$100 to $500 million (USD),6,Company - Public,3.6,3.8,3.7,3.6,3.3,2.9,"Abiomed
3.6",2023-05-11 14:54:51.262876
76,Sr. Data Engineer,145600.0,6,MASTER,-1,"Los Angeles, CA",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,-1,-1,-1,-1,-1,-1,DataPattern,2023-05-11 14:54:53.554597
77,Senior Data Engineer,155000.0,5,MASTER,SENIOR,"Atlanta, GA",0,1001 to 5000 Employees,5,1901,122,Insurance Carriers,Insurance,$1 to $5 billion (USD),7,Company - Public,4.1,3.8,3.9,4.2,3.8,4.1,"Hiscox
4.1",2023-05-11 14:54:55.369739
79,Data Scientist,115000.0,3,BACHELOR,-1,Remote,1,1 to 50 Employees,1,2007,16,Internet & Web Services,Information Technology,$25 to $100 million (USD),4,Company - Private,3.4,3.0,3.0,3.6,2.7,3.4,"Medicx Health
3.4",2023-05-11 14:55:01.265042
80,Data Science Engineer,78948.0,-1,-1,-1,"Farmington Hills, MI",0,1 to 50 Employees,1,2000,23,HR Consulting,Human Resources & Staffing,$1 to $5 million (USD),2,Company - Private,4.4,4.3,4.5,4.5,4.5,4.5,"SunSoft Technologies
4.4",2023-05-11 14:55:03.849579
81,Data Analytics Analyst,81869.0,3,BACHELOR,SENIOR,"Worcester, MA",0,10000+ Employees,7,1997,26,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),7,Hospital,3.8,3.9,3.9,3.7,3.4,3.7,"UMass Memorial Health
3.8",2023-05-11 14:55:05.944978
82,MLOps/Machine Learning Engineer,150800.0,10,BACHELOR,SENIOR,Remote,1,201 to 500 Employees,3,2009,14,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3,Company - Private,4.7,4.4,4.3,4.6,4.4,4.5,"Kani Solutions Inc.
4.7",2023-05-11 14:55:08.041694
83,Junior Data Scientist,100595.0,4,BACHELOR,-1,"Tysons Corner, VA",0,1001 to 5000 Employees,5,1961,62,Business Consulting,Management & Consulting,$100 to $500 million (USD),6,Company - Private,4.2,3.9,4.0,4.3,3.8,4.4,"Logistics Management Institute
4.2",2023-05-11 14:55:09.888209
84,Data Scientist III Data Science,140875.0,-1,BACHELOR,SENIOR,"Downey, CA",0,10000+ Employees,7,1945,78,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),9,Nonprofit Organization,3.9,3.7,4.3,3.6,3.2,3.5,"Kaiser Permanente
3.9",2023-05-11 14:55:12.024399
85,Sr. Data Analyst,100000.0,-1,BACHELOR,SENIOR,Missouri,0,201 to 500 Employees,3,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Contract,4.0,2.0,3.0,4.0,3.0,4.0,"GEHA
4.0",2023-05-11 14:55:14.362551
86,"Data Scientist, Product Analytics",137500.0,3,MASTER,SENIOR,Remote,1,51 to 200 Employees,2,2013,10,Ticket Sales,"Arts, Entertainment & Recreation",$25 to $100 million (USD),4,Company - Private,4.5,4.3,4.2,4.5,4.2,4.5,"Gametime United, Inc.
4.5",2023-05-11 14:55:16.054549
87,Data Engineer (remote),117964.0,-1,BACHELOR,-1,"New York, NY",0,1001 to 5000 Employees,5,1980,43,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,-1,Company - Public,3.8,3.8,3.7,3.9,3.6,3.9,"MultiPlan Inc.
3.8",2023-05-11 14:55:18.290436
88,Senior Data Cloud Architect (Data Science Focus),223500.0,-1,MASTER,-1,Remote,1,1001 to 5000 Employees,5,2012,11,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD),7,Company - Public,4.1,4.1,4.2,4.0,3.9,3.7,"Snowflake
4.1",2023-05-11 14:55:21.211275
89,Data Scientist,115535.0,5,BACHELOR,SENIOR,"Reston, VA",0,1001 to 5000 Employees,5,2006,17,Information Technology Support Services,Information Technology,$100 to $500 million (USD),6,Company - Private,4.2,4.0,3.9,4.0,3.9,4.2,"Octo
4.2",2023-05-11 14:55:24.227321
90,Junior AI Engineer,87503.0,1,BACHELOR,SENIOR,"Reston, VA",0,1001 to 5000 Employees,5,2006,17,Information Technology Support Services,Information Technology,$100 to $500 million (USD),6,Company - Private,4.2,4.0,3.9,4.0,3.9,4.2,"Octo
4.2",2023-05-11 14:55:29.628486
91,BUSINESS INTELLIGENCE ANALYST I,78042.0,-1,BACHELOR,-1,"Columbia, MO",0,5001 to 10000 Employees,6,1956,67,Health Care Services & Hospitals,Healthcare,$500 million to $1 billion (USD),7,Hospital,3.4,3.6,3.4,3.3,2.8,3.1,"MU Health Care
3.4",2023-05-11 14:55:31.718229
92,Statistical Analyst I,65910.0,0,MASTER,-1,"Schaumburg, IL",0,10000+ Employees,7,1872,151,Insurance Carriers,Insurance,$10+ billion (USD),9,Company - Private,4.2,3.8,4.0,4.2,3.8,4.1,"Zurich Insurance
4.2",2023-05-11 14:55:34.910652
93,Data Science Co-op,105551.0,-1,-1,-1,"Danvers, MA",0,1001 to 5000 Employees,5,1981,42,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$100 to $500 million (USD),6,Company - Public,3.6,3.8,3.7,3.6,3.3,2.9,"Abiomed
3.6",2023-05-11 14:55:37.428252
94,Data Scientist (All Levels),115100.0,3,BACHELOR,JUNIOR,"Reston, VA",0,1001 to 5000 Employees,5,1996,27,Business Consulting,Management & Consulting,$100 to $500 million (USD),6,Nonprofit Organization,4.5,4.1,4.0,4.5,4.2,4.5,"Noblis
4.5",2023-05-11 14:55:40.603971
95,Data Scientist,99000.0,4,BACHELOR,SENIOR,Remote,1,1001 to 5000 Employees,5,1999,24,Home Furniture & Housewares Stores,Retail & Wholesale,$1 to $5 billion (USD),7,Company - Public,3.1,3.2,3.0,3.4,2.8,3.4,"Overstock.com Inc.
3.1",2023-05-11 14:55:43.839557
96,Associate Data Engineer,108900.0,12,BACHELOR,JUNIOR,"Hartford, CT",0,10000+ Employees,7,1853,170,Insurance Carriers,Insurance,$10+ billion (USD),9,Company - Public,4.0,4.1,4.1,4.1,3.8,3.9,"The Travelers Companies, Inc.
4.0",2023-05-11 14:55:46.777283
97,AI/ML Engineer,122900.0,-1,-1,-1,Dallas-Fort Worth,0,5001 to 10000 Employees,6,2000,23,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD),7,Company - Public,3.6,3.1,3.4,3.5,3.0,3.7,"Avaya
3.6",2023-05-11 14:55:50.259581
98,Data Engineer - Data Science & Analytics,117500.0,5,BACHELOR,-1,"Dallas, TX",0,10000+ Employees,7,1976,47,General Merchandise & Superstores,Retail & Wholesale,Unknown / Non-Applicable,-1,Company - Public,4.0,3.9,4.3,3.8,3.4,3.3,"Costco Wholesale
4.0",2023-05-11 14:55:52.442700
99,Data Scientist,115535.0,5,BACHELOR,SENIOR,"Reston, VA",0,1001 to 5000 Employees,5,2006,17,Information Technology Support Services,Information Technology,$100 to $500 million (USD),6,Company - Private,4.2,4.0,3.9,4.0,3.9,4.2,"Octo
4.2",2023-05-11 14:55:54.522563
100,Data Analytics Analyst,81869.0,3,BACHELOR,SENIOR,"Worcester, MA",0,10000+ Employees,7,1997,26,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),7,Hospital,3.8,3.9,3.9,3.7,3.4,3.7,"UMass Memorial Health
3.8",2023-05-11 14:55:56.393556
101,Senior Data Engineer,155000.0,5,MASTER,SENIOR,"Atlanta, GA",0,1001 to 5000 Employees,5,1901,122,Insurance Carriers,Insurance,$1 to $5 billion (USD),7,Company - Public,4.1,3.8,3.9,4.2,3.8,4.1,"Hiscox
4.1",2023-05-11 14:55:58.836571
102,Data Science Engineer,105699.0,-1,BACHELOR,SENIOR,"Herndon, VA",0,Unknown,-1,-1,-1,Software Development,Information Technology,Unknown / Non-Applicable,-1,Company - Private,2.6,4.0,4.0,3.0,4.0,3.0,"Softthink Solutions
2.6",2023-05-11 14:56:01.662806
103,"Co-op, Data Engineer",131330.0,-1,MASTER,SENIOR,"Cambridge, MA",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,-1,-1,-1,-1,-1,-1,Exo Therapeutics,2023-05-11 14:56:03.780220
104,Data Science Engineer,78948.0,-1,MASTER,-1,"Farmington Hills, MI",0,1 to 50 Employees,1,2000,23,HR Consulting,Human Resources & Staffing,$1 to $5 million (USD),2,Company - Private,4.4,4.3,4.5,4.5,4.5,4.5,"SunSoft Technologies
4.4",2023-05-11 14:56:05.873824
106,Data Engineer (7564D),117500.0,-1,-1,-1,"Dallas, TX",0,10000+ Employees,7,1976,47,General Merchandise & Superstores,Retail & Wholesale,Unknown / Non-Applicable,-1,Company - Public,4.0,3.9,4.3,3.8,3.4,3.3,"Costco Wholesale
4.0",2023-05-11 14:56:08.826649
107,Data Scientist,100746.0,3,BACHELOR,-1,"Reston, VA",0,Unknown,-1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,4.6,4.4,4.0,4.4,4.0,3.4,"GTA (Global Technology Associates)
4.6",2023-05-11 14:56:11.773790
108,Data Scientist - Hybrid Remote,140000.0,3,BACHELOR,SENIOR,"New York, NY",0,1001 to 5000 Employees,5,2010,13,Internet & Web Services,Information Technology,$500 million to $1 billion (USD),7,Company - Public,4.2,3.8,4.1,4.2,4.1,4.1,"Sharecare
4.2",2023-05-11 14:56:14.284080
110,Data Scientist,115000.0,3,BACHELOR,-1,Remote,1,1 to 50 Employees,1,2007,16,Internet & Web Services,Information Technology,$25 to $100 million (USD),4,Company - Private,3.4,3.0,3.0,3.6,2.7,3.4,"Medicx Health
3.4",2023-05-11 14:56:18.852861
112,Senior Data Analyst,108893.0,10,BACHELOR,SENIOR,"Reston, VA",0,1001 to 5000 Employees,5,2006,17,Information Technology Support Services,Information Technology,$100 to $500 million (USD),6,Company - Private,4.2,4.0,3.9,4.0,3.9,4.2,"Octo
4.2",2023-05-11 14:56:23.514697
114,Data Scientist,107500.0,-1,-1,-1,Remote,1,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,-1,-1,-1,-1,-1,-1,National Consulting Partners,2023-05-11 14:56:26.931332
115,Junior Data Scientist,100595.0,4,BACHELOR,-1,"Tysons Corner, VA",0,1001 to 5000 Employees,5,1961,62,Business Consulting,Management & Consulting,$100 to $500 million (USD),6,Company - Private,4.2,3.9,4.0,4.3,3.8,4.4,"Logistics Management Institute
4.2",2023-05-11 14:56:29.700191
116,Data Engineer,135200.0,2,MASTER,-1,"Houston, TX",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Mannara Technologies,2023-05-11 14:56:31.768096
117,Data Science Analyst,100782.0,-1,-1,-1,"San Jose, CA",0,51 to 200 Employees,2,2018,5,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.6,3.5,3.4,3.4,3.3,3.4,"Banyan Data Services
3.6",2023-05-11 14:56:33.324919
