Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time Unit,Scale_Company_Size,Scale_Revenue,Scale_Location
171600.0,Cloud Transformation Consultant,1.0,1,1,"Synovize
5.0",Remote,5.0,1,49.74418604651163,-1,-1,Private,Unknown,-1,-1,5.0,5.0,5.0,5.0,5.0,hr,4.799479166666667,7.140425531914894,1.0
229000.0,"Director, Cloud Computing",8.0,1,1,"UST
3.9",CA,3.9,0,24.0,10000+ Employees,1999,Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),3.8,3.4,3.9,3.6,4.0,yr,7.0,2.0,4.0
51150.0,Application Developer on Z Apprentice,2.0,2,0,"IBM
4.0",CA,4.0,0,112.0,10000+ Employees,1911,Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.9,3.7,4.0,3.5,4.0,yr,7.0,9.0,4.0
250100.0,Team Amazon | Cloud Solutions Architect,7.0,1,1,"INTEL
4.2",CA,4.2,0,55.0,10000+ Employees,1968,Public,Computer Hardware Development,Information Technology,$10+ billion (USD),4.0,4.0,4.2,3.7,4.1,yr,7.0,9.0,4.0
110149.0,"Sr Cloud Azure DevOps Engineer (Terraform) - Phoenix, AZ (HYBRID)",9.0,2,1,"Accolite Digital
3.8",AZ,3.8,0,16.0,1001 to 5000 Employees,2007,Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),3.9,3.8,3.8,3.7,3.8,yr,5.0,6.0,5.0
160000.0,AWS Cloud Engineer,4.0,1,-1,"DSM Infocom
2.5",MD,2.5,0,49.74418604651163,-1,-1,Private,Unknown,-1,-1,2.7,2.1,2.6,2.4,2.5,yr,4.799479166666667,7.140425531914894,6.0
56437.0,Associate End User Computing Support Analyst,2.0,2,0,"PAYLOCITY CORPORATION
4.0",FL,4.0,0,26.0,1001 to 5000 Employees,1997,Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),4.0,4.0,4.2,3.9,4.0,yr,5.0,6.0,7.0
156000.0,Data Engineer,8.0,1,-1,"BigLynx Computer Software
4.9",WA,4.9,0,49.74418604651163,-1,-1,Private,Unknown,-1,-1,4.8,4.5,4.8,4.9,4.8,hr,4.799479166666667,7.140425531914894,8.0
88750.0,Jr. Web Developer,3.0,1,0,"webfx.com
4.3",MI,4.3,0,28.0,501 to 1000 Employees,1995,Private,Internet & Web Services,Information Technology,$100 to $500 million (USD),4.4,4.1,4.4,4.3,4.1,yr,4.0,6.0,9.0
75000.0,Junior Cloud Engineer,2.0,1,0,"Technergetics
5.0",NY,5.0,0,49.74418604651163,-1,-1,Private,Unknown,-1,-1,5.0,5.0,5.0,5.0,5.0,yr,4.799479166666667,7.140425531914894,10.0
135200.0,Cloud Engineer - AWS/Azure,3.0,1,-1,Pragma Inc,CT,3.915368421052632,0,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.574678111587984,3.788948497854077,hr,4.799479166666667,7.140425531914894,11.0
124800.0,DevOps Engineer,3.0,-1,-1,"Maven Workforce Pvt. Ltd.
4.1",NJ,4.1,0,15.0,51 to 200 Employees,2008,Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,4.2,4.0,4.3,4.3,4.1,hr,2.0,7.140425531914894,2.0
118600.0,Cloud DevOps Engineer,5.0,1,1,"Southwest Airlines
4.1",TX,4.1,0,56.0,10000+ Employees,1967,Public,Other,Transportation & Logistics,$10+ billion (USD),4.1,4.2,4.0,3.5,3.6,yr,7.0,9.0,12.0
147500.0,Cloud Engineer (AWS),4.0,1,-1,"Doran Jones
3.9",NY,3.9,0,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.8,3.1,3.7,3.8,3.6,yr,4.799479166666667,7.140425531914894,10.0
137280.0,Azure Cloud Architect,10.0,2,1,"Triveni IT
4.6",Remote,4.6,1,49.74418604651163,-1,-1,Private,Unknown,-1,-1,4.9,4.5,4.6,4.6,4.7,hr,4.799479166666667,7.140425531914894,1.0
140500.0,IBM Cloud Architect,10.0,1,1,"IBM
4.0",TX,4.0,0,112.0,10000+ Employees,1911,Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.9,3.7,4.0,3.5,4.0,yr,7.0,9.0,12.0
98500.0,Cloud Engineer,3.0,2,-1,"E-Logic, Inc.
4.4",CA,4.4,0,16.0,1 to 50 Employees,2007,Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3.4,2.3,5.0,4.6,4.6,yr,1.0,3.0,4.0
110147.0,Software Engineer - Remote,3.0,-1,-1,"Mayo Clinic
3.9",MN,3.9,0,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.9,3.8,3.9,3.4,3.5,yr,4.799479166666667,7.140425531914894,13.0
109873.0,Frontend Engineer (UI),2.0,1,0,"Tessell, Inc.
5.0",CA,5.0,0,49.74418604651163,-1,-1,Private,Unknown,-1,-1,5.0,5.0,5.0,5.0,5.0,yr,4.799479166666667,7.140425531914894,4.0
138174.4,DevOps Engineer,4.0,2,-1,Software concept LLC,MI,3.915368421052632,0,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.574678111587984,3.788948497854077,hr,4.799479166666667,7.140425531914894,9.0
91291.2,Operations Support/Cloud Engineer - ITS4,1.0,1,0,"State of Minnesota
3.9",MN,3.9,0,56.0,10000+ Employees,1967,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,3.4,4.0,3.5,3.2,3.9,hr,7.0,7.140425531914894,13.0
147500.0,Cloud Engineer,5.0,1,-1,"State Street
3.5",MA,3.5,0,231.0,10000+ Employees,1792,Public,Investment & Asset Management,Financial Services,$10+ billion (USD),3.5,3.2,3.5,3.2,3.4,yr,7.0,9.0,14.0
110147.0,Software Engineer - Remote,2.0,1,1,"Mayo Clinic
3.9",MN,3.9,0,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.9,3.8,3.9,3.4,3.5,yr,4.799479166666667,7.140425531914894,13.0
101725.0,Hybrid Cloud Engineer,5.0,1,-1,"Anne Arundel Community College
4.3",MD,4.3,0,56.0,501 to 1000 Employees,1967,College / University,Colleges & Universities,Education,$100 to $500 million (USD),3.3,3.4,4.0,3.8,4.3,yr,4.0,6.0,6.0
75000.0,Junior DevOps Engineer,1.0,1,0,"University of Texas at Austin
4.2",TX,4.2,0,140.0,10000+ Employees,1883,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),3.9,3.5,4.0,3.8,4.0,yr,7.0,7.0,12.0
96625.0,Junior Cloud Infrastructure Engineer,6.0,1,-1,"Applied Insight
3.5",MD,3.5,0,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.5,3.9,3.6,3.2,4.0,yr,4.799479166666667,7.140425531914894,6.0
90525.0,Data Analyst,3.0,1,1,"Blend
3.2",LA,3.2,0,11.0,1001 to 5000 Employees,2012,Public,Banking & Lending,Financial Services,Unknown / Non-Applicable,3.0,3.6,3.4,2.9,3.7,yr,5.0,7.140425531914894,3.0
98930.0,Software and Data Junior Engineer,3.0,1,0,"MIT
4.3",MA,4.3,0,162.0,10000+ Employees,1861,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),4.2,3.7,4.1,3.7,3.6,yr,7.0,7.0,14.0
93600.0,Cloud Big-Data Engineer,5.0,2,1,"PhasorSoft Group
4.0",MS,4.0,0,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.574678111587984,3.788948497854077,hr,4.799479166666667,7.140425531914894,15.0
111977.0,AWS Cloud Data Engineer,3.0,1,-1,"SEFCU
3.4",NY,3.4,0,70.0,201 to 500 Employees,1953,Nonprofit Organization,Banking & Lending,Financial Services,Unknown / Non-Applicable,2.8,3.9,3.5,3.1,3.6,yr,3.0,7.140425531914894,10.0
117500.0,Cloud Consultant - AWS,5.0,1,-1,"Sourced Group, an Amdocs Company",CO,3.915368421052632,0,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.574678111587984,3.788948497854077,yr,4.799479166666667,7.140425531914894,16.0
105000.0,Software Engineer,3.0,1,-1,Vindhya Data Science,Remote,3.915368421052632,1,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.574678111587984,3.788948497854077,yr,4.799479166666667,7.140425531914894,1.0
93000.0,"Software Engineer - Parallel Computing, AWS (Hybrid - 3 Days in Office)",3.0,1,0,"Freddie Mac
3.4",VA,3.4,0,53.0,5001 to 10000 Employees,1970,Public,Banking & Lending,Financial Services,$10+ billion (USD),3.3,3.6,3.4,2.6,3.4,yr,6.0,9.0,17.0
57500.0,Data Center Specialist,3.0,2,1,"IBM
4.0",TX,4.0,0,112.0,10000+ Employees,1911,Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.9,3.7,4.0,3.5,4.0,yr,7.0,9.0,12.0
148720.0,DATA ENGINEER,5.0,1,-1,"STAND 8
4.4",Remote,4.4,1,49.74418604651163,-1,-1,Private,Unknown,-1,-1,4.0,4.1,4.7,4.7,4.4,hr,4.799479166666667,7.140425531914894,1.0
71034.0,"IT Analyst I, Cybersecurity",3.0,1,-1,"AGCO
3.9",GA,3.9,0,33.0,10000+ Employees,1990,Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD),3.4,3.6,3.6,3.3,3.5,yr,7.0,9.0,18.0
170500.0,Security Analyst,4.0,2,1,"IBM
4.0",TX,4.0,0,112.0,10000+ Employees,1911,Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.9,3.7,4.0,3.5,4.0,yr,7.0,9.0,12.0
135000.0,Data Engineer,5.0,1,1,"Pallidus, Inc
3.7",Remote,3.7,1,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.5,2.5,2.8,3.4,3.0,yr,4.799479166666667,7.140425531914894,1.0
176675.0,Senior Data Analyst,5.0,1,1,"Coinbase
3.7",Remote,3.7,1,11.0,501 to 1000 Employees,2012,Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.7,4.5,3.6,3.2,3.5,yr,4.0,7.140425531914894,1.0
105049.0,Data Engineer,3.0,2,1,"Intertech, Inc
4.4",MN,4.4,0,32.0,51 to 200 Employees,1991,Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.3,4.2,4.6,4.5,4.5,yr,2.0,3.0,13.0
90000.0,Senior Data Engineer,10.0,1,-1,"spar information systems
3.5",Remote,3.5,1,11.0,201 to 500 Employees,2012,Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),3.6,3.5,3.4,3.6,3.6,yr,3.0,7.140425531914894,1.0
88750.0,Jr Software Engineer,3.0,1,0,"webfx.com
4.3",MI,4.3,0,28.0,501 to 1000 Employees,1995,Private,Internet & Web Services,Information Technology,$100 to $500 million (USD),4.4,4.1,4.4,4.3,4.1,yr,4.0,6.0,9.0
104000.0,Remote - SQL Developer,4.0,1,1,First-Tek Inc,NY,3.915368421052632,0,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.574678111587984,3.788948497854077,hr,4.799479166666667,7.140425531914894,10.0
171600.0,Cloud Transformation Consultant,3.0,-1,-1,"Synovize
5.0",Remote,5.0,1,49.74418604651163,-1,-1,Private,Unknown,-1,-1,5.0,5.0,5.0,5.0,5.0,hr,4.799479166666667,7.140425531914894,1.0
161200.0,Cloud Infrastructure Engineer,3.0,-1,-1,"Devcare Solutions
3.7",NJ,3.7,0,18.0,51 to 200 Employees,2005,Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.6,3.9,3.5,3.5,3.6,hr,2.0,7.140425531914894,2.0
57500.0,Data Center Specialist,3.0,-1,-1,"IBM
4.0",TX,4.0,0,112.0,10000+ Employees,1911,Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.9,3.7,4.0,3.5,4.0,yr,7.0,9.0,12.0
88750.0,-1,3.0,-1,-1,-1,MI,4.3,0,28.0,501 to 1000 Employees,1995,Private,Internet & Web Services,Information Technology,$100 to $500 million (USD),4.4,4.1,4.4,4.3,4.1,yr,4.0,6.0,9.0
62400.0,Scripting and Programming Foundations (Complex)|| Fresher,3.0,-1,-1,"Hurix Digital
3.2",Remote,3.2,1,23.0,501 to 1000 Employees,2000,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.2,3.0,3.1,3.0,3.0,hr,4.0,7.140425531914894,1.0
124800.0,DevOps Engineer,7.0,1,-1,"Maven Workforce Pvt. Ltd
4.1",NJ,4.1,0,15.0,51 to 200 Employees,2008,Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,4.2,4.0,4.3,4.3,4.1,hr,2.0,7.140425531914894,2.0
104000.0,Remote - SQL Developer,3.0,-1,-1,First-Tek Inc,NY,3.915368421052632,0,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.574678111587984,3.788948497854077,hr,4.799479166666667,7.140425531914894,10.0
135200.0,Cloud Engineer - AWS/Azure,3.0,-1,-1,Pragma Inc,CT,3.915368421052632,0,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.574678111587984,3.788948497854077,hr,4.799479166666667,7.140425531914894,11.0
140400.0,Cloud Engineer,3.0,-1,-1,CloudXoo,Remote,3.915368421052632,1,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.574678111587984,3.788948497854077,hr,4.799479166666667,7.140425531914894,1.0
62400.0,Web Development Foundations (Complex) || Fresher,5.0,1,1,Hurix Digital,Remote,3.2,1,23.0,501 to 1000 Employees,2000,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.2,3.0,3.1,3.0,3.0,hr,4.0,7.140425531914894,1.0
50000.0,Frontend engineer,1.0,2,1,Arvist,Remote,3.915368421052632,1,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.574678111587984,3.788948497854077,yr,4.799479166666667,7.140425531914894,1.0
82299.0,XSELLARATE WEB DEVELOPMENT & MERCHANT SERVICES,1.0,1,-1,BPS,Remote,3.915368421052632,1,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.574678111587984,3.788948497854077,yr,4.799479166666667,7.140425531914894,1.0
45760.0,Jr. Web Developer,1.0,1,0,HiFi Design,Remote,3.915368421052632,1,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.574678111587984,3.788948497854077,hr,4.799479166666667,7.140425531914894,1.0
63473.0,Associate Web App Engineer,2.0,1,0,Hyperspace Ventures,NC,4.2,0,6.0,1 to 50 Employees,2017,Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.5,4.0,4.7,4.5,4.5,yr,1.0,7.140425531914894,19.0
31200.0,Project Coordinator for Web Development Company,3.0,-1,-1,Gretrix LLC,Remote,4.3,1,49.74418604651163,-1,-1,Private,Unknown,-1,-1,4.3,2.9,3.8,3.3,4.0,hr,4.799479166666667,7.140425531914894,1.0
167000.0,Frontend Software Engineer,4.0,1,1,Zillow,Remote,3.9,1,18.0,5001 to 10000 Employees,2005,Public,Real Estate,Real Estate,$1 to $5 billion (USD),3.6,4.0,4.1,3.4,4.2,yr,6.0,7.0,1.0
57500.0,Web Quality Assurance Engineer - Remote,3.0,1,-1,Provision IAM,Remote,3.915368421052632,1,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.574678111587984,3.788948497854077,yr,4.799479166666667,7.140425531914894,1.0
95000.0,Full Stack Web Developer (Contract to hire),5.0,1,1,NovaWurks,Remote,3.915368421052632,1,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.574678111587984,3.788948497854077,yr,4.799479166666667,7.140425531914894,1.0
83200.0,WEB CONTENT PROGRAMMER,5.0,2,-1,Princeton IT Services,Remote,4.2,1,15.0,1 to 50 Employees,2008,Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),3.9,3.9,3.9,3.9,4.3,hr,1.0,2.0,1.0
70414.0,Junior Web Developer,1.0,1,-1,Crunchapps,NY,3.915368421052632,0,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.574678111587984,3.788948497854077,yr,4.799479166666667,7.140425531914894,10.0
100000.0,Frontend Developer,3.0,1,-1,WPROMOTE,Remote,3.9,1,22.0,501 to 1000 Employees,2001,Private,Advertising & Public Relations,Media & Communication,$100 to $500 million (USD),3.8,3.6,4.0,3.6,3.9,yr,4.0,6.0,1.0
130000.0,Web and Graphics Designer,4.0,1,-1,Creator Marketing,Remote,3.915368421052632,1,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.574678111587984,3.788948497854077,hr,4.799479166666667,7.140425531914894,1.0
60717.0,Web Development,2.0,1,0,Family Reunion,VA,3.915368421052632,0,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.574678111587984,3.788948497854077,yr,4.799479166666667,7.140425531914894,17.0
93600.0,Freelance Web Designer (Contract),3.0,1,-1,Loopdash,Remote,3.915368421052632,1,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.574678111587984,3.788948497854077,hr,4.799479166666667,7.140425531914894,1.0
95000.0,Full Stack Engineer,3.0,2,1,Endurance Warranty Services,Remote,3.4,1,17.0,201 to 500 Employees,2006,Private,Insurance Carriers,Insurance,$100 to $500 million (USD),3.3,3.5,3.2,3.0,3.3,yr,3.0,6.0,1.0
71327.0,Web Development (Front End),2.0,1,-1,JEMSU,CO,4.2,0,13.0,1 to 50 Employees,2010,Private,Advertising & Public Relations,Media & Communication,$1 to $5 billion (USD),4.0,3.5,4.4,3.9,4.3,yr,1.0,7.0,16.0
88750.0,Jr. Web Developer,3.0,1,0,webfx.com,MI,4.3,0,28.0,501 to 1000 Employees,1995,Private,Internet & Web Services,Information Technology,$100 to $500 million (USD),4.4,4.1,4.4,4.3,4.1,yr,4.0,6.0,9.0
68078.0,Junior Software Developer (Remote),1.0,1,0,SnapRISK,Remote,3.915368421052632,1,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.574678111587984,3.788948497854077,yr,4.799479166666667,7.140425531914894,1.0
70000.0,Jr Frontend Developer,10.0,1,1,Modernize Home Services,TX,4.1,0,18.0,51 to 200 Employees,2005,Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.1,4.0,4.3,4.1,4.2,yr,2.0,7.140425531914894,12.0
80000.0,Frontend Engineer (Remote),2.0,1,1,Leaf Logistics,Remote,4.0,1,6.0,1 to 50 Employees,2017,Private,Other,Transportation & Logistics,Unknown / Non-Applicable,3.9,4.2,3.9,3.8,4.5,yr,1.0,7.140425531914894,1.0
90735.0,Frontend Web Developer,3.0,2,-1,Tasktoday,CA,3.915368421052632,0,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.574678111587984,3.788948497854077,yr,4.799479166666667,7.140425531914894,4.0
70000.0,Jr Frontend Developer,2.0,1,-1,QuinStreet,TX,4.0,0,24.0,501 to 1000 Employees,1999,Public,Advertising & Public Relations,Media & Communication,$500 million to $1 billion (USD),3.9,3.8,3.9,3.7,4.1,yr,4.0,7.0,12.0
88424.0,Frontend Engineer,3.0,1,1,Loft Orbital Solutions,KY,4.6,0,6.0,1 to 50 Employees,2017,Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,4.6,4.1,4.7,4.6,3.5,yr,1.0,7.140425531914894,20.0
31200.0,Project Coordinator for Web Development Company,0.0,1,1,Gretrix,Remote,4.3,1,49.74418604651163,-1,-1,Private,Unknown,-1,-1,4.3,2.9,3.8,3.3,4.0,hr,4.799479166666667,7.140425531914894,1.0
115000.0,Frontend Software Engineer - React,3.0,2,-1,"Search Leaders, LLC",LA,3.8,0,25.0,1 to 50 Employees,1998,Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,4.1,3.8,4.1,4.1,4.2,yr,1.0,7.140425531914894,3.0
62400.0,Web Designer,3.0,1,-1,Graybill Creative,Remote,3.915368421052632,1,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.574678111587984,3.788948497854077,hr,4.799479166666667,7.140425531914894,1.0
64250.0,Frontend Engineer Apprenticeship,2.0,1,0,Fetch,WI,3.7,0,10.0,501 to 1000 Employees,2013,Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.7,3.8,3.7,3.3,3.8,yr,4.0,7.140425531914894,21.0
78250.0,Frontend Web Developer,2.0,1,-1,Firefly Dimension,CA,3.915368421052632,0,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.574678111587984,3.788948497854077,yr,4.799479166666667,7.140425531914894,4.0
65000.0,Web Designer,2.0,1,-1,Einstein Industries,Remote,3.6,1,28.0,51 to 200 Employees,1995,Private,Advertising & Public Relations,Media & Communication,$5 to $25 million (USD),3.4,3.2,3.8,3.4,3.9,yr,2.0,3.0,1.0
102500.0,Web Developer,2.0,1,1,The New York Times,NY,3.7,0,127.0,1001 to 5000 Employees,1896,Public,Broadcast Media,Media & Communication,$1 to $5 billion (USD),3.6,3.5,4.0,3.5,3.9,yr,5.0,7.0,10.0
110000.0,Web Developer,2.0,1,1,A10 Networks,CA,4.1,0,19.0,501 to 1000 Employees,2004,Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),3.8,3.8,3.8,3.9,4.4,yr,4.0,6.0,4.0
120000.0,Web Developer/Programmer,4.0,1,-1,Vegan Liftz,CA,3.915368421052632,0,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.574678111587984,3.788948497854077,mo,4.799479166666667,7.140425531914894,4.0
113809.0,Frontend Engineer,2.0,2,1,Rephrase.ai,CA,3.9,0,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.4,2.8,3.1,3.4,2.7,yr,4.799479166666667,7.140425531914894,4.0
120000.0,"Software Developer, Frontend",2.0,1,-1,DISQO,Remote,4.5,1,8.0,201 to 500 Employees,2015,Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.1,4.3,4.2,4.1,4.2,yr,3.0,7.140425531914894,1.0
37440.0,Junior Web Developer and Designer,1.0,1,0,Craft & Communicate,Remote,3.915368421052632,1,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.574678111587984,3.788948497854077,hr,4.799479166666667,7.140425531914894,1.0
103193.0,React JS Developer,7.0,1,-1,cortracker inc,IN,3.915368421052632,0,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.574678111587984,3.788948497854077,yr,4.799479166666667,7.140425531914894,22.0
55000.0,Web Developer,1.0,1,-1,Region 6 ESC,TX,3.915368421052632,0,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.574678111587984,3.788948497854077,yr,4.799479166666667,7.140425531914894,12.0
119218.0,Frontend engineer,4.0,2,-1,Trood,NY,5.0,0,49.74418604651163,-1,-1,Private,Unknown,-1,-1,4.6,4.4,5.0,4.4,5.0,yr,4.799479166666667,7.140425531914894,10.0
45000.0,Junior Web Designer & Front-End Developer,0.0,1,1,Fame Foundry,NC,3.915368421052632,0,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.7384120171673816,3.774892703862661,3.859763948497854,3.574678111587984,3.788948497854077,yr,4.799479166666667,7.140425531914894,19.0
160000.0,Frontend Engineer,4.0,2,-1,BW Talent Solutions,CA,4.4,0,20.0,51 to 200 Employees,2003,Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,4.4,4.2,4.4,4.4,4.3,yr,2.0,7.140425531914894,4.0
72760.0,Front end Developer,2.0,2,-1,Gazelle Global Consulting,Remote,3.6,1,49.74418604651163,-1,-1,Private,Unknown,-1,-1,3.3,3.6,3.6,3.4,3.5,yr,4.799479166666667,7.140425531914894,1.0
