,Job Title,Annual Salary,Experience,Education,Is Remote,Company Size Scale,Company Old,Revenue Scale,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance
54,Web Developer,56160.0,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
55,React JS Developer,119600.0,9,2,0,2,-1,-1,5.0,5.0,5.0,5.0,5.0,5.0
56,Full Stack Web Developer - (Contract),64674.0,125,1,0,7,137,9,4.3,4.1,4.0,4.3,3.9,4.1
57,Web Developer,86000.0,4,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
58,PHP Developer,109200.0,8,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
59,Sr. Web Developer,107205.0,7,1,1,2,-1,-1,3.6,3.6,3.2,3.6,3.4,3.6
61,Frontend Engineer,154960.0,5,2,0,2,24,4,4.2,4.3,4.0,4.2,4.0,4.0
62,UI Developer,130000.0,1,2,1,2,8,2,4.9,4.9,4.7,4.9,4.9,4.9
63,"Software Engineer, Frontend",160000.0,8,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
65,PHP Developer,109200.0,8,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
67,Frontend Engineer,130000.0,5,2,0,-1,-1,-1,2.4,3.3,3.7,2.3,2.7,3.3
72,AngularJS Developer,111905.0,10,1,0,1,1,-1,-1,-1,-1,-1,-1,-1
74,Junior Software Engineer,85000.0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
75,Frontend Engineer (Remote),80000.0,2,1,1,1,6,-1,4.0,3.9,4.2,3.9,3.8,4.5
78,Web Developer,126214.4,3,1,0,2,18,-1,3.7,3.6,3.9,3.5,3.5,3.6
82,Java Developer,98800.0,10,1,0,2,18,-1,4.4,4.2,4.3,4.4,4.3,4.5
83,Frontend Engineer,135000.0,6,1,1,1,-1,-1,3.7,3.8,3.8,3.8,3.6,4.1
84,Web developer,88400.0,5,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
92,UI Developer,130000.0,1,2,1,2,8,2,4.9,4.9,4.7,4.9,4.9,4.9
96,Frontend Engineer,154960.0,5,2,0,2,24,4,4.2,4.3,4.0,4.2,4.0,4.0
98,Front End Developer - UI,90633.0,6,2,0,2,5,-1,4.5,4.9,4.4,4.4,4.4,4.0
101,AngularJS Developer,111905.0,10,1,0,1,1,-1,-1,-1,-1,-1,-1,-1
104,Frontend Engineer,135000.0,6,1,1,1,-1,-1,3.7,3.8,3.8,3.8,3.6,4.1
105,React Developer,130000.0,7,2,1,2,12,2,4.9,4.7,4.7,4.5,4.6,4.4
108,Java Developer,98800.0,10,1,0,2,18,-1,4.4,4.2,4.3,4.4,4.3,4.5
110,UX Designer/Developer,150800.0,1,2,1,3,23,-1,3.8,3.8,3.0,3.7,3.7,3.7
111,Junior Software Engineer,85000.0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
113,Web Developer,126214.4,3,1,0,2,18,-1,3.7,3.6,3.9,3.5,3.5,3.6
117,Frontend Engineer,130000.0,5,2,0,-1,-1,-1,2.4,3.3,3.7,2.3,2.7,3.3
118,UI Developer - Angular (Remote),130000.0,10,1,1,2,16,-1,4.8,4.5,4.1,4.8,4.7,4.4
119,Frontend Developer,115000.0,5,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
121,Frontend Engineer (Remote),80000.0,2,1,1,1,6,-1,4.0,3.9,4.2,3.9,3.8,4.5
124,Junior Software Engineer,85000.0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
125,VueJs Frontend Developer (Remote),79413.0,2,2,0,1,27,2,4.3,3.8,3.9,4.3,4.1,4.0
131,Frontend Engineer,135000.0,6,1,1,1,-1,-1,3.7,3.8,3.8,3.8,3.6,4.1
133,Front End Developer - UI,90633.0,6,2,0,2,5,-1,4.5,4.9,4.4,4.4,4.4,4.0
135,Junior Web Developer (React JS),67500.0,1,2,0,1,-1,-1,3.5,2.0,2.0,1.0,2.0,1.0
138,UX Designer/Developer,150800.0,1,2,1,3,23,-1,3.8,3.8,3.0,3.7,3.7,3.7
139,Web developer,88400.0,5,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
140,Junior Web UI Developer,84487.0,1,1,0,-1,-1,-1,4.7,4.9,4.7,4.9,4.9,4.9
142,Contract React Developer - Remote,98800.0,2,1,1,-1,-1,-1,4.1,4.0,3.5,3.8,3.9,3.7
143,Junior Front End Web Developer,69245.0,2,1,0,1,-1,-1,3.3,3.0,3.4,3.9,3.4,4.2
145,Web Developer,65245.0,2,1,0,1,-1,-1,3.6,2.3,2.5,3.2,2.7,2.2
146,Front End Web Developer - Remote,92500.0,5,1,0,2,31,6,3.9,3.7,3.4,3.8,3.6,3.7
147,Junior web developer,88400.0,5,2,0,2,10,-1,4.3,4.6,4.4,4.4,4.4,4.5
152,Frontend Engineer (Remote),80000.0,2,1,1,1,6,-1,4.0,3.9,4.2,3.9,3.8,4.5
153,Frontend Engineer,135000.0,6,1,1,1,-1,-1,3.7,3.8,3.8,3.8,3.6,4.1
158,Junior Software Engineer,85000.0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
164,Web developer,88400.0,5,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
165,Frontend Engineer,130000.0,5,2,0,-1,-1,-1,2.4,3.3,3.7,2.3,2.7,3.3
166,Junior Web Developer (React JS),67500.0,1,2,0,1,-1,-1,3.5,2.0,2.0,1.0,2.0,1.0
167,Front End Web Developer,77500.0,30,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1
168,"Senior Frontend Engineer, Web Studio",180500.0,6,2,1,2,12,-1,3.9,3.6,3.9,3.9,3.6,4.4
169,AngularJS Developer,111905.0,10,1,0,1,1,-1,-1,-1,-1,-1,-1,-1
173,Junior web developer,88400.0,5,2,0,2,10,-1,4.3,4.6,4.4,4.4,4.4,4.5
174,VueJs Frontend Developer (Remote),79413.0,2,2,0,1,27,2,4.3,3.8,3.9,4.3,4.1,4.0
175,Next JS Developer,72800.0,5,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
176,UI React Developer,100479.0,1,2,0,1,-1,-1,4.2,3.9,3.7,4.0,4.0,4.2
177,Angular UI Developer,135200.0,7,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
179,Software Engineer,100000.0,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
180,Frontend Engineer,125000.0,1,1,1,1,14,-1,4.3,3.8,3.5,4.4,4.0,4.0
183,Jr Frontend Developer,70000.0,20,1,0,4,24,7,4.1,4.0,3.8,4.0,3.7,4.1
185,Freelance Web Designer/Developer,59280.0,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
186,Frontend (UI) Engineer,160000.0,5,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
188,Java Developer (Contract),124800.0,20,1,0,4,24,7,4.1,4.0,3.8,4.0,3.7,4.1
189,Junior Software Developer (Remote),68078.0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
190,Frontend Engineer,154960.0,5,2,0,2,24,4,4.2,4.3,4.0,4.2,4.0,4.0
193,Frontend UI Developer,105000.0,7,2,0,2,13,4,4.0,3.7,3.8,3.7,3.5,3.9
195,Jr Frontend Developer,70000.0,10,1,0,2,18,-1,4.1,4.1,4.0,4.3,4.1,4.2
197,Frontend Engineer (Remote),80000.0,2,1,1,1,6,-1,4.0,3.9,4.2,3.9,3.8,4.5
199,Intermediate/Junior Web Developer,86400.0,1,1,0,1,-1,-1,1.6,1.0,1.0,1.5,1.0,1.5
200,Web Developer,110531.2,7,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
201,Web Developer - Contract,166400.0,4,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
204,Junior Web Developer,70326.0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
208,"Software Engineer, Frontend",160000.0,8,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
209,Web Developer,135200.0,1,1,0,2,18,-1,3.7,3.6,3.9,3.5,3.5,3.6
210,Frontend Engineer,125000.0,1,1,1,1,14,-1,4.3,3.8,3.5,4.4,4.0,4.0
214,Jr Frontend Developer,70000.0,20,1,0,4,24,7,4.1,4.0,3.8,4.0,3.7,4.1
215,Freelance Web Designer/Developer,59280.0,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
216,Junior Software Developer (Remote),68078.0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
217,Java Developer (Contract),124800.0,20,1,0,4,24,7,4.1,4.0,3.8,4.0,3.7,4.1
218,Frontend (UI) Engineer,160000.0,5,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
220,Frontend Engineer,154960.0,5,2,0,2,24,4,4.2,4.3,4.0,4.2,4.0,4.0
221,Web Developer,110531.2,7,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
224,Jr Frontend Developer,70000.0,10,1,0,2,18,-1,4.1,4.1,4.0,4.3,4.1,4.2
225,Web Developer - Contract,166400.0,4,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
228,"Software Engineer, Frontend",160000.0,8,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
229,Temporary Web Developer (Frontend),78000.0,20,1,0,3,24,-1,4.3,3.8,4.1,4.6,4.3,4.2
230,Frontend Engineer (Remote),80000.0,2,1,1,1,6,-1,4.0,3.9,4.2,3.9,3.8,4.5
233,Junior Web Developer,70326.0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
236,Mid-Level Web Developer,62400.0,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
237,"Web Developer, Marketing",75200.0,3,1,1,7,7,8,3.4,3.5,3.6,3.7,3.1,3.3
238,Intermediate/Junior Web Developer,86400.0,1,1,0,1,-1,-1,1.6,1.0,1.0,1.5,1.0,1.5
239,Frontend UI Developer,105000.0,7,2,0,2,13,4,4.0,3.7,3.8,3.7,3.5,3.9
241,Frontend Engineer,125000.0,1,1,1,1,14,-1,4.3,3.8,3.5,4.4,4.0,4.0
245,Jr Frontend Developer,70000.0,20,1,0,4,24,7,4.1,4.0,3.8,4.0,3.7,4.1
247,Junior Software Developer (Remote),68078.0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
248,Freelance Web Designer/Developer,59280.0,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
249,Frontend (UI) Engineer,160000.0,5,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
250,Java Developer (Contract),124800.0,20,1,0,4,24,7,4.1,4.0,3.8,4.0,3.7,4.1
252,Jr Frontend Developer,70000.0,10,1,0,2,18,-1,4.1,4.1,4.0,4.3,4.1,4.2
253,Frontend Engineer,154960.0,5,2,0,2,24,4,4.2,4.3,4.0,4.2,4.0,4.0
255,Front End Developer - UI,90633.0,6,2,0,2,5,-1,4.5,4.9,4.4,4.4,4.4,4.0
256,Web Developer,110531.2,7,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
257,Frontend UI Developer,105000.0,7,2,0,2,13,4,4.0,3.7,3.8,3.7,3.5,3.9
263,Intermediate/Junior Web Developer,86400.0,1,1,0,1,-1,-1,1.6,1.0,1.0,1.5,1.0,1.5
264,Temporary Web Developer (Frontend),78000.0,20,1,0,3,24,-1,4.3,3.8,4.1,4.6,4.3,4.2
265,Web Developer - Contract,166400.0,4,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
267,"Software Engineer, Frontend",160000.0,8,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
268,Junior Web Developer,70326.0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
269,Frontend Engineer (Remote),80000.0,2,1,1,1,6,-1,4.0,3.9,4.2,3.9,3.8,4.5
270,Frontend Engineer,125000.0,1,1,1,1,14,-1,4.3,3.8,3.5,4.4,4.0,4.0
271,Jr Frontend Developer,70000.0,20,1,0,4,24,7,4.1,4.0,3.8,4.0,3.7,4.1
272,Freelance Web Designer/Developer,59280.0,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
275,Frontend (UI) Engineer,160000.0,5,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
277,Jr Frontend Developer,70000.0,10,1,0,2,18,-1,4.1,4.1,4.0,4.3,4.1,4.2
278,Java Developer (Contract),124800.0,20,1,0,4,24,7,4.1,4.0,3.8,4.0,3.7,4.1
279,Frontend Engineer,154960.0,5,2,0,2,24,4,4.2,4.3,4.0,4.2,4.0,4.0
280,Junior Software Developer (Remote),68078.0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
283,Frontend Engineer,135000.0,6,1,1,1,-1,-1,3.7,3.8,3.8,3.8,3.6,4.1
285,Web Designer/Developer,41600.0,5,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
286,Web Developer,110531.2,7,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
289,Mid-Level Web Developer,62400.0,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
290,"Web Developer, Marketing",75200.0,3,1,1,7,7,8,3.4,3.5,3.6,3.7,3.1,3.3
291,"Software Engineer, Frontend",160000.0,8,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
292,Software Engineer,100000.0,2,1,1,1,13,2,4.3,4.3,4.4,4.3,4.3,4.4
293,Frontend UI Developer,105000.0,7,2,0,2,13,4,4.0,3.7,3.8,3.7,3.5,3.9
297,Software Developer,62400.0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
298,UX Designer/Developer,150800.0,1,2,1,3,23,-1,3.8,3.8,3.0,3.7,3.7,3.7
302,Jr Frontend Developer,70000.0,20,1,0,4,24,7,4.1,4.0,3.8,4.0,3.7,4.1
303,Junior Software Developer (Remote),68078.0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
305,Frontend Engineer,125000.0,1,1,1,1,14,-1,4.3,3.8,3.5,4.4,4.0,4.0
306,Frontend UI Developer,105000.0,7,2,0,2,13,4,4.0,3.7,3.8,3.7,3.5,3.9
309,Freelance Web Designer/Developer,59280.0,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
310,Java Developer (Contract),124800.0,20,1,0,4,24,7,4.1,4.0,3.8,4.0,3.7,4.1
311,Jr Frontend Developer,70000.0,10,1,0,2,18,-1,4.1,4.1,4.0,4.3,4.1,4.2
312,Frontend (UI) Engineer,160000.0,5,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
314,Frontend Engineer,154960.0,5,2,0,2,24,4,4.2,4.3,4.0,4.2,4.0,4.0
318,Intermediate/Junior Web Developer,86400.0,1,1,0,1,-1,-1,1.6,1.0,1.0,1.5,1.0,1.5
320,Front End Developer - UI,90633.0,6,2,0,2,5,-1,4.5,4.9,4.4,4.4,4.4,4.0
321,Web Developer - Remote,75116.0,2,1,0,7,147,7,3.9,3.3,3.5,3.7,3.3,3.7
322,"Software Engineer, Frontend",160000.0,8,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
325,Web Developer - Contract,166400.0,4,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
327,Web Designer/Developer,41600.0,5,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
329,"Web Developer, Marketing",75200.0,3,1,1,7,7,8,3.4,3.5,3.6,3.7,3.1,3.3
330,Freelance Web Designer/Developer,59280.0,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
331,Frontend Engineer,125000.0,1,1,1,1,14,-1,4.3,3.8,3.5,4.4,4.0,4.0
332,Frontend (UI) Engineer,160000.0,5,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
337,Java Developer (Contract),124800.0,20,1,0,4,24,7,4.1,4.0,3.8,4.0,3.7,4.1
338,Junior Software Developer (Remote),68078.0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
339,Jr Frontend Developer,70000.0,10,1,0,2,18,-1,4.1,4.1,4.0,4.3,4.1,4.2
340,Web Designer/Developer,41600.0,5,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
342,Freelance Web Designer (Contract),93600.0,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
343,"Software Engineer, Frontend",160000.0,8,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
344,Frontend UI Developer,105000.0,7,2,0,2,13,4,4.0,3.7,3.8,3.7,3.5,3.9
346,Frontend Engineer,154960.0,5,2,0,2,24,4,4.2,4.3,4.0,4.2,4.0,4.0
349,Web Developer,110531.2,7,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
351,Web Developer - Contract,166400.0,4,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
352,Front End Web Developer/Designer (WordPress Expertise Required),70900.0,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
353,Front End Developer - UI,90633.0,6,2,0,2,5,-1,4.5,4.9,4.4,4.4,4.4,4.0
358,Mid-Level Web Developer,62400.0,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
359,UI Developer,130000.0,1,2,1,2,8,2,4.9,4.9,4.7,4.9,4.9,4.9
360,Freelance Web Designer/Developer,59280.0,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
361,Frontend Engineer,125000.0,1,1,1,1,14,-1,4.3,3.8,3.5,4.4,4.0,4.0
363,Frontend (UI) Engineer,160000.0,5,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
364,Junior Software Developer (Remote),68078.0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
370,Java Developer (Contract),124800.0,20,1,0,4,24,7,4.1,4.0,3.8,4.0,3.7,4.1
371,Front End Developer - UI,90633.0,6,2,0,2,5,-1,4.5,4.9,4.4,4.4,4.4,4.0
372,"Software Engineer, Frontend",160000.0,8,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
373,Jr Frontend Developer,70000.0,20,1,0,4,24,7,4.1,4.0,3.8,4.0,3.7,4.1
375,Web Designer/Developer,41600.0,5,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
376,Frontend UI Developer,105000.0,7,2,0,2,13,4,4.0,3.7,3.8,3.7,3.5,3.9
377,Web Developer - Contract,166400.0,4,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
380,Frontend Engineer,154960.0,5,2,0,2,24,4,4.2,4.3,4.0,4.2,4.0,4.0
381,Frontend Engineer,135000.0,6,1,1,1,-1,-1,3.7,3.8,3.8,3.8,3.6,4.1
382,Mid-Level Web Developer,62400.0,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
386,Jr Frontend Developer,70000.0,10,1,0,2,18,-1,4.1,4.1,4.0,4.3,4.1,4.2
387,Web Developer / Graphic Designer Remote Part-Time Flexible,46800.0,7,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
388,Front End Web Developer/Designer (WordPress Expertise Required),70900.0,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
391,Frontend Engineer,125000.0,1,1,1,1,14,-1,4.3,3.8,3.5,4.4,4.0,4.0
392,Freelance Web Designer/Developer,59280.0,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
393,Frontend (UI) Engineer,160000.0,5,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
396,Java Developer (Contract),124800.0,20,1,0,4,24,7,4.1,4.0,3.8,4.0,3.7,4.1
397,Junior Software Developer (Remote),68078.0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
399,Web Designer/Developer,41600.0,5,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
401,Jr Frontend Developer,70000.0,20,1,0,4,24,7,4.1,4.0,3.8,4.0,3.7,4.1
404,"Software Engineer, Frontend",160000.0,8,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
407,Frontend UI Developer,105000.0,7,2,0,2,13,4,4.0,3.7,3.8,3.7,3.5,3.9
408,Email Developer,67600.0,1,1,1,1,-1,3,3.7,3.6,3.7,3.8,3.9,3.6
409,Frontend Engineer,154960.0,5,2,0,2,24,4,4.2,4.3,4.0,4.2,4.0,4.0
413,Web Designer,62400.0,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
414,Frontend Engineer (Remote),80000.0,2,1,1,1,6,-1,4.0,3.9,4.2,3.9,3.8,4.5
415,Web Developer - Contract,166400.0,4,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
416,PHP Web Developer,68494.4,9,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
417,Jr Frontend Developer,70000.0,10,1,0,2,18,-1,4.1,4.1,4.0,4.3,4.1,4.2
418,Web Developer - Remote,75116.0,2,1,0,7,147,7,3.9,3.3,3.5,3.7,3.3,3.7
419,Web Developer / Graphic Designer Remote Part-Time Flexible,46800.0,7,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
420,Freelance Web Designer/Developer,59280.0,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
421,Frontend (UI) Engineer,160000.0,5,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
422,Frontend Engineer,125000.0,1,1,1,1,14,-1,4.3,3.8,3.5,4.4,4.0,4.0
424,Java Developer (Contract),124800.0,20,1,0,4,24,7,4.1,4.0,3.8,4.0,3.7,4.1
427,Jr Frontend Developer,70000.0,20,1,0,4,24,7,4.1,4.0,3.8,4.0,3.7,4.1
430,Web Designer/Developer,41600.0,5,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
431,Frontend Engineer,154960.0,5,2,0,2,24,4,4.2,4.3,4.0,4.2,4.0,4.0
432,Junior Software Developer (Remote),68078.0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
433,"Software Engineer, Frontend",160000.0,8,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
437,Frontend UI Developer,105000.0,7,2,0,2,13,4,4.0,3.7,3.8,3.7,3.5,3.9
438,PHP Web Developer,68494.4,9,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
440,Jr Frontend Developer,70000.0,10,1,0,2,18,-1,4.1,4.1,4.0,4.3,4.1,4.2
443,Web Designer,62400.0,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
444,Web Developer,110531.2,7,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
446,Web Developer - Contract,166400.0,4,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
448,Mid-Level Web Developer,62400.0,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
450,Frontend Engineer,125000.0,1,1,1,1,14,-1,4.3,3.8,3.5,4.4,4.0,4.0
451,Frontend (UI) Engineer,160000.0,5,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
452,Freelance Web Designer/Developer,59280.0,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
455,Jr Frontend Developer,70000.0,20,1,0,4,24,7,4.1,4.0,3.8,4.0,3.7,4.1
457,Java Developer (Contract),124800.0,20,1,0,4,24,7,4.1,4.0,3.8,4.0,3.7,4.1
458,Frontend Engineer,154960.0,5,2,0,2,24,4,4.2,4.3,4.0,4.2,4.0,4.0
459,"Software Engineer, Frontend",160000.0,8,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
