Unnamed: 0,Job Title,Annual Salary,Experience,Education,Is Remote,Company Size Scale,Company Old,Revenue Scale,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance
45,Frontend Engineer,130000.0,5,2,0,-1,-1,-1,2.4,3.3,3.7,2.3,2.7,3.3
51,Junior Software Developer,64480.0,2,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
53,Jr Frontend Developer,70000.0,20,1,0,4,24,7,4.1,4.0,3.8,4.0,3.7,4.1
55,Sr. Software Engineer (Mobile / Web),125000.0,4,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
57,"QC "" Software"" Engineer",97500.0,5,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
66,Associate Software Engineer,83681.0,2,1,0,7,174,9,4.1,3.8,4.0,4.0,3.6,3.9
67,Associate Software Engineer - Entry Level,220480.0,3,1,0,2,5,3,3.4,-1.0,-1.0,-1.0,-1.0,-1.0
70,Software Engineer - Angular,160160.0,3,1,0,3,9,6,4.4,4.2,4.1,4.3,4.1,4.3
71,Sr. Software Engineer (Mobile / Web),125000.0,4,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
73,Python Software Engineer,157310.4,1,1,0,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
75,C# Software Engineer,145600.0,5,2,1,-1,8,-1,4.5,4.1,4.8,4.4,4.3,4.4
77,Frontend Engineer,130000.0,5,2,0,-1,-1,-1,2.4,3.3,3.7,2.3,2.7,3.3
82,Software Engineer - New Graduate,110500.0,4,1,0,5,23,7,3.7,3.5,3.9,3.6,3.2,3.7
83,Software Engineer (JavaScript),100000.0,3,2,0,2,11,-1,3.9,4.1,4.1,4.3,4.1,4.1
84,Software Engineer,135000.0,6,2,0,2,7,-1,5.0,4.9,4.4,5.0,5.0,4.9
91,Associate Software Engineer,83681.0,2,1,0,7,174,9,4.1,3.8,4.0,4.0,3.6,3.9
93,Associate Software Engineer,88500.0,2,1,1,5,40,7,3.7,3.2,3.5,3.8,3.2,4.1
95,Software Engineer - Remote,79074.0,1,2,0,2,-1,-1,2.9,2.9,3.1,2.9,2.9,3.2
96,Frontend Engineer (Remote),80000.0,2,1,1,1,6,-1,4.0,3.9,4.2,3.9,3.8,4.5
99,Software Engineer I,85000.0,2,1,1,1,-1,1,3.9,3.5,2.9,3.9,2.9,3.5
100,Software Engineer,105000.0,3,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
106,Frontend Engineer,150000.0,1,1,0,7,-1,-1,3.8,3.3,3.6,3.7,3.0,4.1
109,Software Engineer (JavaScript),100000.0,3,2,0,2,11,-1,3.9,4.1,4.1,4.3,4.1,4.1
110,Software Engineer II- Remote,120000.0,3,1,0,7,45,9,3.8,3.7,3.6,3.8,3.4,3.6
112,Frontend Engineer,135000.0,6,1,1,1,-1,-1,3.7,3.8,3.8,3.8,3.6,4.1
113,Software Engineer,135000.0,6,2,0,2,7,-1,5.0,4.9,4.4,5.0,5.0,4.9
121,Associate Software Engineer,88500.0,2,1,1,5,40,7,3.7,3.2,3.5,3.8,3.2,4.1
122,Associate Software Engineer,83681.0,2,1,0,7,174,9,4.1,3.8,4.0,4.0,3.6,3.9
123,Frontend Engineer (Remote),80000.0,2,1,1,1,6,-1,4.0,3.9,4.2,3.9,3.8,4.5
126,Software Engineer I,85000.0,2,1,1,1,-1,1,3.9,3.5,2.9,3.9,2.9,3.5
127,Software Engineer - Remote,79074.0,1,2,0,2,-1,-1,2.9,2.9,3.1,2.9,2.9,3.2
130,Software Engineer,105000.0,3,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
142,Software Engineer (Python),90000.0,2,2,1,2,-1,-1,3.5,3.1,4.1,3.3,3.1,4.3
149,Software Engineer,96347.0,2,1,0,7,95,8,4.0,3.8,3.6,4.0,3.6,4.0
154,Frontend Engineer (Remote),80000.0,2,1,1,1,6,-1,4.0,3.9,4.2,3.9,3.8,4.5
155,Associate Software Engineer,83681.0,2,1,0,7,174,9,4.1,3.8,4.0,4.0,3.6,3.9
156,Associate Software Engineer,88500.0,2,1,1,5,40,7,3.7,3.2,3.5,3.8,3.2,4.1
157,Software Engineer (Python),90000.0,2,2,1,2,-1,-1,3.5,3.1,4.1,3.3,3.1,4.3
158,Software Engineer I,85000.0,2,1,1,1,-1,1,3.9,3.5,2.9,3.9,2.9,3.5
165,Software Developer,81000.0,2,1,0,1,-1,-1,2.5,3.1,2.2,3.4,3.4,2.5
167,Software Engineer,105000.0,3,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
169,DevOps Engineer (Entry Level) (Remote),72325.0,4,1,0,5,29,6,4.0,3.8,3.6,4.0,3.6,3.9
170,Jr Frontend Developer,70000.0,10,1,0,2,18,-1,4.1,4.1,4.0,4.3,4.1,4.2
171,Software Engineer - Remote,79074.0,1,2,0,2,-1,-1,2.9,2.9,3.1,2.9,2.9,3.2
174,Associate Software Engineer I,71934.0,1,1,0,6,78,8,3.8,3.5,3.8,3.9,3.4,3.6
175,Junior Application Developer - Remote,78382.0,1,1,0,6,91,-1,3.8,3.7,3.7,3.8,3.7,3.5
177,Software Development Engineer,137847.0,3,2,0,7,18,7,4.2,3.9,4.2,4.3,3.8,4.3
182,Frontend engineer,50000.0,1,2,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
183,Software Engineer,105000.0,5,1,1,5,-1,7,3.4,3.6,3.6,3.1,3.2,3.2
184,Software Engineer,115000.0,2,1,1,2,-1,-1,4.8,4.4,4.4,4.7,4.7,5.0
185,Junior Software Developer,64480.0,2,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
186,Frontend Engineer,125000.0,1,1,1,1,14,-1,4.3,3.8,3.5,4.4,4.0,4.0
187,Jr Frontend Developer,70000.0,20,1,0,4,24,7,4.1,4.0,3.8,4.0,3.7,4.1
188,Associate Software Engineer,83681.0,2,1,0,7,174,9,4.1,3.8,4.0,4.0,3.6,3.9
191,Java Software Engineer,104000.0,5,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
193,Frontend Engineer (Remote),80000.0,2,1,1,1,6,-1,4.0,3.9,4.2,3.9,3.8,4.5
194,Software Engineer,100000.0,2,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
196,Associate Software Engineer - Entry Level,90000.0,3,1,0,1,-1,3,3.4,2.6,2.7,3.3,2.8,3.0
0,Frontend Engineer,125000.0,1,1,1,1,14,-1,4.3,3.8,3.5,4.4,4.0,4.0
1,Junior Level Cloud Engineer,88400.0,1,2,1,2,23,-1,3.9,3.5,3.4,3.6,3.7,3.5
3,Full Stack Software Engineer,125000.0,1,1,1,1,14,-1,4.3,3.8,3.5,4.4,4.0,4.0
5,Associate Software Engineer - Entry Level,90000.0,3,1,0,1,-1,3,3.4,2.6,2.7,3.3,2.8,3.0
6,Software Engineer,115000.0,2,1,1,2,-1,-1,4.8,4.4,4.4,4.7,4.7,5.0
8,Frontend Engineer,154960.0,5,2,0,2,24,4,4.2,4.3,4.0,4.2,4.0,4.0
9,Software Engineer,105000.0,5,1,1,5,-1,7,3.4,3.6,3.6,3.1,3.2,3.2
10,Azure Cloud Engineer Contractor,72800.0,3,2,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,Java Software Engineer,104000.0,5,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,Software Engineer - GIS,88847.0,2,1,0,5,26,6,4.1,4.2,4.1,4.3,4.2,3.9
13,Software Engineer - CommerceTools,94099.2,1,2,1,7,43,7,3.6,3.4,3.0,3.5,3.1,3.5
14,Junior Software Developer (Remote),68078.0,1,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,Software Engineer,100000.0,2,1,1,1,13,2,4.3,4.3,4.4,4.3,4.3,4.4
20,Junior Software Engineer,85000.0,1,1,0,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21,Junior Software Developer,64480.0,2,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
22,Software Engineer - AWS (Remote),184433.6,4,2,0,2,22,3,4.6,4.5,4.1,4.5,4.5,4.5
23,Junior Cloud Engineer,55000.0,2,2,0,7,43,7,3.6,3.4,3.0,3.5,3.1,3.5
24,Associate Software Engineer,83681.0,2,1,0,7,174,9,4.1,3.8,4.0,4.0,3.6,3.9
25,Software Development Engineer,145600.0,7,2,1,-1,8,-1,4.5,4.1,4.8,4.4,4.3,4.4
26,DevOps Engineer,107500.0,2,2,1,4,15,-1,4.0,4.0,3.6,4.2,3.8,3.6
29,DevOps Engineer,124800.0,8,2,0,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
31,Software Development Engineer,145600.0,7,2,1,-1,8,-1,4.5,4.1,4.8,4.4,4.3,4.4
32,Full Stack Java,119600.0,1,3,1,1,-1,-1,4.7,4.7,4.5,4.7,4.3,4.5
34,Software Engineer,100000.0,2,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
36,Associate Software Engineer - Entry Level,90000.0,3,1,0,1,-1,3,3.4,2.6,2.7,3.3,2.8,3.0
39,Software Engineer,140400.0,7,1,0,3,-1,3,4.5,4.4,4.2,4.4,3.8,4.4
42,Frontend Engineer,130000.0,5,2,0,-1,-1,-1,2.4,3.3,3.7,2.3,2.7,3.3
44,Software Engineer - AWS (Remote),184433.6,4,2,0,2,22,3,4.6,4.5,4.1,4.5,4.5,4.5
45,Engineer Software,110595.0,3,1,1,5,26,6,4.0,4.0,3.9,4.2,3.8,4.0
47,Full Stack Software Developer,27040.0,5,2,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
48,DevOps Engineer,107500.0,2,2,1,4,15,-1,4.0,4.0,3.6,4.2,3.8,3.6
49,Software Engineer - Full Stack,124350.0,20,2,0,7,25,9,3.9,3.5,3.9,4.0,3.4,4.0
50,DevOps Engineer,124800.0,8,2,0,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
51,Junior Software Developer,64480.0,2,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
52,Full Stack Engineer,156000.0,2,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
53,Software Engineer,105000.0,3,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
55,Backend Software Engineer (All Skill Levels),80000.0,1,2,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
58,Python Software Engineer,157310.4,1,1,0,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
59,Software Engineer,135000.0,6,2,0,2,7,-1,5.0,4.9,4.4,5.0,5.0,4.9
62,Software Engineer,100000.0,2,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
63,Software Engineer (JavaScript),100000.0,3,2,0,2,11,-1,3.9,4.1,4.1,4.3,4.1,4.1
65,Software Engineer,105000.0,3,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
66,Kubernetes Engineer,114400.0,1,3,0,1,-1,-1,4.2,3.9,3.7,4.0,4.0,4.2
69,DevOps Engineer,107500.0,2,2,1,4,15,-1,4.0,4.0,3.6,4.2,3.8,3.6
74,Software Engineer,135000.0,6,2,0,2,7,-1,5.0,4.9,4.4,5.0,5.0,4.9
77,Full Stack Software Developer,27040.0,5,2,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
80,Software Engineer - Full Stack,124350.0,20,2,0,7,25,9,3.9,3.5,3.9,4.0,3.4,4.0
82,Software Engineer,112950.0,18,1,0,7,56,9,4.1,4.1,4.2,4.0,3.5,3.6
87,Frontend Engineer,135000.0,6,1,1,1,-1,-1,3.7,3.8,3.8,3.8,3.6,4.1
88,Software Engineer (Full Stack),97800.0,3,1,0,7,135,9,3.8,3.5,3.8,3.6,3.2,3.4
94,Software Engineer I,85000.0,2,1,1,1,-1,1,3.9,3.5,2.9,3.9,2.9,3.5
99,Software Engineer - Full Stack,124350.0,20,2,0,7,25,9,3.9,3.5,3.9,4.0,3.4,4.0
103,DevOps Engineer,107500.0,2,2,1,4,15,-1,4.0,4.0,3.6,4.2,3.8,3.6
105,Software Engineer,105000.0,3,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
108,Software Engineer (Full Stack) - Remote,125000.0,5,2,0,4,20,4,4.0,3.3,3.7,3.1,3.5,3.5
110,Software Engineer,112950.0,18,1,0,7,56,9,4.1,4.1,4.2,4.0,3.5,3.6
114,Software Engineer,135000.0,6,2,0,2,7,-1,5.0,4.9,4.4,5.0,5.0,4.9
115,Frontend Engineer (Remote),80000.0,2,1,1,1,6,-1,4.0,3.9,4.2,3.9,3.8,4.5
118,Software Engineer,109000.0,4,1,1,5,51,7,3.9,3.8,4.2,4.2,3.7,4.2
119,Software Engineer I,74700.0,140,1,0,7,144,9,4.1,3.9,3.9,4.2,3.8,4.1
126,Kubernetes Engineer,114400.0,1,3,0,1,-1,-1,4.2,3.9,3.7,4.0,4.0,4.2
127,Software Engineer I,85000.0,2,1,1,1,-1,1,3.9,3.5,2.9,3.9,2.9,3.5
128,Software Engineer (Frontend),155000.0,2,2,0,4,17,6,4.3,4.2,4.3,4.4,4.2,4.2
132,Software Engineer - Full Stack,124350.0,20,2,0,7,25,9,3.9,3.5,3.9,4.0,3.4,4.0
133,Frontend Engineer,140000.0,1,1,0,7,-1,-1,3.8,3.3,3.6,3.7,3.0,4.1
137,Software Engineer - Remote,79074.0,1,2,0,2,-1,-1,2.9,2.9,3.1,2.9,2.9,3.2
142,Software Engineer | Frontend,120868.0,2,2,0,3,4,-1,4.5,4.7,4.6,4.6,4.5,4.1
145,"Software Engineer, Web - Remote",121900.0,2,1,0,5,50,-1,4.3,4.1,4.3,4.4,4.2,4.5
146,Software Engineer - Frontend,95544.0,3,1,0,4,5,-1,2.7,3.1,2.2,3.1,2.7,2.6
153,Frontend Engineer (Remote),80000.0,2,1,1,1,6,-1,4.0,3.9,4.2,3.9,3.8,4.5
154,Software Engineer I,85000.0,2,1,1,1,-1,1,3.9,3.5,2.9,3.9,2.9,3.5
156,Full Stack Software Developer,27040.0,5,2,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
162,AWS DevOps Engineer,135200.0,8,2,1,2,24,4,4.0,3.7,3.6,3.8,3.8,4.0
163,Frontend Engineer,140000.0,1,1,0,7,-1,-1,3.8,3.3,3.6,3.7,3.0,4.1
164,Full Stack Developer,124800.0,1,2,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
165,Software Engineer,109000.0,4,1,1,5,51,7,3.9,3.8,4.2,4.2,3.7,4.2
168,Software Engineer (Frontend),155000.0,2,2,0,4,17,6,4.3,4.2,4.3,4.4,4.2,4.2
173,AWS Devops Engineer,145600.0,3,1,0,2,13,4,4.0,3.7,3.8,3.7,3.5,3.9
174,Software Engineer,119600.0,2,2,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
177,Frontend Software Engineer,100000.0,3,1,1,1,10,-1,4.4,4.4,4.4,5.0,5.0,5.0
178,Software Engineer II (Remote Option*),109500.0,5,1,0,7,51,9,4.1,3.7,3.9,4.1,3.6,3.7
180,Frontend Engineer,125000.0,1,1,1,1,14,-1,4.3,3.8,3.5,4.4,4.0,4.0
181,Software Engineer,105000.0,5,1,1,5,-1,7,3.4,3.6,3.6,3.1,3.2,3.2
182,Software Engineer,115000.0,2,1,1,2,-1,-1,4.8,4.4,4.4,4.7,4.7,5.0
183,Junior Software Developer (Remote),68078.0,1,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
185,Junior Level Cloud Engineer,88400.0,1,2,1,2,23,-1,3.9,3.5,3.4,3.6,3.7,3.5
187,Kubernetes Engineer,114400.0,1,3,0,1,-1,-1,4.2,3.9,3.7,4.0,4.0,4.2
188,Software Engineer - CommerceTools,94099.2,1,2,1,7,43,7,3.6,3.4,3.0,3.5,3.1,3.5
190,Junior Software Developer,64480.0,2,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
192,Software Engineer,104150.0,2,1,0,7,25,9,3.9,3.5,3.9,4.0,3.4,4.0
194,Full Stack Software Engineer,125000.0,1,1,1,1,14,-1,4.3,3.8,3.5,4.4,4.0,4.0
197,Jr Frontend Developer,70000.0,20,1,0,4,24,7,4.1,4.0,3.8,4.0,3.7,4.1
198,Full Stack Java,119600.0,1,3,1,1,-1,-1,4.7,4.7,4.5,4.7,4.3,4.5
200,Software Engineer (Neo4J/Binqa),145600.0,5,2,1,4,-1,6,4.2,3.9,3.9,4.1,3.9,4.3
201,DevOps/Release Engineer,120099.2,5,1,0,1,-1,2,3.7,2.5,2.0,2.5,1.5,2.5
203,Software Engineer - GIS,88847.0,2,1,0,5,26,6,4.1,4.2,4.1,4.3,4.2,3.9
205,Software Engineer,135000.0,6,2,0,2,7,-1,5.0,4.9,4.4,5.0,5.0,4.9
206,Frontend Engineer,154960.0,5,2,0,2,24,4,4.2,4.3,4.0,4.2,4.0,4.0
207,Software Engineer,112950.0,18,1,0,7,56,9,4.1,4.1,4.2,4.0,3.5,3.6
211,Frontend Engineer,125000.0,1,1,1,1,14,-1,4.3,3.8,3.5,4.4,4.0,4.0
212,Junior Level Cloud Engineer,88400.0,1,2,1,2,23,-1,3.9,3.5,3.4,3.6,3.7,3.5
215,Junior Software Developer,64480.0,2,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
216,Junior Software Developer (Remote),68078.0,1,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
219,Software Engineer - CommerceTools,94099.2,1,2,1,7,43,7,3.6,3.4,3.0,3.5,3.1,3.5
220,Full Stack Software Engineer,125000.0,1,1,1,1,14,-1,4.3,3.8,3.5,4.4,4.0,4.0
223,Kubernetes Engineer,114400.0,1,3,0,1,-1,-1,4.2,3.9,3.7,4.0,4.0,4.2
224,Software Engineer (Neo4J/Binqa),145600.0,5,2,1,4,-1,6,4.2,3.9,3.9,4.1,3.9,4.3
226,Software Engineer,100000.0,2,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
227,Software Engineer (Full Stack) - Remote,125000.0,5,2,0,4,20,4,4.0,3.3,3.7,3.1,3.5,3.5
229,Software Engineer,100000.0,2,1,1,1,13,2,4.3,4.3,4.4,4.3,4.3,4.4
230,Software Engineer,112950.0,18,1,0,7,56,9,4.1,4.1,4.2,4.0,3.5,3.6
231,Java Software Engineer,104000.0,5,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
232,Software Engineer I,85000.0,2,1,1,4,29,7,4.6,4.5,4.3,4.4,4.6,4.4
234,Frontend Engineer (Remote),80000.0,2,1,1,1,6,-1,4.0,3.9,4.2,3.9,3.8,4.5
238,Software Engineer 1,80000.0,1,1,0,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
239,Software Engineer,105000.0,3,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
240,Software Engineer,105000.0,5,1,1,5,-1,7,3.4,3.6,3.6,3.1,3.2,3.2
241,Frontend Engineer,125000.0,1,1,1,1,14,-1,4.3,3.8,3.5,4.4,4.0,4.0
242,Kubernetes Engineer,114400.0,1,3,0,1,-1,-1,4.2,3.9,3.7,4.0,4.0,4.2
244,Junior Cloud Engineer,55000.0,2,2,0,7,43,7,3.6,3.4,3.0,3.5,3.1,3.5
245,Junior Level Cloud Engineer,88400.0,1,2,1,2,23,-1,3.9,3.5,3.4,3.6,3.7,3.5
246,Software Engineer,115000.0,2,1,1,2,-1,-1,4.8,4.4,4.4,4.7,4.7,5.0
248,DevOps/Release Engineer,120099.2,5,1,0,1,-1,2,3.7,2.5,2.0,2.5,1.5,2.5
249,Full Stack Software Engineer,125000.0,1,1,1,1,14,-1,4.3,3.8,3.5,4.4,4.0,4.0
250,Junior Software Developer,64480.0,2,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
251,Java Software Engineer,104000.0,5,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
252,Software Engineer,100000.0,2,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
253,Software Engineer - CommerceTools,94099.2,1,2,1,7,43,7,3.6,3.4,3.0,3.5,3.1,3.5
255,Full Stack Java,119600.0,1,3,1,1,-1,-1,4.7,4.7,4.5,4.7,4.3,4.5
256,Software Engineer,100000.0,2,1,1,1,13,2,4.3,4.3,4.4,4.3,4.3,4.4
257,Cloud Engineer,164008.0,7,2,0,2,18,-1,3.7,3.6,3.9,3.5,3.5,3.6
259,Frontend Engineer,154960.0,5,2,0,2,24,4,4.2,4.3,4.0,4.2,4.0,4.0
260,Junior Software Developer (Remote),68078.0,1,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
264,Azure Cloud Engineer Contractor,72800.0,3,2,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
270,Frontend Engineer,125000.0,1,1,1,1,14,-1,4.3,3.8,3.5,4.4,4.0,4.0
272,Software Engineer,105000.0,5,1,1,5,-1,7,3.4,3.6,3.6,3.1,3.2,3.2
273,Kubernetes Engineer,114400.0,1,3,0,1,-1,-1,4.2,3.9,3.7,4.0,4.0,4.2
274,Junior Level Cloud Engineer,88400.0,1,2,1,2,23,-1,3.9,3.5,3.4,3.6,3.7,3.5
276,Junior Software Developer,64480.0,2,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
278,Junior Software Developer (Remote),68078.0,1,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
279,Software Engineer,115000.0,2,1,1,2,-1,-1,4.8,4.4,4.4,4.7,4.7,5.0
280,Full Stack Software Engineer,125000.0,1,1,1,1,14,-1,4.3,3.8,3.5,4.4,4.0,4.0
282,Software Engineer - CommerceTools,94099.2,1,2,1,7,43,7,3.6,3.4,3.0,3.5,3.1,3.5
283,Software Engineer,100000.0,2,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
284,Junior Cloud Engineer,55000.0,2,2,0,7,43,7,3.6,3.4,3.0,3.5,3.1,3.5
288,Software Engineer,100000.0,2,1,1,1,13,2,4.3,4.3,4.4,4.3,4.3,4.4
291,Software Engineer I,85000.0,2,1,1,4,29,7,4.6,4.5,4.3,4.4,4.6,4.4
293,Remote Software Engineer - All Levels,128743.0,4,1,0,1,4,-1,4.3,4.2,4.6,4.2,4.1,4.2
294,Software Engineer,105000.0,3,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
295,AWS Cloud Engineer,166774.4,7,2,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
297,Azure Cloud Engineer Contractor,72800.0,3,2,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
298,Jr Frontend Developer,70000.0,20,1,0,4,24,7,4.1,4.0,3.8,4.0,3.7,4.1
299,Software Engineer (Neo4J/Binqa),145600.0,5,2,1,4,-1,6,4.2,3.9,3.9,4.1,3.9,4.3
300,Frontend Engineer,125000.0,1,1,1,1,14,-1,4.3,3.8,3.5,4.4,4.0,4.0
301,Software Engineer,105000.0,5,1,1,5,-1,7,3.4,3.6,3.6,3.1,3.2,3.2
302,Software Engineer,115000.0,2,1,1,2,-1,-1,4.8,4.4,4.4,4.7,4.7,5.0
303,Kubernetes Engineer,114400.0,1,3,0,1,-1,-1,4.2,3.9,3.7,4.0,4.0,4.2
304,Junior Level Cloud Engineer,88400.0,1,2,1,2,23,-1,3.9,3.5,3.4,3.6,3.7,3.5
