,Job Title,Annual Salary,Experience,Education,Is Remote,Company Size Scale,Company Old,Revenue Scale,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance
84,Web Developer,65245.0,2,1,0,1,-1,-1,3.6,2.3,2.5,3.2,2.7,2.2
85,Front End Web Developer - Remote,92500.0,5,1,0,2,31,6,3.9,3.7,3.4,3.8,3.6,3.7
86,Junior web developer,88400.0,5,2,0,2,10,-1,4.3,4.6,4.4,4.4,4.4,4.5
93,Front End Web Developer,77500.0,30,1,0,1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
94,"Senior Frontend Engineer, Web Studio",180500.0,6,2,1,2,12,-1,3.9,3.6,3.9,3.9,3.6,4.4
98,Next JS Developer,72800.0,5,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
99,UI React Developer,100479.0,1,2,0,1,-1,-1,4.2,3.9,3.7,4.0,4.0,4.2
100,Angular UI Developer,135200.0,7,2,0,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
101,Software Engineer,100000.0,2,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
105,Frontend (UI) Engineer,160000.0,5,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
112,Intermediate/Junior Web Developer,86400.0,1,1,0,1,-1,-1,1.6,1.0,1.0,1.5,1.0,1.5
133,"Web Developer, Marketing",75200.0,3,1,1,7,7,8,3.4,3.5,3.6,3.7,3.1,3.3
167,Software Engineer,100000.0,2,1,1,1,13,2,4.3,4.3,4.4,4.3,4.3,4.4
169,Software Developer,62400.0,1,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
200,Front End Web Developer/Designer (WordPress Expertise Required),70900.0,2,1,0,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
219,Web Developer / Graphic Designer Remote Part-Time Flexible,46800.0,7,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
232,Web Designer,62400.0,3,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
235,PHP Web Developer,68494.4,9,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
268,React fullstack Engineers,127920.0,8,2,1,1,-1,-1,4.2,3.9,3.7,4.0,4.0,4.2
301,web developer designer,44720.0,1,2,0,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
321,Remote Experienced Frontend Engineer - React,125000.0,4,2,1,2,16,4,4.2,4.4,4.2,4.3,4.0,4.2
492,Frontend Engineer,78000.0,5,2,0,3,24,-1,4.2,-1.0,-1.0,-1.0,-1.0,-1.0
514,Web-Based Application Developer,80000.0,2,1,0,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
562,Frontend Engineer,112459.0,5,2,0,4,-1,6,4.1,3.7,3.5,4.1,4.2,4.0
568,Web Designer,65000.0,3,1,0,-1,-1,-1,3.8,3.8,3.2,3.2,3.0,3.8
606,Senior Developer - Full Stack,114388.0,7,2,0,2,5,-1,4.5,4.9,4.4,4.4,4.4,4.0
623,Web Designer,37440.0,3,1,0,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
697,Web Developer,77076.0,4,1,0,1,-1,-1,5.0,5.0,5.0,5.0,5.0,5.0
