,Job Title,Annual Salary,Experience,Education,Position,Is Remote,Company Size Scale,Company Old,Revenue Scale,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance
63,"Jr. Software Developer (Java, Python)",88400.0,1,BACHELOR,JUNIOR,0,1,-1,2,5.0,-1,-1,-1,-1,-1
65,AWS Developer,90193.0,-1,MASTER,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
67,Jr. ReactJS/NodeJS Developer,68600.0,2,BACHELOR,JUNIOR,1,7,79,9,3.9,3.7,3.8,4.1,3.7,4.0
68,Junior Level Cloud Engineer,88400.0,1,MASTER,-1,1,2,23,-1,3.9,3.5,3.4,3.6,3.7,3.5
69,Junior Developer,110000.0,3,BACHELOR,SENIOR,0,5,56,7,3.7,3.5,3.3,3.7,3.4,3.6
70,Full Stack Software Developer,27040.0,5,MASTER,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
72,Jr Frontend Developer,70000.0,12,BACHELOR,-1,0,4,24,7,4.1,4.0,3.8,4.0,3.7,4.1
74,Junior Web Developer,70238.0,1,BACHELOR,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
75,Web Developer,145600.0,3,BACHELOR,-1,0,7,36,7,3.8,3.5,3.3,3.7,3.5,3.7
76,Java Developer,135200.0,6,BACHELOR,JUNIOR,0,1,-1,-1,5.0,4.5,4.5,5.0,5.0,5.0
77,Junior Developer,84240.0,-1,BACHELOR,-1,0,1,-1,1,2.1,1.7,2.0,1.7,1.7,1.7
78,Software Developer,114400.0,-1,MASTER,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
79,Java Developer,101691.2,4,MASTER,-1,0,1,-1,-1,4.1,4.1,4.0,4.0,4.0,4.1
80,Software Developer,82399.0,2,BACHELOR,SENIOR,0,5,39,6,4.3,4.4,4.1,4.2,4.2,4.1
81,Software Developer,98800.0,6,BACHELOR,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
82,Junior Level Full Stack Developer,72500.0,1,BACHELOR,JUNIOR,0,1,6,-1,4.2,4.2,3.6,4.1,4.1,4.0
83,Junior Software Developer,85253.0,-1,BACHELOR,JUNIOR,0,1,-1,-1,5.0,5.0,5.0,5.0,5.0,5.0
84,Software Developer,82500.0,3,BACHELOR,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
85,Java Developer,124800.0,-1,BACHELOR,-1,0,7,96,7,3.3,3.1,3.0,3.1,3.0,2.9
87,Software Developer (Remote),55736.0,5,BACHELOR,SENIOR,0,4,34,-1,4.3,3.9,4.1,4.3,4.2,3.9
89,Trainee - Software Developer,90411.0,1,BACHELOR,JUNIOR,0,2,-1,-1,3.7,3.8,3.5,3.6,3.6,3.6
90,Java Backend Developer,114400.0,6,BACHELOR,-1,0,3,14,3,4.7,4.4,4.3,4.6,4.4,4.5
91,AWS with Java Developer,121264.0,10,DOCTOR,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
92,Junior Level Cloud Engineer,88400.0,1,MASTER,-1,1,2,23,-1,3.9,3.5,3.4,3.6,3.7,3.5
93,Junior Level Full Stack Developer,72500.0,1,BACHELOR,JUNIOR,0,1,6,-1,4.2,4.2,3.6,4.1,4.1,4.0
94,Java Developer,135200.0,6,BACHELOR,JUNIOR,0,1,-1,-1,5.0,4.5,4.5,5.0,5.0,5.0
95,Full Stack Java,119600.0,1,DOCTOR,-1,1,1,-1,-1,4.7,4.7,4.5,4.7,4.3,4.5
96,Java/J2EE Developer,117520.0,-1,BACHELOR,-1,0,2,6,-1,4.3,4.0,4.0,4.3,3.9,4.1
97,"Jr. Software Developer (Java, Python)",88400.0,1,BACHELOR,JUNIOR,0,1,-1,2,5.0,-1,-1,-1,-1,-1
98,Software Developer (Remote),55736.0,5,BACHELOR,SENIOR,0,4,34,-1,4.3,3.9,4.1,4.3,4.2,3.9
99,Python Developer,114400.0,5,BACHELOR,SENIOR,0,5,-1,-1,4.5,4.4,4.2,4.2,3.9,4.1
100,Junior Web Developer,70238.0,1,BACHELOR,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
102,Software Developer,99364.0,-1,MASTER,-1,0,1,41,3,3.1,2.6,2.7,2.7,2.7,2.6
103,Software Developer,88548.0,2,BACHELOR,-1,0,7,172,7,4.2,3.8,3.6,4.0,3.7,4.1
104,Java AWS Developer,124800.0,10,MASTER,-1,0,2,-1,-1,5.0,5.0,5.0,5.0,5.0,5.0
105,Software Prototype Developer,124800.0,-1,BACHELOR,-1,0,2,5,3,4.6,4.4,4.5,4.5,4.4,4.3
107,Software Developer,66788.8,-1,MASTER,-1,0,-1,-1,-1,4.8,4.7,4.5,4.5,4.5,4.7
108,Software Engineer,112950.0,12,BACHELOR,JUNIOR,0,7,56,9,4.1,4.1,4.2,4.0,3.5,3.6
109,AWS Java Developer,124800.0,6,MASTER,-1,0,1,-1,-1,4.2,3.9,3.7,4.0,4.0,4.2
110,DevOps Engineer,109200.0,-1,MASTER,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
111,"Software Developer, Junior",75950.0,-1,BACHELOR,JUNIOR,0,7,109,8,4.2,4.1,3.9,4.3,4.0,4.3
112,Java Developer,124800.0,5,BACHELOR,JUNIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
113,Java Full Stack Developer,122500.0,7,MASTER,-1,0,7,325,7,3.9,3.7,3.6,3.9,3.5,3.9
114,Software Engineer (Neo4J/Binqa),145600.0,5,MASTER,-1,1,4,-1,6,4.2,3.9,3.9,4.1,3.9,4.3
115,Junior Full Stack Developer,55120.0,1,MASTER,JUNIOR,1,3,26,-1,4.0,4.0,3.9,4.0,3.8,4.0
116,Database Developer(SQL),169520.0,-1,BACHELOR,-1,0,2,24,4,3.6,3.6,3.4,3.5,3.6,3.5
118,Software Developer 1,103258.0,-1,MASTER,-1,0,7,46,9,3.9,3.7,3.5,3.8,3.6,4.0
119,Sr. Java Developer,145600.0,2,MASTER,JUNIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
120,AWS Developer,166400.0,5,BACHELOR,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
121,Jr. Software Developer,113270.0,-1,MASTER,SENIOR,0,1,14,3,5.0,5.0,5.0,5.0,4.5,5.0
122,Software Developer,99364.0,-1,MASTER,-1,0,1,41,3,3.1,2.6,2.7,2.7,2.7,2.6
123,Software Developer 1,103258.0,-1,MASTER,-1,0,7,46,9,3.9,3.7,3.5,3.8,3.6,4.0
124,Full Stack Java,119600.0,1,DOCTOR,-1,1,1,-1,-1,4.7,4.7,4.5,4.7,4.3,4.5
125,Software Developer,88548.0,2,BACHELOR,-1,0,7,172,7,4.2,3.8,3.6,4.0,3.7,4.1
126,Full Stack Developer,124800.0,1,MASTER,SENIOR,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
127,Junior Level Cloud Engineer,88400.0,1,MASTER,-1,1,2,23,-1,3.9,3.5,3.4,3.6,3.7,3.5
128,Full Stack Java Trainee,62400.0,-1,BACHELOR,SENIOR,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
129,Software Engineer,112950.0,12,BACHELOR,JUNIOR,0,7,56,9,4.1,4.1,4.2,4.0,3.5,3.6
130,Trainee - Software Developer,90411.0,1,BACHELOR,JUNIOR,0,2,-1,-1,3.7,3.8,3.5,3.6,3.6,3.6
131,Developer,90000.0,-1,MASTER,-1,1,4,52,6,3.4,3.4,3.3,3.6,3.0,3.8
132,Java Developer,135200.0,6,BACHELOR,JUNIOR,0,1,-1,-1,5.0,4.5,4.5,5.0,5.0,5.0
133,Software Developer,150000.0,5,BACHELOR,JUNIOR,0,1,3,-1,5.0,5.0,5.0,5.0,5.0,5.0
134,Software Developer,82399.0,2,BACHELOR,SENIOR,0,5,39,6,4.3,4.4,4.1,4.2,4.2,4.1
135,Junior Software Developer (Core),78372.0,1,BACHELOR,JUNIOR,0,-1,-1,-1,3.6,3.4,3.4,3.9,3.6,3.4
138,Junior Developer,84183.0,3,BACHELOR,JUNIOR,0,2,4,-1,4.8,4.5,4.2,5.0,4.8,4.7
139,Software Engineer - CommerceTools,94099.2,1,MASTER,SENIOR,1,7,43,7,3.6,3.4,3.0,3.5,3.1,3.5
140,Software Prototype Developer,124800.0,-1,BACHELOR,-1,0,2,5,3,4.6,4.4,4.5,4.5,4.4,4.3
141,Web Developer,145600.0,3,BACHELOR,-1,0,7,36,7,3.8,3.5,3.3,3.7,3.5,3.7
142,Software Developer I,64400.0,1,BACHELOR,SENIOR,0,5,-1,6,4.2,3.7,3.5,4.1,3.8,3.9
143,Junior Java Software Developer,75000.0,2,BACHELOR,JUNIOR,0,2,-1,-1,2.2,3.2,2.8,2.2,2.7,3.2
144,Junior Full Stack Developer,55120.0,1,MASTER,JUNIOR,1,3,26,-1,4.0,4.0,3.9,4.0,3.8,4.0
145,Python Developer,114400.0,5,BACHELOR,SENIOR,0,5,-1,-1,4.5,4.4,4.2,4.2,3.9,4.1
146,Java/J2EE Developer,117520.0,-1,BACHELOR,-1,0,2,6,-1,4.3,4.0,4.0,4.3,3.9,4.1
147,Junior Software Developer,68584.0,-1,MASTER,JUNIOR,0,1,14,3,2.8,2.9,3.3,3.0,2.8,2.7
149,Java Backend Developer,114400.0,6,BACHELOR,-1,0,3,14,3,4.7,4.4,4.3,4.6,4.4,4.5
150,AWS Developer,166400.0,5,BACHELOR,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
151,Jr. Software Developer,113270.0,-1,MASTER,SENIOR,0,1,14,3,5.0,5.0,5.0,5.0,4.5,5.0
152,Software Developer,99364.0,-1,MASTER,-1,0,1,41,3,3.1,2.6,2.7,2.7,2.7,2.6
153,Software Developer 1,103258.0,-1,MASTER,-1,0,7,46,9,3.9,3.7,3.5,3.8,3.6,4.0
154,Full Stack Java,119600.0,1,DOCTOR,-1,1,1,-1,-1,4.7,4.7,4.5,4.7,4.3,4.5
155,Full Stack Java Trainee,62400.0,-1,BACHELOR,SENIOR,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
156,Software Engineer,112950.0,12,BACHELOR,JUNIOR,0,7,56,9,4.1,4.1,4.2,4.0,3.5,3.6
157,Developer,90000.0,-1,MASTER,-1,1,4,52,6,3.4,3.4,3.3,3.6,3.0,3.8
158,Java Developer,135200.0,6,BACHELOR,JUNIOR,0,1,-1,-1,5.0,4.5,4.5,5.0,5.0,5.0
159,Software Developer,150000.0,5,BACHELOR,JUNIOR,0,1,3,-1,5.0,5.0,5.0,5.0,5.0,5.0
160,Software Developer,82399.0,2,BACHELOR,SENIOR,0,5,39,6,4.3,4.4,4.1,4.2,4.2,4.1
161,Junior Software Developer (Core),78372.0,1,BACHELOR,JUNIOR,0,-1,-1,-1,3.6,3.4,3.4,3.9,3.6,3.4
162,Software Developer,66788.8,-1,MASTER,-1,0,-1,-1,-1,4.8,4.7,4.5,4.5,4.5,4.7
164,Junior Developer,84183.0,3,BACHELOR,JUNIOR,0,2,4,-1,4.8,4.5,4.2,5.0,4.8,4.7
165,Software Engineer - CommerceTools,94099.2,1,MASTER,SENIOR,1,7,43,7,3.6,3.4,3.0,3.5,3.1,3.5
166,Software Prototype Developer,124800.0,-1,BACHELOR,-1,0,2,5,3,4.6,4.4,4.5,4.5,4.4,4.3
167,Web Developer,145600.0,3,BACHELOR,-1,0,7,36,7,3.8,3.5,3.3,3.7,3.5,3.7
168,Junior Java Software Developer,75000.0,2,BACHELOR,JUNIOR,0,2,-1,-1,2.2,3.2,2.8,2.2,2.7,3.2
169,Python Developer,114400.0,5,BACHELOR,SENIOR,0,5,-1,-1,4.5,4.4,4.2,4.2,3.9,4.1
170,Junior Software Developer,68584.0,-1,MASTER,JUNIOR,0,1,14,3,2.8,2.9,3.3,3.0,2.8,2.7
172,Java Backend Developer,114400.0,6,BACHELOR,-1,0,3,14,3,4.7,4.4,4.3,4.6,4.4,4.5
174,AWS with Java Developer,121264.0,10,DOCTOR,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
177,Software Developer,67278.0,1,BACHELOR,SENIOR,0,-1,-1,-1,3.6,3.1,2.8,3.8,3.1,3.7
178,Software Developer,82674.0,12,BACHELOR,-1,0,3,31,4,3.5,3.3,2.9,3.7,3.3,3.4
179,SOFTWARE DEVELOPER,92856.0,-1,BACHELOR,-1,0,-1,-1,-1,2.3,2.2,1.9,2.0,1.5,2.0
180,Junior Software Developer (Remote),68078.0,1,BACHELOR,JUNIOR,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
181,Software Developer,124800.0,2,BACHELOR,-1,1,2,-1,4,3.8,3.3,2.6,3.1,3.3,3.8
182,Python Developer With AWS,130000.0,10,MASTER,-1,0,3,14,3,4.7,4.4,4.3,4.6,4.4,4.5
183,Junior Software Developer,90000.0,-1,BACHELOR,JUNIOR,0,1,-1,-1,-1,-1,-1,-1,-1,-1
184,Terraform developer,156000.0,5,MASTER,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
186,Junior Software Developer,69420.0,2,BACHELOR,JUNIOR,0,1,-1,2,4.0,3.4,3.1,2.4,3.1,3.4
187,Junior Software Developer,91500.0,-1,BACHELOR,JUNIOR,0,-1,-1,-1,3.9,3.9,3.9,3.4,3.4,3.9
188,Software Developer - JAVA (#0000101540),142480.0,5,BACHELOR,JUNIOR,0,5,24,6,3.5,3.5,3.2,3.4,3.2,3.5
190,Software Developer,82500.0,4,BACHELOR,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
191,Jr Frontend Developer,70000.0,10,BACHELOR,SENIOR,0,2,18,-1,4.1,4.1,4.0,4.3,4.1,4.2
192,AWS Developer,90193.0,-1,MASTER,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
193,Python Developer,109275.0,2,BACHELOR,-1,1,3,-1,-1,-1,-1,-1,-1,-1,-1
194,Apigee API Software Developer,114400.0,-1,MASTER,SENIOR,1,2,-1,-1,5.0,5.0,4.7,4.9,4.7,5.0
195,Software Developer,90000.0,3,BACHELOR,-1,1,3,38,6,4.4,4.4,3.7,4.3,4.0,4.0
196,Junior Software Developer,84897.0,5,BACHELOR,JUNIOR,0,4,34,7,2.8,3.2,2.8,2.9,2.6,2.7
198,Java Full Stack Developer,129001.6,-1,BACHELOR,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
199,Software Developer,140400.0,1,BACHELOR,-1,0,1,-1,-1,4.1,4.1,4.1,4.1,4.1,4.1
200,AWS Developer,166400.0,5,BACHELOR,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
202,AWS FULL STACK DEVELOPER,187200.0,9,BACHELOR,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
203,Junior Level Software Developer,70000.0,1,BACHELOR,JUNIOR,0,1,6,-1,4.2,4.2,3.6,4.1,4.1,4.0
204,Jr. ReactJS/NodeJS Developer,68600.0,2,BACHELOR,JUNIOR,1,7,79,9,3.9,3.7,3.8,4.1,3.7,4.0
206,Jr Frontend Developer,70000.0,12,BACHELOR,-1,0,4,24,7,4.1,4.0,3.8,4.0,3.7,4.1
207,Software Developer,102500.0,-1,MASTER,SENIOR,1,-1,-1,-1,3.6,5.0,5.0,5.0,5.0,4.0
209,Jr. Web Developer,45760.0,1,BACHELOR,JUNIOR,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
210,Junior Software Developer (Remote),68078.0,1,BACHELOR,JUNIOR,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
211,Software Developer,124800.0,2,BACHELOR,-1,1,2,-1,4,3.8,3.3,2.6,3.1,3.3,3.8
212,Python Developer With AWS,130000.0,10,MASTER,-1,0,3,14,3,4.7,4.4,4.3,4.6,4.4,4.5
213,Junior Software Developer,90000.0,-1,BACHELOR,JUNIOR,0,1,-1,-1,-1,-1,-1,-1,-1,-1
214,Terraform developer,156000.0,5,MASTER,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
216,Junior Software Developer,69420.0,2,BACHELOR,JUNIOR,0,1,-1,2,4.0,3.4,3.1,2.4,3.1,3.4
217,Junior Software Developer,91500.0,-1,BACHELOR,JUNIOR,0,-1,-1,-1,3.9,3.9,3.9,3.4,3.4,3.9
220,Software Developer,82500.0,4,BACHELOR,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
222,AWS Developer,90193.0,-1,MASTER,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
223,Python Developer,109275.0,2,BACHELOR,-1,1,3,-1,-1,-1,-1,-1,-1,-1,-1
224,Apigee API Software Developer,114400.0,-1,MASTER,SENIOR,1,2,-1,-1,5.0,5.0,4.7,4.9,4.7,5.0
225,Software Developer,90000.0,3,BACHELOR,-1,1,3,38,6,4.4,4.4,3.7,4.3,4.0,4.0
226,Junior Software Developer,84897.0,5,BACHELOR,JUNIOR,0,4,34,7,2.8,3.2,2.8,2.9,2.6,2.7
227,"Software Developer, Frontend",120000.0,-1,BACHELOR,-1,1,3,8,-1,4.5,4.1,4.3,4.2,4.1,4.2
228,Java Full Stack Developer,129001.6,-1,BACHELOR,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
229,Software Developer,140400.0,1,BACHELOR,-1,0,1,-1,-1,4.1,4.1,4.1,4.1,4.1,4.1
230,AWS Developer,166400.0,5,BACHELOR,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
232,AWS FULL STACK DEVELOPER,187200.0,9,BACHELOR,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
233,Junior Level Software Developer,70000.0,1,BACHELOR,JUNIOR,0,1,6,-1,4.2,4.2,3.6,4.1,4.1,4.0
234,Jr. ReactJS/NodeJS Developer,68600.0,2,BACHELOR,JUNIOR,1,7,79,9,3.9,3.7,3.8,4.1,3.7,4.0
236,Jr Frontend Developer,70000.0,12,BACHELOR,-1,0,4,24,7,4.1,4.0,3.8,4.0,3.7,4.1
237,Software Developer,102500.0,-1,MASTER,SENIOR,1,-1,-1,-1,3.6,5.0,5.0,5.0,5.0,4.0
239,Jr. Web Developer,45760.0,1,BACHELOR,JUNIOR,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
240,Python Developer With AWS,130000.0,10,MASTER,-1,0,3,14,3,4.7,4.4,4.3,4.6,4.4,4.5
241,Software Developer,124800.0,2,BACHELOR,-1,1,2,-1,4,3.8,3.3,2.6,3.1,3.3,3.8
242,Junior Software Developer (Remote),68078.0,1,BACHELOR,JUNIOR,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
243,Terraform developer,156000.0,5,MASTER,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
244,Software Developer - JAVA (#0000101540),142480.0,5,BACHELOR,JUNIOR,0,5,24,6,3.5,3.5,3.2,3.4,3.2,3.5
245,AWS Developer,166400.0,5,BACHELOR,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
246,Software Developer,140400.0,1,BACHELOR,-1,0,1,-1,-1,4.1,4.1,4.1,4.1,4.1,4.1
247,Java Full Stack Developer,129001.6,-1,BACHELOR,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
248,Apigee API Software Developer,114400.0,-1,MASTER,SENIOR,1,2,-1,-1,5.0,5.0,4.7,4.9,4.7,5.0
249,AWS FULL STACK DEVELOPER,187200.0,9,BACHELOR,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
250,Junior Software Developer,90000.0,-1,BACHELOR,JUNIOR,0,1,-1,-1,-1,-1,-1,-1,-1,-1
251,Junior Software Developer,69420.0,2,BACHELOR,JUNIOR,0,1,-1,2,4.0,3.4,3.1,2.4,3.1,3.4
252,Java Backend Developer,114400.0,6,BACHELOR,-1,0,3,14,3,4.7,4.4,4.3,4.6,4.4,4.5
254,AWS Developer,90193.0,-1,MASTER,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
255,Frontend UI Developer,105000.0,7,MASTER,-1,0,2,13,4,4.0,3.7,3.8,3.7,3.5,3.9
256,IT Software Developer,142480.0,2,BACHELOR,-1,0,-1,-1,-1,4.0,4.1,3.9,4.1,4.2,3.9
257,Junior Developer,84240.0,-1,BACHELOR,-1,0,1,-1,1,2.1,1.7,2.0,1.7,1.7,1.7
260,Software Developer,82500.0,4,BACHELOR,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
261,Java Developer,124800.0,-1,BACHELOR,-1,0,7,96,7,3.3,3.1,3.0,3.1,3.0,2.9
262,Java Full Stack Developer 021,150800.0,5,MASTER,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
263,Jr. Software Developer,101668.0,-1,BACHELOR,JUNIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
264,Sr. Java Developer,145600.0,2,MASTER,JUNIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
265,Software Developer,114400.0,-1,MASTER,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
266,Java AWS Developer,124800.0,10,MASTER,-1,0,2,-1,-1,5.0,5.0,5.0,5.0,5.0,5.0
267,Jr Frontend Developer,70000.0,10,BACHELOR,SENIOR,0,2,18,-1,4.1,4.1,4.0,4.3,4.1,4.2
268,Java Developer,124800.0,5,BACHELOR,JUNIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
269,Automation Testing Software Developer,114400.0,-1,BACHELOR,-1,0,2,-1,3,3.7,2.3,2.8,3.0,2.6,3.2
