,Job Title,Annual Salary,Experience,Education,Position,Location,Is Remote,Company Size,Company Size Scale,Founded,Company Old,Industry,Sector,Revenue,Revenue Scale,Type of Ownership,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Company Name,Time of Scrape
29,Software Developer,86285.0,-1,MASTER,-1,"Dahlgren, VA",0,201 to 500 Employees,3,1999,24,Computer Hardware Development,Information Technology,$25 to $100 million (USD),4,Company - Private,4.7,4.4,4.3,4.8,4.6,4.6,"Rite-Solutions, Inc.
4.7",2023-05-11 14:21:31.813803
30,Junior Java Developer,69680.0,1,BACHELOR,-1,"Chicago, IL",0,1 to 50 Employees,1,-1,-1,-1,-1,$1 to $5 million (USD),2,Company - Private,5.0,-1,-1,-1,-1,-1,"DSMH LLC
5.0",2023-05-11 14:21:36.205081
31,Junior Level Software Developer,70000.0,1,BACHELOR,JUNIOR,"Princeton, NJ",0,1 to 50 Employees,1,2017,6,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.2,4.2,3.6,4.1,4.1,4.0,"BeaconFire Solution
4.2",2023-05-11 14:21:37.794498
32,"Jr. Software Developer (Java, Python)",88400.0,1,BACHELOR,JUNIOR,"Chicago, IL",0,1 to 50 Employees,1,-1,-1,-1,-1,$1 to $5 million (USD),2,Company - Private,5.0,-1,-1,-1,-1,-1,"DSMH LLC
5.0",2023-05-11 14:21:39.460551
33,Jr Frontend Developer,70000.0,10,BACHELOR,SENIOR,"Austin, TX",0,51 to 200 Employees,2,2005,18,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.1,4.1,4.0,4.3,4.1,4.2,"Modernize Home Services
4.1",2023-05-11 14:21:40.939375
34,Software Developer,114400.0,-1,MASTER,-1,"Muscle Shoals, AL",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Give Social LLC,2023-05-11 14:21:42.516742
35,AWS Developer,166400.0,5,BACHELOR,-1,"Charlotte, NC",0,Unknown,-1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,-1,-1,-1,-1,-1,-1,Next Gen It,2023-05-11 14:21:43.866363
36,Jr. ReactJS/NodeJS Developer,68600.0,2,BACHELOR,JUNIOR,Remote,1,10000+ Employees,7,1944,79,Insurance Carriers,Insurance,$10+ billion (USD),9,Nonprofit Organization,3.9,3.6,3.8,4.0,3.7,3.9,"Florida Blue
3.9",2023-05-11 14:21:45.406075
37,AWS with Java Developer,121264.0,10,DOCTOR,-1,"Plano, TX",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Trinity Technologies,2023-05-11 14:21:47.050083
38,Software Developer 1,103258.0,-1,MASTER,-1,"Kansas City, MO",0,10000+ Employees,7,1977,46,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),9,Company - Public,3.9,3.7,3.5,3.8,3.6,4.0,"Oracle
3.9",2023-05-11 14:21:48.441490
39,Software Developer,99364.0,-1,MASTER,-1,"Syosset, NY",0,1 to 50 Employees,1,1982,41,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3,Company - Private,3.1,2.6,2.7,2.7,2.7,2.6,"Hi-tek Data
3.1",2023-05-11 14:21:50.015492
40,Software Developer I,64400.0,1,BACHELOR,SENIOR,"Riverside, CA",0,1001 to 5000 Employees,5,-1,-1,Colleges & Universities,Education,$100 to $500 million (USD),6,College / University,4.2,3.7,3.5,4.1,3.8,3.9,"University of California, Riverside
4.2",2023-05-11 14:21:51.699192
41,Full Stack Java,119600.0,1,DOCTOR,-1,Remote,1,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Contract,4.7,4.7,4.5,4.7,4.3,4.5,"Fuge Technologies Inc
4.7",2023-05-11 14:21:53.566417
43,Junior Developer,84240.0,-1,BACHELOR,-1,"Phoenix, AZ",0,1 to 50 Employees,1,-1,-1,-1,-1,Less than $1 million (USD),1,Company - Private,2.1,1.7,2.0,1.7,1.7,1.7,"Iannarino Fullen Group
2.1",2023-05-11 14:21:56.414472
44,Software Developer,94109.0,7,BACHELOR,SENIOR,"Milwaukee, WI",0,1001 to 5000 Employees,5,1919,104,Investment & Asset Management,Financial Services,$1 to $5 billion (USD),7,Company - Private,4.3,4.2,4.1,4.4,4.1,3.9,"Robert W. Baird
4.3",2023-05-11 14:21:58.255146
46,Software Developer,146640.0,-1,BACHELOR,-1,"Omaha, NE",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Blue Space Health Care,2023-05-11 14:22:02.463273
47,Junior Software Developer (Core),78372.0,1,BACHELOR,JUNIOR,"Houston, TX",0,Unknown,-1,-1,-1,Banking & Lending,Financial Services,Unknown / Non-Applicable,-1,Company - Public,3.6,3.4,3.4,3.9,3.6,3.4,"FIRST SERVICE CREDIT UNION
3.6",2023-05-11 14:22:03.951309
48,"Software Developer, Junior",75950.0,-1,BACHELOR,JUNIOR,"Charleston, SC",0,10000+ Employees,7,1914,109,Business Consulting,Management & Consulting,$5 to $10 billion (USD),8,Company - Public,4.2,4.1,3.9,4.3,4.0,4.3,"Booz Allen Hamilton
4.2",2023-05-11 14:22:05.537499
49,Java Developer,124800.0,-1,BACHELOR,-1,"Irving, TX",0,10000+ Employees,7,1927,96,Food & Beverage Stores,Retail & Wholesale,$1 to $5 billion (USD),7,Company - Private,3.3,3.1,3.0,3.1,3.0,2.9,"7-Eleven
3.3",2023-05-11 14:22:07.234358
50,Junior Developer,110000.0,3,BACHELOR,SENIOR,"New York, NY",0,1001 to 5000 Employees,5,1967,56,Investment & Asset Management,Financial Services,$1 to $5 billion (USD),7,Company - Public,3.7,3.5,3.3,3.7,3.4,3.6,"AllianceBernstein
3.7",2023-05-11 14:22:09.060270
51,Jr Frontend Developer,70000.0,20,BACHELOR,-1,"Austin, TX",0,501 to 1000 Employees,4,1999,24,Advertising & Public Relations,Media & Communication,$500 million to $1 billion (USD),7,Company - Public,4.1,4.0,3.8,4.0,3.7,4.1,"QuinStreet
4.1",2023-05-11 14:22:10.771231
52,IT Software Developer,72800.0,3,MASTER,-1,"San Francisco, CA",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Adverts247,2023-05-11 14:22:12.544016
53,Software Developer,88548.0,2,BACHELOR,-1,"Minneapolis, MN",0,10000+ Employees,7,1851,172,Colleges & Universities,Education,$1 to $5 billion (USD),7,College / University,4.2,3.8,3.6,4.0,3.7,4.1,"University of Minnesota
4.2",2023-05-11 14:22:14.081332
54,Python Developer,145600.0,3,MASTER,SENIOR,"Irving, TX",0,1001 to 5000 Employees,5,2007,16,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD),7,Company - Private,3.6,3.6,3.8,3.8,3.2,3.9,"Python Developer
3.6",2023-05-11 14:22:15.878496
55,Full Stack Software Developer,27040.0,5,MASTER,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Remedy Well,2023-05-11 14:22:17.673214
56,Junior Software Developer,85253.0,-1,BACHELOR,JUNIOR,"Boston, MA",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,5.0,5.0,5.0,5.0,5.0,5.0,"NetCapital
5.0",2023-05-11 14:22:19.232501
57,Software Developer,67278.0,1,BACHELOR,SENIOR,"Marion, IN",0,501 to 1000 Employees,4,1919,104,Colleges & Universities,Education,$100 to $500 million (USD),6,College / University,3.6,3.1,2.8,3.8,3.1,3.7,"Indiana Wesleyan University
3.6",2023-05-11 14:22:20.984448
58,AWS FULL STACK DEVELOPER,187200.0,9,BACHELOR,SENIOR,"New York, NY",0,Unknown,-1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,-1,-1,-1,-1,-1,-1,Next Gen It,2023-05-11 14:22:22.887998
59,Software Developer,98800.0,6,BACHELOR,-1,"Dallas, TX",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Symplore,2023-05-11 14:22:24.559098
60,Software Developer,88548.0,2,BACHELOR,-1,"Minneapolis, MN",0,10000+ Employees,7,1851,172,Colleges & Universities,Education,$1 to $5 billion (USD),7,College / University,4.2,3.8,3.6,4.0,3.7,4.1,"University of Minnesota
4.2",2023-05-11 14:22:28.913463
61,"Software Developer, Junior",75950.0,-1,BACHELOR,JUNIOR,"Charleston, SC",0,10000+ Employees,7,1914,109,Business Consulting,Management & Consulting,$5 to $10 billion (USD),8,Company - Public,4.2,4.1,3.9,4.3,4.0,4.3,"Booz Allen Hamilton
4.2",2023-05-11 14:22:31.030079
62,Jr. ReactJS/NodeJS Developer,68600.0,-1,-1,-1,Remote,1,10000+ Employees,7,1944,79,Insurance Carriers,Insurance,$10+ billion (USD),9,Nonprofit Organization,3.9,3.7,3.8,4.1,3.7,4.0,"Florida Blue
3.9",2023-05-11 14:22:33.005297
63,Software Developer I,64400.0,1,BACHELOR,SENIOR,"Riverside, CA",0,1001 to 5000 Employees,5,-1,-1,Colleges & Universities,Education,$100 to $500 million (USD),6,College / University,4.2,3.7,3.5,4.1,3.8,3.9,"University of California, Riverside
4.2",2023-05-11 14:22:35.000378
64,Software Developer,97395.0,-1,BACHELOR,SENIOR,"Falls Church, VA",0,51 to 200 Employees,2,2005,18,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,5.0,5.0,5.0,5.0,5.0,5.0,"Inalab Consulting
5.0",2023-05-11 14:22:36.815508
65,Software Developer,66788.8,-1,MASTER,-1,"Medford, OR",0,Unknown,-1,-1,-1,Primary & Secondary Schools,Education,Unknown / Non-Applicable,-1,School / School District,4.8,4.7,4.5,4.5,4.5,4.7,"Southern Oregon ESD
4.8",2023-05-11 14:22:38.771459
67,Developer,90000.0,-1,MASTER,-1,Remote,1,Unknown,-1,-1,-1,Software Development,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.2,2.8,2.9,3.0,2.5,3.7,"Instec Corp
3.2",2023-05-11 14:22:42.353641
68,Junior Web Developer,70238.0,1,BACHELOR,-1,"New York, NY",0,Unknown,-1,-1,-1,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Company - Private,-1,-1,-1,-1,-1,-1,Crunchapps,2023-05-11 14:22:44.370100
69,Junior Java Software Developer,75000.0,2,BACHELOR,JUNIOR,"New York, NY",0,51 to 200 Employees,2,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,2.2,3.2,2.8,2.2,2.7,3.2,"Ninth Wave
2.2",2023-05-11 14:22:46.055341
70,Software Developer,84040.0,2,BACHELOR,-1,"Irvine, CA",0,1 to 50 Employees,1,2012,11,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,-1,Company - Private,3.8,3.8,3.5,3.8,3.8,3.5,"U-PARTS
3.8",2023-05-11 14:22:48.019510
71,Software Developer 1,103258.0,-1,MASTER,-1,"Kansas City, MO",0,10000+ Employees,7,1977,46,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),9,Company - Public,3.9,3.7,3.5,3.8,3.6,4.0,"Oracle
3.9",2023-05-11 14:22:49.924484
72,Trainee - Software Developer,90411.0,1,BACHELOR,JUNIOR,"San Francisco, CA",0,51 to 200 Employees,2,-1,-1,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.7,3.8,3.5,3.6,3.6,3.6,"LeewayHertz
3.7",2023-05-11 14:22:51.596486
73,Associate Software Developer (Remote),92239.0,2,BACHELOR,JUNIOR,"Reston, VA",0,5001 to 10000 Employees,6,1969,54,Business Consulting,Management & Consulting,$1 to $5 billion (USD),7,Company - Public,3.8,3.7,3.3,3.9,3.5,3.7,"ICF
3.8",2023-05-11 14:22:53.349272
74,Java Developer,78000.0,-1,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ascent Solutions,2023-05-11 14:22:55.222533
75,Junior Developer,110000.0,3,BACHELOR,SENIOR,"New York, NY",0,1001 to 5000 Employees,5,1967,56,Investment & Asset Management,Financial Services,$1 to $5 billion (USD),7,Company - Public,3.7,3.5,3.3,3.7,3.4,3.6,"AllianceBernstein
3.7",2023-05-11 14:22:56.805392
76,Software Engineer,112950.0,-1,-1,-1,"Dallas, TX",0,10000+ Employees,7,1967,56,"Airlines, Airports & Air Transportation",Transportation & Logistics,$10+ billion (USD),9,Company - Public,4.1,4.1,4.2,4.0,3.5,3.6,"Southwest Airlines
4.1",2023-05-11 14:22:58.655178
77,Junior Java Developer,69680.0,1,BACHELOR,-1,"Chicago, IL",0,1 to 50 Employees,1,-1,-1,-1,-1,$1 to $5 million (USD),2,Company - Private,5.0,-1,-1,-1,-1,-1,"DSMH LLC
5.0",2023-05-11 14:23:00.553633
79,Junior Software Developer (Core),78372.0,1,BACHELOR,JUNIOR,"Houston, TX",0,Unknown,-1,-1,-1,Banking & Lending,Financial Services,Unknown / Non-Applicable,-1,Company - Public,3.6,3.4,3.4,3.9,3.6,3.4,"FIRST SERVICE CREDIT UNION
3.6",2023-05-11 14:23:04.119347
80,Jr. Application Developer,55000.0,1,BACHELOR,SENIOR,"Indianapolis, IN",0,1 to 50 Employees,1,2003,20,Software Development,Information Technology,$5 to $25 million (USD),3,Company - Private,3.6,3.5,3.5,4.0,3.4,3.5,"DB Services
3.6",2023-05-11 14:23:06.047394
82,SOFTWARE DEVELOPER,92824.0,-1,BACHELOR,-1,"Ronkonkoma, NY",0,Unknown,-1,-1,-1,Consumer Product Manufacturing,Manufacturing,Unknown / Non-Applicable,-1,Company - Private,2.3,2.2,1.9,2.0,1.5,2.0,"Perfume Center of America
2.3",2023-05-11 14:23:09.844141
83,Full Stack Java,119600.0,1,DOCTOR,-1,Remote,1,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Contract,4.7,4.7,4.5,4.7,4.3,4.5,"Fuge Technologies Inc
4.7",2023-05-11 14:23:11.661136
84,Junior Software Developer,68496.0,-1,MASTER,JUNIOR,"Union, NY",0,1 to 50 Employees,1,2009,14,Computer Hardware Development,Information Technology,$5 to $25 million (USD),3,Company - Private,2.8,2.9,3.3,3.0,2.8,2.7,"Elevate HR
2.8",2023-05-11 14:23:13.464295
86,Junior Software Developer,78562.0,-1,BACHELOR,-1,"Fredericksburg, VA",0,1 to 50 Employees,1,-1,-1,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.0,5.0,3.0,3.0,3.0,5.0,"DBDriven.net
4.0",2023-05-11 14:23:17.135471
87,Junior Software Developer,82500.0,3,BACHELOR,SENIOR,"Slidell, LA",0,1001 to 5000 Employees,5,2016,7,HR Consulting,Human Resources & Staffing,$100 to $500 million (USD),6,Company - Private,3.6,3.5,3.4,3.4,3.5,3.5,"Emonics LLC
3.6",2023-05-11 14:23:18.882411
88,Software Developer,93924.0,30,BACHELOR,-1,"Dallas, TX",0,201 to 500 Employees,3,1992,31,Computer Hardware Development,Information Technology,$25 to $100 million (USD),4,Company - Private,3.5,3.3,2.9,3.7,3.3,3.4,"Brock Solutions
3.5",2023-05-11 14:23:20.713440
89,Software Developer,86000.0,4,BACHELOR,-1,United States,0,10000+ Employees,7,2017,6,Information Technology Support Services,Information Technology,$5 to $10 billion (USD),8,Company - Private,3.6,3.5,3.6,3.5,3.4,3.8,"Peraton
3.6",2023-05-11 14:23:22.586800
90,Software Developer,88548.0,2,BACHELOR,-1,"Minneapolis, MN",0,10000+ Employees,7,1851,172,Colleges & Universities,Education,$1 to $5 billion (USD),7,College / University,4.2,3.8,3.6,4.0,3.7,4.1,"University of Minnesota
4.2",2023-05-11 14:23:27.054087
91,Software Developer,97395.0,-1,BACHELOR,SENIOR,"Falls Church, VA",0,51 to 200 Employees,2,2005,18,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,5.0,5.0,5.0,5.0,5.0,5.0,"Inalab Consulting
5.0",2023-05-11 14:23:28.810144
92,Junior Software Developer (Core),78372.0,1,BACHELOR,JUNIOR,"Houston, TX",0,Unknown,-1,-1,-1,Banking & Lending,Financial Services,Unknown / Non-Applicable,-1,Company - Public,3.6,3.4,3.4,3.9,3.6,3.4,"FIRST SERVICE CREDIT UNION
3.6",2023-05-11 14:23:30.638503
93,Software Developer,99364.0,-1,MASTER,-1,"Syosset, NY",0,1 to 50 Employees,1,1982,41,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3,Company - Private,3.1,2.6,2.7,2.7,2.7,2.6,"Hi-tek Data
3.1",2023-05-11 14:23:32.418874
94,Software Developer,66788.8,-1,MASTER,-1,"Medford, OR",0,Unknown,-1,-1,-1,Primary & Secondary Schools,Education,Unknown / Non-Applicable,-1,School / School District,4.8,4.7,4.5,4.5,4.5,4.7,"Southern Oregon ESD
4.8",2023-05-11 14:23:34.311532
95,Java Developer,78000.0,-1,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ascent Solutions,2023-05-11 14:23:36.117438
97,Software Engineer,112950.0,-1,-1,-1,"Dallas, TX",0,10000+ Employees,7,1967,56,"Airlines, Airports & Air Transportation",Transportation & Logistics,$10+ billion (USD),9,Company - Public,4.1,4.1,4.2,4.0,3.5,3.6,"Southwest Airlines
4.1",2023-05-11 14:23:39.431400
98,Junior Software Development Engineer,108880.0,3,BACHELOR,-1,"Plano, TX",0,1001 to 5000 Employees,5,1990,33,Telecommunications Services,Telecommunications,Unknown / Non-Applicable,-1,Company - Public,4.5,4.4,4.2,4.5,4.5,4.0,"DZS
4.5",2023-05-11 14:23:41.258910
99,Full Stack Java,119600.0,1,DOCTOR,-1,Remote,1,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Contract,4.7,4.7,4.5,4.7,4.3,4.5,"Fuge Technologies Inc
4.7",2023-05-11 14:23:43.059392
100,Java Developer,135200.0,6,BACHELOR,JUNIOR,"Denver, CO",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,5.0,4.5,4.5,5.0,5.0,5.0,"Cloud Shift Technologies LLC
5.0",2023-05-11 14:23:44.767567
101,Junior Java Software Developer,75000.0,2,BACHELOR,JUNIOR,"New York, NY",0,51 to 200 Employees,2,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,2.2,3.2,2.8,2.2,2.7,3.2,"Ninth Wave
2.2",2023-05-11 14:23:46.696295
102,SOFTWARE DEVELOPER,92824.0,-1,BACHELOR,-1,"Ronkonkoma, NY",0,Unknown,-1,-1,-1,Consumer Product Manufacturing,Manufacturing,Unknown / Non-Applicable,-1,Company - Private,2.3,2.2,1.9,2.0,1.5,2.0,"Perfume Center of America
2.3",2023-05-11 14:23:48.580429
103,Sr. Java Developer,145600.0,7,MASTER,-1,"Atlanta, GA",0,Unknown,-1,2015,8,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Unknown,4.5,4.1,4.8,4.4,4.3,4.4,"Intellibus
4.5",2023-05-11 14:23:50.438605
104,Software Developer,67278.0,1,BACHELOR,SENIOR,"Marion, IN",0,501 to 1000 Employees,4,1919,104,Colleges & Universities,Education,$100 to $500 million (USD),6,College / University,3.6,3.1,2.8,3.8,3.1,3.7,"Indiana Wesleyan University
3.6",2023-05-11 14:23:52.297080
105,Software Developer,90263.0,1,-1,-1,"Atlanta, GA",0,51 to 200 Employees,2,2005,18,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.7,3.6,3.9,3.5,3.5,3.6,"DevCare Solutions
3.7",2023-05-11 14:23:54.227087
106,Software Engineer,78000.0,-1,BACHELOR,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Skymetric Solutions,2023-05-11 14:23:56.061382
107,Java Developer,74200.0,5,BACHELOR,SENIOR,"Plano, TX",0,51 to 200 Employees,2,2009,14,Software Development,Information Technology,$1 to $5 million (USD),2,Company - Private,4.1,4.1,4.1,4.3,4.3,4.2,"SFORCE IT
4.1",2023-05-11 14:23:57.647556
109,Software Developer,111041.0,-1,MASTER,JUNIOR,"New York, NY",0,10000+ Employees,7,1996,27,Investment & Asset Management,Financial Services,$10+ billion (USD),9,Company - Public,3.4,3.1,3.3,3.3,3.1,3.4,"Sumitomo Mitsui Banking Corporation
3.4",2023-05-11 14:24:01.456767
111,Java Developer,75000.0,2,BACHELOR,-1,"Liberty, NC",0,201 to 500 Employees,3,2015,8,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$25 to $100 million (USD),4,Company - Private,4.5,4.3,4.7,4.5,4.5,4.7,"Vastek Inc.
4.5",2023-05-11 14:24:05.549053
112,Jr. Software Developer,72800.0,3,BACHELOR,-1,"Phoenix, AZ",0,51 to 200 Employees,2,2005,18,Civic & Social Services,Nonprofit & NGO,$5 to $25 million (USD),3,Nonprofit Organization,3.6,3.8,3.5,3.5,3.5,3.3,"Workforce Opportunity Services
3.6",2023-05-11 14:24:07.509180
113,-1,93600.0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-11 14:24:09.604506
114,Jr. Application Developer,55000.0,1,BACHELOR,SENIOR,"Indianapolis, IN",0,1 to 50 Employees,1,2003,20,Software Development,Information Technology,$5 to $25 million (USD),3,Company - Private,3.6,3.5,3.5,4.0,3.4,3.5,"DB Services
3.6",2023-05-11 14:24:11.383163
115,Junior Software Developer,82500.0,3,BACHELOR,SENIOR,"Hillsdale, NJ",0,1001 to 5000 Employees,5,2016,7,HR Consulting,Human Resources & Staffing,$100 to $500 million (USD),6,Company - Private,3.6,3.5,3.4,3.4,3.5,3.5,"Emonics
3.6",2023-05-11 14:24:13.430119
