,Job Title,Annual Salary,Experience,Education,Location,Is Remote,Company Size,Company Size Scale,Founded,Company Old,Industry,Sector,Revenue,Revenue Scale,Type of Ownership,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Company Name,Time of Scrape
11,Software Engineer (Neo4J/Binqa),145600.0,5,2,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.2,4.0,4.0,4.2,4.0,4.3,"CBTS
4.2",2023-05-16 14:40:51.366897
12,Software Engineer - All Levels (NYC or Remote),165000.0,-1,1,New York State,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Trunk Tools, Inc.",2023-05-16 14:40:54.129026
13,Software Engineer,115000.0,2,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.8,4.4,4.4,4.7,4.7,5.0,"Polco
4.8",2023-05-16 14:40:58.529063
14,Senior Software Engineer,170000.0,-1,2,Remote,1,51 to 200 Employees,2,2017,6,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.6,4.3,4.7,4.7,4.4,4.7,"Encamp, Inc.
4.6",2023-05-16 14:41:01.051695
15,Junior Software Engineer,85000.0,1,1,"New York, NY",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,DataBP,2023-05-16 14:41:02.984530
16,Software Engineer,101833.0,-1,1,"Natick, MA",0,501 to 1000 Employees,4,1984,39,Software Development,Information Technology,$1 to $5 billion (USD),7,Company - Private,4.5,4.2,4.0,4.6,4.3,4.7,"MathWorks
4.5",2023-05-16 14:41:07.441780
17,Cloud Engineer,140400.0,5,2,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,CloudXoo,2023-05-16 14:41:09.123610
18,"Sr Fullstack Engineer - Nodejs, AWS",118601.6,10,-1,Remote,1,201 to 500 Employees,3,1998,25,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3,Company - Private,3.6,3.5,3.2,3.4,3.2,3.4,"chenoa inc
3.6",2023-05-16 14:41:13.507195
19,AWS Cloud Engineer,140400.0,-1,2,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Kanini,2023-05-16 14:41:15.092818
20,Cloud Software Engineer,112500.0,10,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.5,4.8,4.6,4.5,4.5,4.6,"Wintegrity
4.5",2023-05-16 14:41:19.826602
22,Software Engineer 1,80000.0,-1,1,"Denver, CO",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.5,4.3,3.9,4.4,4.6,4.3,"Service Core
4.5",2023-05-16 14:41:25.429656
23,Software Engineer,100000.0,2,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Aiden Technology,2023-05-16 14:41:28.056711
24,Software Engineer - CommerceTools,94099.2,1,2,Remote,1,10000+ Employees,7,1980,43,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),7,Company - Private,3.6,3.5,3.0,3.5,3.1,3.5,"Atos Syntel
3.6",2023-05-16 14:41:32.560151
25,Junior Software Engineer,93743.0,-1,1,"Saint Inigoes, MD",0,10000+ Employees,7,1901,122,Aerospace & Defense,Aerospace & Defense,$5 to $10 billion (USD),8,Company - Public,4.0,3.8,3.8,3.8,3.7,3.9,"KBR
4.0",2023-05-16 14:41:34.690929
27,Software Engineer I,101143.0,-1,3,"Los Angeles, CA",0,10000+ Employees,7,1923,100,Film Production,Media & Communication,$10+ billion (USD),9,Company - Public,3.9,3.6,3.7,3.9,3.3,3.4,"Disney Media & Entertainment Distribution
3.9",2023-05-16 14:41:40.030938
28,Software Engineer,148720.0,10,1,"San Francisco, CA",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.3,3.2,2.7,3.3,3.1,3.4,"FocusKPI Inc.
3.3",2023-05-16 14:41:42.418225
29,Full Stack Software Engineer,100000.0,5,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.8,3.5,3.3,4.2,3.6,3.7,"Academic Programs International (API LLC)
3.8",2023-05-16 14:41:45.166596
30,AWS Cloud Engineer,140400.0,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Kanini,2023-05-16 14:41:48.159656
32,Software Engineer,105000.0,5,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.4,3.6,3.6,3.1,3.2,3.2,"MW Industries, Inc.
3.4",2023-05-16 14:42:00.340867
33,Frontend Engineer,125000.0,-1,-1,Remote,1,1 to 50 Employees,1,2009,14,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.3,3.8,3.5,4.4,4.0,4.0,"SportsRecruits
4.3",2023-05-16 14:42:03.352902
35,AWS Cloud Engineer,140400.0,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Kanini,2023-05-16 14:42:12.497812
36,Software Engineer,105000.0,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.4,3.6,3.6,3.1,3.2,3.2,"MW Industries, Inc.
3.4",2023-05-16 14:42:19.477915
37,AWS Cloud Engineer,140400.0,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Kanini,2023-05-16 14:42:23.429058
38,Frontend Engineer,125000.0,-1,-1,Remote,1,1 to 50 Employees,1,2009,14,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.3,3.8,3.5,4.4,4.0,4.0,-1,2023-05-16 14:42:29.781898
39,AWS Cloud Engineer,140400.0,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Kanini,2023-05-16 14:42:33.928630
40,Frontend Engineer,125000.0,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.3,3.8,3.5,4.4,4.0,4.0,"SportsRecruits
4.3",2023-05-16 14:42:40.871268
41,AWS Cloud Engineer,140400.0,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Kanini,2023-05-16 14:42:44.441200
42,Software Engineer,105000.0,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.4,3.6,3.6,3.1,3.2,3.2,"MW Industries, Inc.
3.4",2023-05-16 14:42:51.983492
43,AWS Cloud Engineer,140400.0,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Kanini,2023-05-16 14:42:56.848302
44,Software Engineer,105000.0,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.4,3.6,3.6,3.1,3.2,3.2,"MW Industries, Inc.
3.4",2023-05-16 14:43:03.132984
45,Frontend Engineer,125000.0,-1,-1,Remote,1,1 to 50 Employees,1,2009,14,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.3,3.8,3.5,4.4,4.0,4.0,"SportsRecruits
4.3",2023-05-16 14:43:07.055827
47,Software Engineer,105000.0,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.4,3.6,3.6,3.1,3.2,3.2,-1,2023-05-16 14:43:18.934982
48,Software Engineer — Java,145600.0,-1,-1,Remote,1,Unknown,-1,2015,8,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Unknown,4.5,4.1,4.8,4.4,4.3,4.4,"Intellibus
4.5",2023-05-16 14:43:25.035257
49,Software Engineer,105000.0,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.4,3.6,3.6,3.1,3.2,3.2,"MW Industries, Inc.
3.4",2023-05-16 14:43:28.979754
50,Kubernetes Engineer,114400.0,-1,-1,"Deerfield, IL",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.2,3.9,3.7,4.0,4.0,4.2,"Purple Drive Technologies
4.2",2023-05-16 14:43:34.356531
51,Software Engineer,105000.0,5,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.4,3.6,3.6,3.1,3.2,3.2,"MW Industries, Inc.
3.4",2023-05-16 14:43:39.776494
52,Kubernetes Engineer,114400.0,1,3,"Deerfield, IL",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.2,3.9,3.7,4.0,4.0,4.2,"Purple Drive Technologies
4.2",2023-05-16 14:43:43.468938
53,Cloud Engineer,122650.0,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.6,3.6,3.2,3.6,3.4,3.6,"Radcube LLC
3.6",2023-05-16 14:43:46.719673
54,Kubernetes Engineer,114400.0,-1,-1,"Deerfield, IL",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.2,3.9,3.7,4.0,4.0,4.2,"Purple Drive Technologies
4.2",2023-05-16 14:43:52.117462
55,Kubernetes Engineer,114400.0,1,3,"Deerfield, IL",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.2,3.9,3.7,4.0,4.0,4.2,"Purple Drive Technologies
4.2",2023-05-16 14:43:57.372961
56,Kubernetes Engineer,114400.0,1,3,"Deerfield, IL",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.2,3.9,3.7,4.0,4.0,4.2,"Purple Drive Technologies
4.2",2023-05-16 14:44:02.590027
57,Software Engineer,105000.0,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.4,3.6,3.6,3.1,3.2,3.2,"MW Industries, Inc.
3.4",2023-05-16 14:44:07.004189
58,Kubernetes Engineer,114400.0,-1,-1,"Deerfield, IL",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.2,3.9,3.7,4.0,4.0,4.2,"Purple Drive Technologies
4.2",2023-05-16 14:44:12.533233
59,Kubernetes Engineer,114400.0,1,3,"Deerfield, IL",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.2,3.9,3.7,4.0,4.0,4.2,"Purple Drive Technologies
4.2",2023-05-16 14:44:18.133604
60,Software Engineer,105000.0,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.4,3.6,3.6,3.1,3.2,3.2,"MW Industries, Inc.
3.4",2023-05-16 14:44:21.333447
61,Kubernetes Engineer,114400.0,1,3,"Deerfield, IL",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.2,3.9,3.7,4.0,4.0,4.2,"Purple Drive Technologies
4.2",2023-05-16 14:44:25.013225
62,Software Engineer,105000.0,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.4,3.6,3.6,3.1,3.2,3.2,"MW Industries, Inc.
3.4",2023-05-16 14:44:28.451180
63,Kubernetes Engineer,114400.0,1,3,"Deerfield, IL",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.2,3.9,3.7,4.0,4.0,4.2,"Purple Drive Technologies
4.2",2023-05-16 14:44:32.936494
64,Software Engineer,105000.0,5,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.4,3.6,3.6,3.1,3.2,3.2,"MW Industries, Inc.
3.4",2023-05-16 14:44:36.159139
65,Kubernetes Engineer,114400.0,1,3,"Deerfield, IL",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.2,3.9,3.7,4.0,4.0,4.2,"Purple Drive Technologies
4.2",2023-05-16 14:44:40.343605
66,Cloud Engineer,164008.0,7,2,"Trenton, NJ",0,51 to 200 Employees,2,2005,18,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.7,3.6,3.9,3.5,3.5,3.6,"DevCare Solutions Pvt., Ltd.
3.7",2023-05-16 14:44:43.315607
67,Software Engineer,105000.0,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.4,3.6,3.6,3.1,3.2,3.2,"MW Industries, Inc.
3.4",2023-05-16 14:44:45.819835
68,Kubernetes Engineer,114400.0,-1,-1,"Deerfield, IL",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.2,3.9,3.7,4.0,4.0,4.2,"Purple Drive Technologies
4.2",2023-05-16 14:44:50.211546
69,Kubernetes Engineer,114400.0,1,3,"Deerfield, IL",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.2,3.9,3.7,4.0,4.0,4.2,"Purple Drive Technologies
4.2",2023-05-16 14:44:55.021349
70,Cloud Engineer,164008.0,7,2,"Trenton, NJ",0,51 to 200 Employees,2,2005,18,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.7,3.6,3.9,3.5,3.5,3.6,"DevCare Solutions Pvt., Ltd.
3.7",2023-05-16 14:44:58.056528
71,Kubernetes Engineer,114400.0,-1,-1,"Deerfield, IL",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.2,3.9,3.7,4.0,4.0,4.2,"Purple Drive Technologies
4.2",2023-05-16 14:45:01.267595
72,Software Engineer,105000.0,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.4,3.6,3.6,3.1,3.2,3.2,"MW Industries, Inc.
3.4",2023-05-16 14:45:06.771769
74,Kubernetes Engineer,114400.0,1,3,"Deerfield, IL",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.2,3.9,3.7,4.0,4.0,4.2,"Purple Drive Technologies
4.2",2023-05-16 14:45:17.546655
75,Software Engineer,105000.0,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.4,3.6,3.6,3.1,3.2,3.2,-1,2023-05-16 14:45:20.814399
76,Kubernetes Engineer,114400.0,1,3,"Deerfield, IL",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.2,3.9,3.7,4.0,4.0,4.2,"Purple Drive Technologies
4.2",2023-05-16 14:45:26.109332
78,Software Engineer,105000.0,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.4,3.6,3.6,3.1,3.2,3.2,"MW Industries, Inc.
3.4",2023-05-16 14:45:33.140708
79,Kubernetes Engineer,114400.0,1,3,"Deerfield, IL",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.2,3.9,3.7,4.0,4.0,4.2,"Purple Drive Technologies
4.2",2023-05-16 14:45:38.051593
81,Cloud Engineer,164008.0,7,2,"Trenton, NJ",0,51 to 200 Employees,2,2005,18,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.7,3.6,3.9,3.5,3.5,3.6,"DevCare Solutions Pvt., Ltd.
3.7",2023-05-16 14:45:45.889642
82,Kubernetes Engineer,114400.0,-1,-1,"Deerfield, IL",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.2,3.9,3.7,4.0,4.0,4.2,-1,2023-05-16 14:45:50.589964
83,Software Engineer,105000.0,3,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vindhya Data Science,2023-05-16 14:46:09.274051
84,Software Engineer,156800.0,-1,2,"New York, NY",0,10000+ Employees,7,1698,325,Stock Exchanges,Financial Services,$1 to $5 billion (USD),7,Company - Public,3.9,3.7,3.6,3.9,3.5,3.9,"LSEG (London Stock Exchange Group)
3.9",2023-05-16 14:46:14.459091
85,Sr. Software Engineer (Mobile / Web),125000.0,4,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Pulsar Informatics Inc,2023-05-16 14:46:16.874030
86,Software Engineer,140000.0,8,1,"Alexandria, VA",0,1 to 50 Employees,1,2015,8,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Contract,4.9,4.5,5.0,5.0,4.9,4.9,"Embedded Alliance
4.9",2023-05-16 14:46:21.663994
87,Python Software Engineer,157310.4,1,1,"Boston, MA",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Rackera Inc,2023-05-16 14:46:23.953971
88,Backend Software Engineer (All Skill Levels),80000.0,1,2,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Wolfjaw Studios,2023-05-16 14:46:29.139750
89,Software Engineer | Frontend,120868.0,2,2,"New York, NY",0,201 to 500 Employees,3,2019,4,Financial Transaction Processing,Financial Services,Unknown / Non-Applicable,-1,Company - Private,4.4,4.6,4.6,4.3,4.3,4.1,"Ramp Financial
4.4",2023-05-16 14:46:33.870068
91,IOS Software Engineer,176800.0,-1,1,Remote,1,201 to 500 Employees,3,2007,16,Business Consulting,Management & Consulting,$25 to $100 million (USD),4,Company - Private,3.9,3.7,3.6,3.8,3.5,4.2,"Fresh Consulting
3.9",2023-05-16 14:46:40.240262
94,Software Engineer - Software Solutions,110000.0,25,1,"Ames, IA",0,201 to 500 Employees,3,1992,31,Electronics Manufacturing,Manufacturing,Unknown / Non-Applicable,-1,Company - Private,4.0,3.0,3.8,3.8,3.4,4.0,"Ag Leader Technology, Inc.
4.0",2023-05-16 14:46:49.646832
95,Genesys Senior Software Engineer,129979.2,1,1,"Alpharetta, GA",0,51 to 200 Employees,2,2015,8,Information Technology Support Services,Information Technology,$1 to $5 million (USD),2,Company - Public,4.9,4.9,4.7,4.9,4.9,4.9,"Sunixa Solutions
4.9",2023-05-16 14:46:52.371067
96,Software Engineer,83200.0,4,-1,"New York, NY",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,nivi,2023-05-16 14:46:55.372999
97,Software Engineer Senior (Windows Engineer),130000.0,-1,1,Remote,1,51 to 200 Employees,2,2015,8,Information Technology Support Services,Information Technology,$1 to $5 million (USD),2,Company - Public,4.9,4.9,4.7,4.9,4.9,4.9,"Sunixa Solutions
4.9",2023-05-16 14:46:59.999153
98,Frontend Software Engineer,161975.0,-1,1,"Seattle, WA",0,1001 to 5000 Employees,5,2016,7,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.6,3.5,3.6,3.4,3.1,3.0,"TikTok
3.6",2023-05-16 14:47:02.411804
99,Junior Level Cloud Engineer,88400.0,1,2,Remote,1,51 to 200 Employees,2,2000,23,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.9,3.5,3.4,3.6,3.7,3.5,"element technologies
3.9",2023-05-16 14:47:05.103766
