,Company Name,Job Title,Annual Salary,Experience,Education,Position,Location,Is Remote,Company Size,Company Size Scale,Founded,Company Old,Industry,Sector,Revenue,Revenue Scale,Type of Ownership,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape
11,"Uncommon Goods
4.3",Temporary Web Developer (Frontend),78000.0,-1,-1,-1,"Brooklyn, NY",0,201 to 500 Employees,3,1999,24,"Gift, Novelty & Souvenir Stores",Retail & Wholesale,Unknown / Non-Applicable,-1,Company - Private,4.3,3.8,4.1,4.6,4.3,4.2,2023-05-07 21:23:09.289898
12,"Vetro Tech Inc
3.9",Web Developer,88500.0,-1,-1,-1,"San Francisco, CA",0,Unknown,-1,-1,-1,Staffing & Subcontracting,Human Resources & Staffing,Unknown / Non-Applicable,-1,Company - Public,3.9,3.9,3.9,3.4,3.4,3.9,2023-05-07 21:23:11.069538
13,Resolution Web Development,Wix Web Designer/Developer,52000.0,-1,-1,SENIOR,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-07 21:23:12.763236
14,"EPSoft,Inc",Java API developer,109200.0,-1,-1,-1,"Dallas, TX",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-07 21:23:14.181829
15,MSP Recovery,Web Developer,83500.0,3,BACHELOR,-1,"Miami, FL",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-07 21:23:15.626889
16,YouHelp.com,PHP Web Developer & MariaDB,56160.0,-1,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-07 21:23:17.110188
17,"DiamondPick
4.5",Java Developer,124800.0,-1,-1,-1,Remote,1,1001 to 5000 Employees,5,-1,-1,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,-1,Company - Private,4.5,4.5,4.2,4.4,4.3,4.2,2023-05-07 21:23:18.529667
18,LikeMinded Software,Angular Developer,104000.0,4,BACHELOR,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-07 21:23:20.207509
19,EMDL,Web Designer/Developer,41600.0,-1,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-07 21:23:21.642965
20,"GSK Solutions Inc
3.9",Angular Developer,130000.0,5,-1,-1,"Denver, CO",0,1 to 50 Employees,1,2010,13,Business Consulting,Management & Consulting,$5 to $25 million (USD),3,Company - Private,3.9,3.7,3.8,3.5,3.5,3.4,2023-05-07 21:23:23.103260
22,KesarWeb,Web Developer,90500.0,-1,-1,-1,"Riverside, CA",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,-1,-1,-1,-1,-1,-1,2023-05-07 21:23:26.520443
23,"webfx.com
4.3",Jr. Web Developer,57500.0,-1,BACHELOR,JUNIOR,"Ann Arbor, MI",0,501 to 1000 Employees,4,1995,28,Internet & Web Services,Information Technology,$100 to $500 million (USD),6,Company - Private,4.3,4.3,4.2,4.4,4.3,4.1,2023-05-07 21:23:28.171853
24,"First Community Credit Union of Oregon
3.7",Junior Frontend Web Developer,52000.0,-1,-1,JUNIOR,"Coquille, OR",0,501 to 1000 Employees,4,-1,-1,Banking & Lending,Financial Services,$25 to $100 million (USD),4,Company - Private,3.7,3.3,3.6,2.2,2.5,2.3,2023-05-07 21:23:29.959136
25,Udundi,Mid-Level Web Developer,62400.0,-1,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-07 21:23:31.642425
26,"V-Tech Solutions
3.2",Web Developer/Programmer,72800.0,-1,-1,-1,Remote,1,51 to 200 Employees,2,2000,23,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3,Company - Public,3.2,3.1,3.1,3.2,3.3,3.5,2023-05-07 21:23:33.052255
29,"CSL Behring
3.5",Web UI Developer,95672.0,-1,BACHELOR,-1,"King of Prussia, PA",0,10000+ Employees,7,2004,19,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$5 to $10 billion (USD),8,Company - Public,3.5,3.2,3.7,3.3,2.8,3.1,2023-05-07 21:23:38.566479
30,CloudSpace LLC,Front End UI Developer,120640.0,-1,-1,-1,"Greenwood Village, CO",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-07 21:23:42.739353
31,Hemanth,Sr. Java Developer,145600.0,-1,-1,-1,"Alpharetta, GA",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-07 21:23:44.235992
32,"GSK Solutions Inc
3.9",Sr. Java Developer,140400.0,5,-1,-1,"Dimondale, MI",0,1 to 50 Employees,1,2010,13,Business Consulting,Management & Consulting,$5 to $25 million (USD),3,Company - Private,3.9,3.7,3.8,3.5,3.5,3.4,2023-05-07 21:23:45.724395
33,"Uncommon Goods
4.3",Temporary Web Developer (Frontend),78000.0,-1,-1,-1,"Brooklyn, NY",0,201 to 500 Employees,3,1999,24,"Gift, Novelty & Souvenir Stores",Retail & Wholesale,Unknown / Non-Applicable,-1,Company - Private,4.3,3.8,4.1,4.6,4.3,4.2,2023-05-07 21:23:47.520567
34,"Sunixa Solutions
4.9",UI Developer,130000.0,-1,-1,-1,Remote,1,51 to 200 Employees,2,2015,8,Information Technology Support Services,Information Technology,$1 to $5 million (USD),2,Company - Public,4.9,4.9,4.7,4.9,4.9,4.9,2023-05-07 21:23:49.308959
35,Sterner Stuff,Web Developer,56160.0,-1,-1,SENIOR,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-07 21:23:51.114988
36,"WorkCog
4.3",Java/J2EE Developer,117520.0,-1,BACHELOR,-1,"Dallas, TX",0,51 to 200 Employees,2,2017,6,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.3,4.0,4.0,4.3,3.9,4.1,2023-05-07 21:23:52.571465
37,avansait,UI Developer,138320.0,-1,-1,SENIOR,"Jersey City, NJ",0,501 to 1000 Employees,4,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,-1,-1,-1,-1,-1,-1,2023-05-07 21:23:54.392463
38,Match Made Tech,Senior Contract Java Developer,130000.0,-1,-1,-1,"Plano, TX",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,-1,-1,-1,-1,-1,-1,2023-05-07 21:23:56.054475
39,Think Another LLC,Java Developer,124800.0,-1,BACHELOR,JUNIOR,"Tallahassee, FL",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-07 21:23:57.676329
40,"TELLUS SOLUTIONS
3.7",Front End Developer,141128.0,-1,-1,-1,"San Bruno, CA",0,51 to 200 Employees,2,2006,17,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3,Company - Private,3.7,3.5,3.5,3.1,3.3,3.6,2023-05-07 21:23:59.369153
41,Techsara solutions Inc,Factory Java Developer,114400.0,-1,-1,-1,"McLean, VA",0,Unknown,-1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,-1,-1,-1,-1,-1,-1,2023-05-07 21:24:01.185451
43,"Devcare Solutions
3.7",Jr. Web Developer,55120.0,-1,BACHELOR,-1,"Atlanta, GA",0,51 to 200 Employees,2,2005,18,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.7,3.6,3.9,3.5,3.5,3.6,2023-05-07 21:24:04.038395
44,"DiamondPick
4.5",AngularJS Developer,124800.0,-1,-1,-1,"Atlanta, GA",0,1001 to 5000 Employees,5,-1,-1,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,-1,Company - Private,4.5,4.5,4.2,4.4,4.3,4.2,2023-05-07 21:24:06.151099
45,InVisory,Senior Frontend Developer,145000.0,-1,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-07 21:24:08.125098
46,"Octo
4.2",Web Developer,94287.0,-1,BACHELOR,-1,"Reston, VA",0,1001 to 5000 Employees,5,2006,17,Information Technology Support Services,Information Technology,$100 to $500 million (USD),6,Company - Private,4.2,4.0,3.9,4.0,3.9,4.2,2023-05-07 21:24:09.623161
47,"Excelsior Staffing
4.8",Web Developer,85000.0,-1,-1,SENIOR,"Montgomery, AL",0,1 to 50 Employees,1,-1,-1,HR Consulting,Human Resources & Staffing,$1 to $5 million (USD),2,Company - Private,4.8,4.7,4.4,5.0,5.0,4.4,2023-05-07 21:24:11.461447
49,"FriendFinder Networks
2.9",Remote Front End Web Developer,112500.0,-1,BACHELOR,SENIOR,"San Jose, CA",0,201 to 500 Employees,3,1996,27,Internet & Web Services,Information Technology,$25 to $100 million (USD),4,Company - Private,2.9,2.7,3.2,2.6,2.5,3.4,2023-05-07 21:24:14.456969
51,Spanco Solutions,Angular UI Developer,135200.0,-1,-1,-1,"Charlotte, NC",0,Unknown,-1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,-1,-1,-1,-1,-1,-1,2023-05-07 21:24:17.895261
52,"Sunixa Solutions
4.9",Back End Developer,140400.0,3,-1,-1,"Sunnyvale, CA",0,51 to 200 Employees,2,2015,8,Information Technology Support Services,Information Technology,$1 to $5 million (USD),2,Company - Public,4.9,4.9,4.7,4.9,4.9,4.9,2023-05-07 21:24:19.633497
53,EMDL,Web Designer/Developer,41600.0,-1,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-07 21:24:21.486912
54,"Fieldwire
4.2",Senior Frontend Developer,108496.0,-1,-1,-1,"Plano, TX",0,51 to 200 Employees,2,2013,10,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.2,4.1,4.1,4.1,4.0,4.2,2023-05-07 21:24:23.670845
55,"First Community Credit Union of Oregon
3.7",Junior Frontend Web Developer,52000.0,-1,-1,JUNIOR,"Coquille, OR",0,501 to 1000 Employees,4,-1,-1,Banking & Lending,Financial Services,$25 to $100 million (USD),4,Company - Private,3.7,3.3,3.6,2.2,2.5,2.3,2023-05-07 21:24:25.565821
57,"Wipro
3.8",Web Developer,94500.0,-1,-1,-1,Remote,1,10000+ Employees,7,1945,78,Information Technology Support Services,Information Technology,$5 to $10 billion (USD),8,Company - Public,3.8,3.7,3.3,3.8,3.4,3.6,2023-05-07 21:24:28.686348
58,Mobileappsus,Entry Level Java Developer,85800.0,-1,BACHELOR,-1,"New York, NY",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-07 21:24:31.423692
59,"Learning Economy
5.0",Web Developer,65000.0,-1,-1,-1,"Washington, DC",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,5.0,5.0,4.0,5.0,5.0,5.0,2023-05-07 21:24:33.202835
60,"Fullsteam
4.6",Web Developer,67509.0,-1,-1,-1,"Cedar Park, TX",0,Unknown,-1,-1,-1,Food & Beverage Manufacturing,Manufacturing,Unknown / Non-Applicable,-1,Company - Private,4.6,4.2,3.7,4.8,4.2,3.8,2023-05-07 21:24:37.467208
62,Office of the Revisor of Statutes,Web Developer,99555.0,-1,-1,-1,"Saint Paul, MN",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-07 21:24:40.742108
63,"First Community Credit Union of Oregon
3.7",Junior Frontend Web Developer,52000.0,-1,-1,JUNIOR,"Coquille, OR",0,501 to 1000 Employees,4,-1,-1,Banking & Lending,Financial Services,$25 to $100 million (USD),4,Company - Private,3.7,3.3,3.6,2.2,2.5,2.3,2023-05-07 21:24:42.284069
64,avansait,UI Developer,138320.0,-1,-1,SENIOR,"Jersey City, NJ",0,501 to 1000 Employees,4,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,-1,-1,-1,-1,-1,-1,2023-05-07 21:24:44.228787
66,"Backcountry
2.7",Web Developer,70925.0,2,-1,-1,"Park City, UT",0,501 to 1000 Employees,4,1996,27,"Department, Clothing & Shoe Stores",Retail & Wholesale,$500 million to $1 billion (USD),7,Company - Private,2.7,2.5,2.7,2.9,2.2,2.9,2023-05-07 21:24:47.810567
67,"Warshauer Electric Supply
4.2",Web Developer,55628.0,-1,BACHELOR,-1,"Eatontown, NJ",0,51 to 200 Employees,2,1967,56,General Repair & Maintenance,"Construction, Repair & Maintenance Services",$25 to $100 million (USD),4,Company - Private,4.2,4.1,3.6,4.4,4.3,3.8,2023-05-07 21:24:49.691804
68,"Vedainfo
4.1",Web Developer with OIPA,104000.0,7,-1,SENIOR,Remote,1,201 to 500 Employees,3,-1,-1,Information Technology Support Services,Information Technology,$1 to $5 million (USD),2,Company - Private,4.1,3.9,3.7,4.1,4.1,4.1,2023-05-07 21:24:51.570550
69,"Otoy, Inc
4.2",Web Developer,90000.0,3,-1,-1,"Los Angeles, CA",0,1 to 50 Employees,1,-1,-1,-1,-1,$1 to $5 million (USD),2,Company - Private,4.2,4.0,4.4,3.8,4.0,4.1,2023-05-07 21:24:53.452490
71,"Prutech
5.0",UI- Front End Developer/Angular Developer,124800.0,-1,-1,-1,"Charlotte, NC",0,201 to 500 Employees,3,1998,25,Software Development,Information Technology,$1 to $5 million (USD),2,Company - Private,5.0,4.5,4.0,5.0,5.0,5.0,2023-05-07 21:24:56.611007
72,"Sunixa Solutions
4.9",UI Developer,130000.0,-1,-1,-1,Remote,1,51 to 200 Employees,2,2015,8,Information Technology Support Services,Information Technology,$1 to $5 million (USD),2,Company - Public,4.9,4.9,4.7,4.9,4.9,4.9,2023-05-07 21:24:58.697041
75,Cyber Tech Group,UI Front End Developer,94489.0,-1,-1,SENIOR,"Houston, TX",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Unknown,-1,-1,-1,-1,-1,-1,2023-05-07 21:25:04.071759
76,"VeilSun, Inc.
5.0",Web Developer,95000.0,-1,BACHELOR,SENIOR,Remote,1,1 to 50 Employees,1,-1,-1,Information Technology Support Services,Information Technology,Less than $1 million (USD),1,Company - Private,5.0,5.0,5.0,5.0,5.0,5.0,2023-05-07 21:25:06.113032
77,"Census
4.9",Web Developer,145000.0,-1,-1,-1,"York, PA",0,51 to 200 Employees,2,2018,5,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),2,Company - Private,4.9,4.5,4.6,4.9,4.7,4.6,2023-05-07 21:25:08.030613
80,"i2i Workforce
3.0",Web Application Developer,95000.0,-1,BACHELOR,SENIOR,Remote,1,1 to 50 Employees,1,-1,-1,HR Consulting,Human Resources & Staffing,Less than $1 million (USD),1,Company - Private,3.0,4.0,4.0,5.0,3.0,4.0,2023-05-07 21:25:13.842667
81,"WSFS Bank
3.4",Web Developer,75479.0,-1,BACHELOR,SENIOR,"Newark, DE",0,1001 to 5000 Employees,5,1832,191,Banking & Lending,Financial Services,$500 million to $1 billion (USD),7,Company - Public,3.4,3.4,3.2,3.7,3.4,3.6,2023-05-07 21:25:15.784909
82,"ISE Data Systems
5.0",Web Developer,86625.0,-1,-1,-1,"Reston, VA",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,5.0,5.0,5.0,5.0,5.0,5.0,2023-05-07 21:25:17.778155
83,"Esolvit Inc
4.3",ETL/Informatica/Python Developer,150800.0,8,BACHELOR,-1,"Austin, TX",0,1 to 50 Employees,1,-1,-1,Business Consulting,Management & Consulting,$1 to $5 million (USD),2,Company - Private,4.3,4.2,3.9,4.1,4.2,4.0,2023-05-07 21:25:19.609760
85,"Tech Army
4.8",Web Developer (JAVA),104000.0,-1,BACHELOR,-1,"Aiken, SC",0,Unknown,-1,-1,-1,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.8,4.7,4.5,4.7,4.9,4.7,2023-05-07 21:25:23.452390
88,"Embedded Alliance
4.8",Front End UI Developer,175000.0,-1,-1,-1,"Herndon, VA",0,1 to 50 Employees,1,2015,8,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Contract,4.8,4.3,5.0,5.0,4.8,4.8,2023-05-07 21:25:29.655650
89,"IT Engagements,Inc.",Web/Senior Frontend Developer,145600.0,-1,-1,SENIOR,Remote,1,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,-1,-1,-1,-1,-1,-1,2023-05-07 21:25:31.681887
90,"Fullsteam
4.6",Web Developer,67509.0,-1,-1,-1,"Cedar Park, TX",0,Unknown,-1,-1,-1,Food & Beverage Manufacturing,Manufacturing,Unknown / Non-Applicable,-1,Company - Private,4.6,4.2,3.7,4.8,4.2,3.8,2023-05-07 21:25:36.051350
92,Office of the Revisor of Statutes,Web Developer,99555.0,-1,-1,-1,"Saint Paul, MN",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-07 21:25:42.922961
93,"Backcountry
2.7",Web Developer,70925.0,2,-1,-1,"Park City, UT",0,501 to 1000 Employees,4,1996,27,"Department, Clothing & Shoe Stores",Retail & Wholesale,$500 million to $1 billion (USD),7,Company - Private,2.7,2.5,2.7,2.9,2.2,2.9,2023-05-07 21:25:44.469555
95,"Otoy, Inc
4.2",Web Developer,90000.0,3,-1,-1,"Los Angeles, CA",0,1 to 50 Employees,1,-1,-1,-1,-1,$1 to $5 million (USD),2,Company - Private,4.2,4.0,4.4,3.8,4.0,4.1,2023-05-07 21:25:48.393916
98,"Vedainfo
4.1",Web Developer with OIPA,104000.0,7,-1,SENIOR,Remote,1,201 to 500 Employees,3,-1,-1,Information Technology Support Services,Information Technology,$1 to $5 million (USD),2,Company - Private,4.1,3.9,3.7,4.1,4.1,4.1,2023-05-07 21:25:54.510968
99,"WSFS Bank
3.4",Web Developer,75479.0,-1,BACHELOR,SENIOR,"Newark, DE",0,1001 to 5000 Employees,5,1832,191,Banking & Lending,Financial Services,$500 million to $1 billion (USD),7,Company - Public,3.4,3.4,3.2,3.7,3.4,3.6,2023-05-07 21:25:56.499535
100,"Census
4.9",Web Developer,145000.0,-1,-1,-1,"York, PA",0,51 to 200 Employees,2,2018,5,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),2,Company - Private,4.9,4.5,4.6,4.9,4.7,4.6,2023-05-07 21:25:58.848342
101,"i2i Workforce
3.0",Web Application Developer,95000.0,-1,BACHELOR,SENIOR,Remote,1,1 to 50 Employees,1,-1,-1,HR Consulting,Human Resources & Staffing,Less than $1 million (USD),1,Company - Private,3.0,4.0,4.0,5.0,3.0,4.0,2023-05-07 21:26:01.024455
102,"ISE Data Systems
5.0",Web Developer,86625.0,-1,-1,-1,"Reston, VA",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,5.0,5.0,5.0,5.0,5.0,5.0,2023-05-07 21:26:03.131127
103,"VeilSun, Inc.
5.0",Web Developer,95000.0,-1,BACHELOR,SENIOR,Remote,1,1 to 50 Employees,1,-1,-1,Information Technology Support Services,Information Technology,Less than $1 million (USD),1,Company - Private,5.0,5.0,5.0,5.0,5.0,5.0,2023-05-07 21:26:05.240099
105,"Electric Power Research Institute
4.4",Student Employee - Web Developer,67757.0,-1,-1,-1,"Charlotte, NC",0,501 to 1000 Employees,4,1973,50,Membership Organizations,Management & Consulting,$100 to $500 million (USD),6,Nonprofit Organization,4.4,4.1,4.0,4.4,4.0,4.2,2023-05-07 21:26:09.156383
106,The Vitruvius Project,Web Developer,55000.0,2,BACHELOR,-1,"Albany, OR",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-07 21:26:11.147914
108,"First Community Credit Union of Oregon
3.7",Junior Frontend Web Developer,52000.0,-1,-1,JUNIOR,"Coquille, OR",0,501 to 1000 Employees,4,-1,-1,Banking & Lending,Financial Services,$25 to $100 million (USD),4,Company - Private,3.7,3.3,3.6,2.2,2.5,2.3,2023-05-07 21:26:14.243589
109,"National Louis University
3.6",Front-End Web Developer,59029.0,-1,BACHELOR,SENIOR,"Chicago, IL",0,501 to 1000 Employees,4,1886,137,Colleges & Universities,Education,$25 to $100 million (USD),4,College / University,3.6,3.5,3.0,3.8,3.1,3.2,2023-05-07 21:26:16.269345
110,"Warshauer Electric Supply
4.2",Web Developer,55628.0,-1,BACHELOR,-1,"Eatontown, NJ",0,51 to 200 Employees,2,1967,56,General Repair & Maintenance,"Construction, Repair & Maintenance Services",$25 to $100 million (USD),4,Company - Private,4.2,4.1,3.6,4.4,4.3,3.8,2023-05-07 21:26:18.317284
111,"Devcare Solutions
3.7",Web Developer,126214.4,-1,-1,-1,"Trenton, NJ",0,51 to 200 Employees,2,2005,18,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.7,3.6,3.9,3.5,3.5,3.6,2023-05-07 21:26:20.656955
112,"IT Engagements,Inc.",Web/Senior Frontend Developer,145600.0,-1,-1,SENIOR,Remote,1,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,-1,-1,-1,-1,-1,-1,2023-05-07 21:26:22.736977
113,"WilsonHCG
4.4",Web Developer,90000.0,-1,-1,SENIOR,United States,0,501 to 1000 Employees,4,2002,21,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,-1,Company - Private,4.4,4.1,3.7,4.6,4.2,4.5,2023-05-07 21:26:24.545963
116,"Esolvit Inc
4.3",ETL/Informatica/Python Developer,150800.0,8,BACHELOR,-1,"Austin, TX",0,1 to 50 Employees,1,-1,-1,Business Consulting,Management & Consulting,$1 to $5 million (USD),2,Company - Private,4.3,4.2,3.9,4.1,4.2,4.0,2023-05-07 21:26:30.695061
117,"Prutech
5.0",UI- Front End Developer/Angular Developer,124800.0,-1,-1,-1,"Charlotte, NC",0,201 to 500 Employees,3,1998,25,Software Development,Information Technology,$1 to $5 million (USD),2,Company - Private,5.0,4.5,4.0,5.0,5.0,5.0,2023-05-07 21:26:33.073228
119,"Sunixa Solutions
4.9",UI Developer,130000.0,-1,-1,-1,Remote,1,51 to 200 Employees,2,2015,8,Information Technology Support Services,Information Technology,$1 to $5 million (USD),2,Company - Public,4.9,4.9,4.7,4.9,4.9,4.9,2023-05-07 21:26:37.374970
120,"The Children's Place
3.3",Junior Front End Developer,69660.0,-1,-1,JUNIOR,"Secaucus, NJ",0,10000+ Employees,7,1989,34,"Department, Clothing & Shoe Stores",Retail & Wholesale,$1 to $5 billion (USD),7,Company - Public,3.3,3.0,2.9,3.0,2.8,3.0,2023-05-07 21:26:42.212901
121,"Fullsteam
4.6",Web Developer,67509.0,-1,-1,-1,"Cedar Park, TX",0,Unknown,-1,-1,-1,Food & Beverage Manufacturing,Manufacturing,Unknown / Non-Applicable,-1,Company - Private,4.6,4.2,3.7,4.8,4.2,3.8,2023-05-07 21:26:44.250136
122,"Century Communities
4.2",Front End Web Developer Remote,59635.0,-1,-1,-1,"Greenwood Village, CO",0,1001 to 5000 Employees,5,2002,21,Construction,"Construction, Repair & Maintenance Services",$1 to $5 billion (USD),7,Company - Public,4.2,4.0,4.5,4.2,4.3,3.7,2023-05-07 21:26:46.296847
123,"Backcountry
2.7",Web Developer,70925.0,2,-1,-1,"Park City, UT",0,501 to 1000 Employees,4,1996,27,"Department, Clothing & Shoe Stores",Retail & Wholesale,$500 million to $1 billion (USD),7,Company - Private,2.7,2.5,2.7,2.9,2.2,2.9,2023-05-07 21:26:48.449664
124,Office of the Revisor of Statutes,Web Developer,99555.0,-1,-1,-1,"Saint Paul, MN",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-07 21:26:50.544506
125,"DealersLink
4.7",Junior Web UI Developer,84418.0,-1,-1,JUNIOR,"Broomfield, CO",0,Unknown,-1,-1,-1,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.7,4.9,4.7,4.9,4.9,4.9,2023-05-07 21:26:52.091267
127,Innovative Global Vision,Front-End Web Developer,66859.0,-1,-1,SENIOR,"Macedonia, OH",0,1 to 50 Employees,1,-1,-1,-1,-1,Less than $1 million (USD),1,Company - Public,-1,-1,-1,-1,-1,-1,2023-05-07 21:26:57.007141
128,"AllSynx
4.8",Junior Developer,84096.0,3,BACHELOR,JUNIOR,"Richardson, TX",0,51 to 200 Employees,2,2019,4,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.8,4.5,4.2,5.0,4.8,4.7,2023-05-07 21:26:58.923262
129,-1,-1,67683.0,-1,-1,-1,-1,0,1 to 50 Employees,1,2006,17,Internet & Web Services,Information Technology,$1 to $5 million (USD),2,Company - Private,-1,3.7,3.7,3.6,3.3,3.0,2023-05-07 21:27:01.171915
