,Job Title,Annual Salary,Experience,Education,Location,Is Remote,Company Size,Company Size Scale,Founded,Company Old,Industry,Sector,Revenue,Revenue Scale,Type of Ownership,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Company Name,Time of Scrape
16,Full Stack Developer,97942.0,6,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Racino,2023-05-14 08:15:22.214977
17,Mid-Level Web Developer,62400.0,2,2,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Udundi,2023-05-14 08:15:23.634517
18,Web Developer,57200.0,2,1,"Annapolis, MD",0,51 to 200 Employees,2,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,4.0,1.0,3.0,2.0,1.0,5.0,"DONIA LLC
4.0",2023-05-14 08:15:25.050945
19,.NET Web Developer,104000.0,6,2,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Inventech info Solutions,2023-05-14 08:15:26.801873
20,Web Designer/Developer,41600.0,5,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,EMDL,2023-05-14 08:15:28.222498
21,Temporary Web Developer (Frontend),78000.0,20,1,"Brooklyn, NY",0,201 to 500 Employees,3,1999,24,"Gift, Novelty & Souvenir Stores",Retail & Wholesale,Unknown / Non-Applicable,-1,Company - Private,4.3,3.8,4.1,4.6,4.3,4.2,"Uncommon Goods
4.3",2023-05-14 08:15:29.785267
23,Full Stack Software Developer,107500.0,2,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Atalan Tech,2023-05-14 08:15:33.251011
24,Java Developer,98800.0,10,1,"Richmond, VA",0,51 to 200 Employees,2,2005,18,Business Consulting,Management & Consulting,Unknown / Non-Applicable,-1,Company - Private,4.4,4.2,4.3,4.4,4.3,4.5,"GenTech Associates
4.4",2023-05-14 08:15:34.805055
25,Email Developer,67600.0,1,1,Remote,1,1 to 50 Employees,1,-1,-1,Consumer Product Manufacturing,Manufacturing,$5 to $25 million (USD),3,Company - Private,3.7,3.6,3.7,3.8,3.9,3.6,"Reischling Press, Inc.
3.7",2023-05-14 08:15:36.554554
26,Web Site Developer,86671.0,-1,1,"New York, NY",0,201 to 500 Employees,3,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,4.0,4.5,4.0,4.5,4.0,5.0,"Litmos
4.0",2023-05-14 08:15:38.338762
27,Junior Web Developer,70326.0,1,1,"New York, NY",0,Unknown,-1,-1,-1,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Company - Private,-1,-1,-1,-1,-1,-1,Crunchapps,2023-05-14 08:15:41.932931
28,Freelance Web Designer (Contract),93600.0,2,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Loopdash,2023-05-14 08:15:43.825729
29,UI/UX Developer,70033.6,-1,1,Remote,1,51 to 200 Employees,2,2006,17,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3,Company - Private,4.1,4.3,4.1,4.2,4.2,4.1,"ArchsystemInc
4.1",2023-05-14 08:15:45.345198
30,Frontend Engineer,154960.0,5,2,"Foster City, CA",0,51 to 200 Employees,2,1999,24,HR Consulting,Human Resources & Staffing,$25 to $100 million (USD),4,Company - Private,4.2,4.3,4.0,4.2,4.0,4.0,"Ryzen Solutions
4.2",2023-05-14 08:15:55.670873
31,AngularJS Developer,111905.0,10,1,"Dallas, TX",0,1 to 50 Employees,1,2022,1,Software Development,Information Technology,Unknown / Non-Applicable,-1,Company - Private,-1,-1,-1,-1,-1,-1,RELQ TECHNOLOGIES,2023-05-14 08:15:57.375388
32,C# Developer,145600.0,5,2,"Atlanta, GA",0,Unknown,-1,2015,8,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Unknown,4.5,4.1,4.8,4.4,4.3,4.4,"Intellibus
4.5",2023-05-14 08:15:59.800972
34,UI Developer,130000.0,1,2,Remote,1,51 to 200 Employees,2,2015,8,Information Technology Support Services,Information Technology,$1 to $5 million (USD),2,Company - Public,4.9,4.9,4.7,4.9,4.9,4.9,"Sunixa Solutions
4.9",2023-05-14 08:16:03.817310
35,Java Developer,98800.0,10,1,"Richmond, VA",0,51 to 200 Employees,2,2005,18,Business Consulting,Management & Consulting,Unknown / Non-Applicable,-1,Company - Private,4.4,4.2,4.3,4.4,4.3,4.5,"GenTech Associates
4.4",2023-05-14 08:16:06.034540
36,Web/Senior Frontend Developer,145600.0,8,2,Remote,1,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,-1,-1,-1,-1,-1,-1,"IT Engagements,Inc.",2023-05-14 08:16:07.774223
37,PHP Developer,93600.0,4,1,Remote,1,1 to 50 Employees,1,2021,2,Information Technology Support Services,Information Technology,$1 to $5 million (USD),2,Company - Private,5.0,5.0,5.0,5.0,5.0,5.0,"Khayainfotech LLC
5.0",2023-05-14 08:16:09.520739
38,Web Developer(Cloud native),135200.0,1,-1,"Atlanta, GA",0,51 to 200 Employees,2,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,5.0,5.0,5.0,4.7,5.0,5.0,"VITA TECH INC
5.0",2023-05-14 08:16:11.235354
39,Full Stack Developer,130000.0,10,1,Remote,1,51 to 200 Employees,2,2017,6,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.5,4.5,4.3,4.4,4.3,4.7,"Gridiron IT
4.5",2023-05-14 08:16:12.922156
40,"Web Developer, Frontend - React",61314.0,-1,2,"Burnsville, MN",0,201 to 500 Employees,3,1985,38,Colleges & Universities,Education,$100 to $500 million (USD),6,Company - Private,3.4,2.2,2.7,3.1,2.8,3.6,"Mackin Educational Resources
3.4",2023-05-14 08:16:14.817038
41,"Software Engineer, Frontend",160000.0,8,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,De Novo Discovery,2023-05-14 08:16:16.530959
42,Temporary Web Developer (Frontend),78000.0,20,1,"Brooklyn, NY",0,201 to 500 Employees,3,1999,24,"Gift, Novelty & Souvenir Stores",Retail & Wholesale,Unknown / Non-Applicable,-1,Company - Private,4.3,3.8,4.1,4.6,4.3,4.2,"Uncommon Goods
4.3",2023-05-14 08:16:17.945645
43,Jr Frontend Developer,70000.0,10,1,"Austin, TX",0,51 to 200 Employees,2,2005,18,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.1,4.1,4.0,4.3,4.1,4.2,"Modernize Home Services
4.1",2023-05-14 08:16:20.011161
44,Mid level Java developer,135200.0,8,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,GS SOLUTIONS,2023-05-14 08:16:21.768733
45,Frontend Engineer,130000.0,5,2,"Cerritos, CA",0,Unknown,-1,-1,-1,Construction,"Construction, Repair & Maintenance Services",Unknown / Non-Applicable,-1,Company - Private,2.4,3.3,3.7,2.3,2.7,3.3,"FAAZ Consulting
2.4",2023-05-14 08:16:23.892286
47,Angular Developer,124800.0,7,2,"Sturgis, MI",0,1 to 50 Employees,1,-1,-1,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.6,4.6,4.2,4.4,4.3,4.6,"Tekfortune IT India Pvt Ltd
4.6",2023-05-14 08:16:27.584729
48,python aws developer,119600.0,8,1,"Philadelphia, PA",0,1001 to 5000 Employees,5,2003,20,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.6,4.5,4.2,4.4,4.4,4.5,"Teamware Solutions (quantum leap consulting).
4.6",2023-05-14 08:16:29.360812
49,Golang Developer,109200.0,1,-1,Remote,1,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Contract,4.7,4.7,4.5,4.7,4.3,4.5,"Fuge Technologies Inc
4.7",2023-05-14 08:16:31.468426
50,.NET Web Developer,104000.0,6,2,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Inventech info Solutions,2023-05-14 08:16:33.295527
51,Web Developer - Remote,75116.0,2,1,"Denver, CO",0,10000+ Employees,7,1876,147,Colleges & Universities,Education,$1 to $5 billion (USD),7,College / University,3.9,3.3,3.5,3.7,3.3,3.7,"University of Colorado
3.9",2023-05-14 08:16:34.841764
52,Senior Frontend JavaScript Developer (Remote),187200.0,4,1,California,0,51 to 200 Employees,2,1996,27,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.1,4.1,4.0,4.4,4.0,4.4,"VS Media
4.1",2023-05-14 08:16:36.837145
53,Sr. Developer,120640.0,2,1,"Mason, OH",0,51 to 200 Employees,2,-1,-1,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3,Company - Private,3.9,3.8,3.9,3.8,3.8,3.8,"AVA Counsulting
3.9",2023-05-14 08:16:38.685028
54,Web Developer,56160.0,3,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Sterner Stuff,2023-05-14 08:16:40.427470
55,React JS Developer,119600.0,9,2,"Sunnyvale, CA",0,51 to 200 Employees,2,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,5.0,5.0,5.0,5.0,5.0,5.0,"Volto Consulting
5.0",2023-05-14 08:16:42.073930
56,Full Stack Web Developer - (Contract),64674.0,125,1,"Pittsburgh, PA",0,10000+ Employees,7,1886,137,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),9,Company - Private,4.3,4.1,4.0,4.3,3.9,4.1,"Bosch Group
4.3",2023-05-14 08:16:43.729415
57,Web Developer,86000.0,4,1,"Fairborn, OH",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Artisan Technologies, Inc.",2023-05-14 08:16:45.662831
58,PHP Developer,109200.0,8,2,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,cloud resources,2023-05-14 08:16:47.401135
59,Sr. Web Developer,107205.0,7,1,Remote,1,51 to 200 Employees,2,-1,-1,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.6,3.6,3.2,3.6,3.4,3.6,"Radcube LLC
3.6",2023-05-14 08:16:48.916373
61,Frontend Engineer,154960.0,5,2,"Foster City, CA",0,51 to 200 Employees,2,1999,24,HR Consulting,Human Resources & Staffing,$25 to $100 million (USD),4,Company - Private,4.2,4.3,4.0,4.2,4.0,4.0,"Ryzen Solutions
4.2",2023-05-14 08:17:01.248457
62,UI Developer,130000.0,1,2,Remote,1,51 to 200 Employees,2,2015,8,Information Technology Support Services,Information Technology,$1 to $5 million (USD),2,Company - Public,4.9,4.9,4.7,4.9,4.9,4.9,"Sunixa Solutions
4.9",2023-05-14 08:17:03.066870
63,"Software Engineer, Frontend",160000.0,8,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,De Novo Discovery,2023-05-14 08:17:04.842259
65,PHP Developer,109200.0,8,2,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,cloud resources,2023-05-14 08:17:08.061863
66,"Software Developer, Frontend",120000.0,-1,1,Remote,1,201 to 500 Employees,3,2015,8,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.5,4.1,4.3,4.2,4.1,4.2,"DISQO
4.5",2023-05-14 08:17:09.514687
67,Frontend Engineer,130000.0,5,2,"Cerritos, CA",0,Unknown,-1,-1,-1,Construction,"Construction, Repair & Maintenance Services",Unknown / Non-Applicable,-1,Company - Private,2.4,3.3,3.7,2.3,2.7,3.3,"FAAZ Consulting
2.4",2023-05-14 08:17:11.292202
71,-1,135200.0,-1,-1,-1,0,51 to 200 Employees,2,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,-1,5.0,5.0,4.7,5.0,5.0,-1,2023-05-14 08:17:18.333601
72,AngularJS Developer,111905.0,10,1,"Dallas, TX",0,1 to 50 Employees,1,2022,1,Software Development,Information Technology,Unknown / Non-Applicable,-1,Company - Private,-1,-1,-1,-1,-1,-1,RELQ TECHNOLOGIES,2023-05-14 08:17:20.122903
73,Junior Dot Net Developer,93600.0,5,-1,Remote,1,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,-1,-1,-1,-1,-1,-1,Zettalogix Inc,2023-05-14 08:17:21.877295
74,Junior Software Engineer,85000.0,1,1,"New York, NY",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,DataBP,2023-05-14 08:17:23.499127
75,Frontend Engineer (Remote),80000.0,2,1,Remote,1,1 to 50 Employees,1,2017,6,Taxi & Car Services,Transportation & Logistics,Unknown / Non-Applicable,-1,Company - Private,4.0,3.9,4.2,3.9,3.8,4.5,"Leaf Logistics
4.0",2023-05-14 08:17:25.280945
78,Web Developer,126214.4,3,1,"Trenton, NJ",0,51 to 200 Employees,2,2005,18,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.7,3.6,3.9,3.5,3.5,3.6,"Devcare Solutions
3.7",2023-05-14 08:17:30.594770
79,Student Employee - Web Developer,67472.0,-1,1,"Charlotte, NC",0,501 to 1000 Employees,4,1973,50,Membership Organizations,Management & Consulting,$100 to $500 million (USD),6,Nonprofit Organization,4.4,4.1,4.0,4.4,4.0,4.2,"Electric Power Research Institute
4.4",2023-05-14 08:17:32.613818
82,Java Developer,98800.0,10,1,"Richmond, VA",0,51 to 200 Employees,2,2005,18,Business Consulting,Management & Consulting,Unknown / Non-Applicable,-1,Company - Private,4.4,4.2,4.3,4.4,4.3,4.5,"GenTech Associates
4.4",2023-05-14 08:17:37.922356
83,Frontend Engineer,135000.0,6,1,Remote,1,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,3.7,3.8,3.8,3.8,3.6,4.1,"MagicLinks
3.7",2023-05-14 08:17:39.749683
84,Web developer,88400.0,5,1,"New York, NY",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,HealthyLine,2023-05-14 08:17:41.506205
86,Website Developer,104000.0,-1,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Creator Marketing,2023-05-14 08:17:45.074426
87,Frontend Web Developer,90731.0,-1,2,"Newark, CA",0,Unknown,-1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,-1,-1,-1,-1,-1,-1,Tasktoday,2023-05-14 08:17:46.694027
88,Web Application Developer,95000.0,-1,1,Remote,1,1 to 50 Employees,1,-1,-1,HR Consulting,Human Resources & Staffing,Less than $1 million (USD),1,Company - Private,3.0,4.0,4.0,5.0,3.0,4.0,"i2i Workforce
3.0",2023-05-14 08:17:48.358022
92,UI Developer,130000.0,1,2,Remote,1,51 to 200 Employees,2,2015,8,Information Technology Support Services,Information Technology,$1 to $5 million (USD),2,Company - Public,4.9,4.9,4.7,4.9,4.9,4.9,"Sunixa Solutions
4.9",2023-05-14 08:18:04.564249
93,"Software Developer, Frontend",120000.0,-1,1,Remote,1,201 to 500 Employees,3,2015,8,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.5,4.1,4.3,4.2,4.1,4.2,"DISQO
4.5",2023-05-14 08:18:06.314023
96,Frontend Engineer,154960.0,5,2,"Foster City, CA",0,51 to 200 Employees,2,1999,24,HR Consulting,Human Resources & Staffing,$25 to $100 million (USD),4,Company - Private,4.2,4.3,4.0,4.2,4.0,4.0,"Ryzen Solutions
4.2",2023-05-14 08:18:11.662221
98,Front End Developer - UI,90633.0,6,2,"Orlando, FL",0,51 to 200 Employees,2,2018,5,Software Development,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.5,4.9,4.4,4.4,4.4,4.0,"Andor Health
4.5",2023-05-14 08:18:16.325184
101,AngularJS Developer,111905.0,10,1,"Dallas, TX",0,1 to 50 Employees,1,2022,1,Software Development,Information Technology,Unknown / Non-Applicable,-1,Company - Private,-1,-1,-1,-1,-1,-1,RELQ TECHNOLOGIES,2023-05-14 08:18:21.012507
104,Frontend Engineer,135000.0,6,1,Remote,1,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,3.7,3.8,3.8,3.8,3.6,4.1,"MagicLinks
3.7",2023-05-14 08:18:26.301227
105,React Developer,130000.0,7,2,Remote,1,51 to 200 Employees,2,2011,12,Information Technology Support Services,Information Technology,$1 to $5 million (USD),2,Company - Private,4.9,4.7,4.7,4.5,4.6,4.4,"Integration Developer Network LLC
4.9",2023-05-14 08:18:27.986067
107,Website Developer,104000.0,-1,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Creator Marketing,2023-05-14 08:18:31.539280
108,Java Developer,98800.0,10,1,"Richmond, VA",0,51 to 200 Employees,2,2005,18,Business Consulting,Management & Consulting,Unknown / Non-Applicable,-1,Company - Private,4.4,4.2,4.3,4.4,4.3,4.5,"GenTech Associates
4.4",2023-05-14 08:18:33.053827
110,UX Designer/Developer,150800.0,1,2,Remote,1,201 to 500 Employees,3,2000,23,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.8,3.8,3.0,3.7,3.7,3.7,"Radiant.digital
3.8",2023-05-14 08:18:36.717976
111,Junior Software Engineer,85000.0,1,1,"New York, NY",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,DataBP,2023-05-14 08:18:38.496326
113,Web Developer,126214.4,3,1,"Trenton, NJ",0,51 to 200 Employees,2,2005,18,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.7,3.6,3.9,3.5,3.5,3.6,"Devcare Solutions
3.7",2023-05-14 08:18:42.359913
117,Frontend Engineer,130000.0,5,2,"Cerritos, CA",0,Unknown,-1,-1,-1,Construction,"Construction, Repair & Maintenance Services",Unknown / Non-Applicable,-1,Company - Private,2.4,3.3,3.7,2.3,2.7,3.3,"FAAZ Consulting
2.4",2023-05-14 08:18:49.796104
118,UI Developer - Angular (Remote),130000.0,10,1,Remote,1,51 to 200 Employees,2,2007,16,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.8,4.5,4.1,4.8,4.7,4.4,"amazech solutions
4.8",2023-05-14 08:18:51.600330
119,Frontend Developer,115000.0,5,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Digital Harbor, Inc.",2023-05-14 08:18:53.388732
121,Frontend Engineer (Remote),80000.0,2,1,Remote,1,1 to 50 Employees,1,2017,6,Taxi & Car Services,Transportation & Logistics,Unknown / Non-Applicable,-1,Company - Private,4.0,3.9,4.2,3.9,3.8,4.5,"Leaf Logistics
4.0",2023-05-14 08:19:05.164765
124,Junior Software Engineer,85000.0,1,1,"New York, NY",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,DataBP,2023-05-14 08:19:10.870059
125,VueJs Frontend Developer (Remote),79413.0,2,2,"Davis, CA",0,1 to 50 Employees,1,1996,27,Business Consulting,Management & Consulting,$1 to $5 million (USD),2,Company - Private,4.3,3.8,3.9,4.3,4.1,4.0,"Avantpage, Inc.
4.3",2023-05-14 08:19:12.364923
131,Frontend Engineer,135000.0,6,1,Remote,1,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,3.7,3.8,3.8,3.8,3.6,4.1,"MagicLinks
3.7",2023-05-14 08:19:23.207333
133,Front End Developer - UI,90633.0,6,2,"Orlando, FL",0,51 to 200 Employees,2,2018,5,Software Development,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.5,4.9,4.4,4.4,4.4,4.0,"Andor Health
4.5",2023-05-14 08:19:26.761429
135,Junior Web Developer (React JS),67500.0,1,2,"Fort Worth, TX",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,3.5,2.0,2.0,1.0,2.0,1.0,"Aggregate Capital and Development
3.5",2023-05-14 08:19:29.902708
138,UX Designer/Developer,150800.0,1,2,Remote,1,201 to 500 Employees,3,2000,23,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.8,3.8,3.0,3.7,3.7,3.7,"Radiant.digital
3.8",2023-05-14 08:19:35.102219
139,Web developer,88400.0,5,1,"New York, NY",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,HealthyLine,2023-05-14 08:19:36.908015
140,Junior Web UI Developer,84487.0,1,1,"Broomfield, CO",0,Unknown,-1,-1,-1,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.7,4.9,4.7,4.9,4.9,4.9,"DealersLink
4.7",2023-05-14 08:19:38.554879
142,Contract React Developer - Remote,98800.0,2,1,Remote,1,Unknown,-1,-1,-1,Business Consulting,Management & Consulting,Unknown / Non-Applicable,-1,Company - Private,4.1,4.0,3.5,3.8,3.9,3.7,"TensorIoT Inc
4.1",2023-05-14 08:19:42.196679
143,Junior Front End Web Developer,69245.0,2,1,"Salem, MA",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,3.3,3.0,3.4,3.9,3.4,4.2,"Sperling Interactive
3.3",2023-05-14 08:19:44.251440
144,Software Engineer - Frontend (Remote),130000.0,-1,1,"Atlanta, GA",0,10000+ Employees,7,1978,45,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD),9,Company - Public,3.8,3.7,3.6,3.8,3.4,3.6,"Home Depot / THD
3.8",2023-05-14 08:19:45.956723
145,Web Developer,65245.0,2,1,"Cedar Park, TX",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Contract,3.6,2.3,2.5,3.2,2.7,2.2,"Fullsteam
3.6",2023-05-14 08:19:47.881388
146,Front End Web Developer - Remote,92500.0,5,1,"Toronto, IN",0,51 to 200 Employees,2,1992,31,General Repair & Maintenance,"Construction, Repair & Maintenance Services",$100 to $500 million (USD),6,Company - Private,3.9,3.7,3.4,3.8,3.6,3.7,"CertaPro Painters
3.9",2023-05-14 08:19:49.630924
147,Junior web developer,88400.0,5,2,"San Antonio, TX",0,51 to 200 Employees,2,2013,10,Software Development,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.3,4.6,4.4,4.4,4.4,4.5,"Inwizards Software Technology
4.3",2023-05-14 08:19:51.673416
152,Frontend Engineer (Remote),80000.0,2,1,Remote,1,1 to 50 Employees,1,2017,6,Taxi & Car Services,Transportation & Logistics,Unknown / Non-Applicable,-1,Company - Private,4.0,3.9,4.2,3.9,3.8,4.5,"Leaf Logistics
4.0",2023-05-14 08:20:09.472320
153,Frontend Engineer,135000.0,6,1,Remote,1,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,3.7,3.8,3.8,3.8,3.6,4.1,"MagicLinks
3.7",2023-05-14 08:20:11.272272
158,Junior Software Engineer,85000.0,1,1,"New York, NY",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,DataBP,2023-05-14 08:20:20.285083
164,Web developer,88400.0,5,1,"New York, NY",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,HealthyLine,2023-05-14 08:20:31.108870
