,Job Title,Annual Salary,Experience,Education,Location,Is Remote,Company Size,Company Size Scale,Founded,Company Old,Industry,Sector,Revenue,Revenue Scale,Type of Ownership,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Company Name,Time of Scrape
16,QA Engineer (US - 100% Remote),90000.0,3,2,"New York, NY",0,1 to 50 Employees,1,2021,2,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,5.0,4.9,4.8,4.9,5.0,4.8,Gynger,2023-05-15 13:43:31.121592
17,QA Engineer - Entry level,57200.0,2,1,"Detroit, MI",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Tresume,2023-05-15 13:43:32.743265
18,QA/QC NACE Offshore Inspector,130000.0,-1,2,"Houston, TX",0,201 to 500 Employees,3,1997,26,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable,-1,Company - Private,4.0,3.6,3.9,3.6,4.4,4.2,PK Technology,2023-05-15 13:43:43.587252
19,QA Analyst,108410.0,2,1,"San Mateo, CA",0,1001 to 5000 Employees,5,1998,25,Education & Training Services,Education,$100 to $500 million (USD),6,Company - Private,3.2,2.9,3.1,3.1,2.8,3.6,IXL Learning,2023-05-15 13:43:45.051749
20,Automation API Tester,109200.0,10,2,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Sansutek,2023-05-15 13:43:46.520687
22,QA Analyst,98800.0,8,2,"Atlanta, GA",0,201 to 500 Employees,3,2013,10,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3,Company - Private,4.3,4.3,4.4,4.4,4.5,4.3,BuzzClan Private Limited,2023-05-15 13:44:01.840584
23,QA Analyst,97760.0,4,2,"Atlanta, GA",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Redzara.us,2023-05-15 13:44:03.390050
24,QA Manual Tester,109200.0,3,1,"Las Vegas, NV",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ExpressTech,2023-05-15 13:44:13.926747
26,Software Quality Assurance (QA) Engineer,107500.0,3,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Rubris,2023-05-15 13:44:29.848415
27,QA Engineer - Remote,92091.0,2,1,"New York, NY",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.8,3.9,3.2,3.9,3.4,3.2,Genome,2023-05-15 13:44:40.442970
28,Quality Assurance Engineer,100000.0,-1,1,Remote,1,1 to 50 Employees,1,2016,7,Business Consulting,Management & Consulting,$5 to $25 million (USD),3,Company - Private,4.1,3.9,3.8,4.1,4.3,4.0,Planstin,2023-05-15 13:44:45.031868
30,Junior Test Engineer,45385.6,1,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Entech,2023-05-15 13:44:54.538225
31,Junior Test Engineer,45385.6,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Entech,2023-05-15 13:45:06.782817
32,Junior Test Engineer,45385.6,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Entech,2023-05-15 13:45:17.776038
33,Junior Test Engineer,45385.6,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Entech,2023-05-15 13:45:28.675925
34,Junior Test Engineer,45385.6,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Entech,2023-05-15 13:45:39.487324
35,Junior Test Engineer,45385.6,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Entech,2023-05-15 13:45:50.512616
36,Junior Test Engineer,45385.6,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Entech,2023-05-15 13:46:01.479629
37,Junior Test Engineer,45385.6,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Entech,2023-05-15 13:46:12.357425
38,Junior Test Engineer,45385.6,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Entech,2023-05-15 13:46:23.264550
39,Junior Test Engineer,45385.6,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Entech,2023-05-15 13:46:34.145394
40,Junior Test Engineer,45385.6,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Entech,2023-05-15 13:46:45.081920
41,Junior Test Engineer,45385.6,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Entech,2023-05-15 13:46:56.017595
42,Junior Test Engineer,45385.6,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Entech,2023-05-15 13:47:06.953151
43,Junior Test Engineer,45385.6,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Entech,2023-05-15 13:47:17.906608
44,Junior Test Engineer,45385.6,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Entech,2023-05-15 13:47:28.816194
45,Junior Test Engineer,45385.6,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Entech,2023-05-15 13:47:39.803374
46,Junior Test Engineer,45385.6,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Entech,2023-05-15 13:47:50.800864
47,Junior Test Engineer,45385.6,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Entech,2023-05-15 13:48:01.710066
48,Junior Test Engineer,45385.6,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Entech,2023-05-15 13:48:12.646345
49,Junior Test Engineer,45385.6,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Entech,2023-05-15 13:48:23.587285
50,Junior Test Engineer,45385.6,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Entech,2023-05-15 13:48:34.571066
51,Junior Test Engineer,45385.6,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Entech,2023-05-15 13:48:45.482646
52,Junior Test Engineer,45385.6,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Entech,2023-05-15 13:48:56.446509
53,Junior Test Engineer,45385.6,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Entech,2023-05-15 13:49:07.404584
54,Junior Test Engineer,45385.6,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Entech,2023-05-15 13:49:18.415315
55,Junior Test Engineer,45385.6,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Entech,2023-05-15 13:49:29.357742
56,Junior Test Engineer,45385.6,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Entech,2023-05-15 13:49:40.346387
57,Junior Test Engineer,45385.6,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Entech,2023-05-15 13:49:51.240564
58,Junior Test Engineer,45385.6,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Entech,2023-05-15 13:50:02.145882
59,Junior Test Engineer,45385.6,-1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Entech,2023-05-15 13:50:13.100312
77,Quality Assurance Specialist,105040.0,4,2,"Lenoir, NC",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,TailoredSearch,2023-05-15 13:52:24.805431
78,Quality Assurance Specialist,105040.0,-1,2,"Lenoir, NC",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,TailoredSearch,2023-05-15 13:52:35.570874
79,Quality Assurance Specialist,105040.0,-1,-1,"Lenoir, NC",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,TailoredSearch,2023-05-15 13:52:45.492080
80,Quality Assurance Specialist,105040.0,-1,-1,"Lenoir, NC",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,TailoredSearch,2023-05-15 13:52:56.245606
81,Quality Assurance - SDET,90000.0,-1,1,Remote,1,201 to 500 Employees,3,2009,14,Enterprise Software & Network Solutions,Information Technology,$25 to $100 million (USD),4,Company - Private,4.1,3.7,3.8,4.2,4.1,4.4,Ncontracts,2023-05-15 13:53:07.016748
82,Quality Assurance - SDET,90000.0,-1,-1,Remote,1,201 to 500 Employees,3,2009,14,Enterprise Software & Network Solutions,Information Technology,$25 to $100 million (USD),4,Company - Private,4.1,3.7,3.8,4.2,4.1,4.4,Ncontracts,2023-05-15 13:53:08.832237
83,Quality Assurance - SDET,90000.0,-1,-1,Remote,1,201 to 500 Employees,3,2009,14,Enterprise Software & Network Solutions,Information Technology,$25 to $100 million (USD),4,Company - Private,4.1,3.7,3.8,4.2,4.1,4.4,Ncontracts,2023-05-15 13:53:10.336653
84,Quality Assurance - SDET,90000.0,-1,-1,Remote,1,201 to 500 Employees,3,2009,14,Enterprise Software & Network Solutions,Information Technology,$25 to $100 million (USD),4,Company - Private,4.1,3.7,3.8,4.2,4.1,4.4,Ncontracts,2023-05-15 13:53:11.915287
85,Quality Assurance - SDET,90000.0,-1,-1,Remote,1,201 to 500 Employees,3,2009,14,Enterprise Software & Network Solutions,Information Technology,$25 to $100 million (USD),4,Company - Private,4.1,3.7,3.8,4.2,4.1,4.4,Ncontracts,2023-05-15 13:53:13.485227
86,Quality Assurance - SDET,90000.0,-1,-1,Remote,1,201 to 500 Employees,3,2009,14,Enterprise Software & Network Solutions,Information Technology,$25 to $100 million (USD),4,Company - Private,4.1,3.7,3.8,4.2,4.1,4.4,Ncontracts,2023-05-15 13:53:15.069918
