,Job Title,Annual Salary,Experience,Education,Location,Is Remote,Company Size,Company Size Scale,Founded,Company Old,Industry,Sector,Revenue,Revenue Scale,Type of Ownership,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Company Name,Time of Scrape
21,Junior Software Developer,64480.0,2,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Springbrook Creek Statement Composition LLC,2023-05-14 14:13:11.851913
22,Software Engineer - AWS (Remote),184433.6,4,2,United States,0,51 to 200 Employees,2,2001,22,Business Consulting,Management & Consulting,$5 to $25 million (USD),3,Company - Private,4.6,4.5,4.1,4.5,4.5,4.5,"Stage 4 Solutions Inc
4.6",2023-05-14 14:13:13.283169
23,Junior Cloud Engineer,55000.0,2,2,"Littleton, CO",0,10000+ Employees,7,1980,43,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),7,Company - Private,3.6,3.4,3.0,3.5,3.1,3.5,"Atos Syntel
3.6",2023-05-14 14:13:15.233644
24,Associate Software Engineer,83681.0,2,1,"Pearl River, NY",0,10000+ Employees,7,1849,174,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),9,Company - Public,4.1,3.8,4.0,4.0,3.6,3.9,"Pfizer
4.1",2023-05-14 14:13:17.039146
25,Software Development Engineer,145600.0,7,2,Remote,1,Unknown,-1,2015,8,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Unknown,4.5,4.1,4.8,4.4,4.3,4.4,"Intellibus
4.5",2023-05-14 14:13:18.739826
26,DevOps Engineer,107500.0,2,2,Remote,1,501 to 1000 Employees,4,2008,15,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.0,4.0,3.6,4.2,3.8,3.6,"Capillary Technologies
4.0",2023-05-14 14:13:20.478929
29,DevOps Engineer,124800.0,8,2,"McLean, VA",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Artint Knowledge Tech,2023-05-14 14:13:25.729805
31,Software Development Engineer,145600.0,7,2,Remote,1,Unknown,-1,2015,8,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Unknown,4.5,4.1,4.8,4.4,4.3,4.4,"Intellibus
4.5",2023-05-14 14:13:37.707736
32,Full Stack Java,119600.0,1,3,Remote,1,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Contract,4.7,4.7,4.5,4.7,4.3,4.5,"Fuge Technologies Inc
4.7",2023-05-14 14:13:39.447548
34,Software Engineer,100000.0,2,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Aiden Technology,2023-05-14 14:13:42.951975
36,Associate Software Engineer - Entry Level,90000.0,3,1,"Frederick, MD",0,1 to 50 Employees,1,-1,-1,-1,-1,$5 to $25 million (USD),3,Company - Public,3.4,2.6,2.7,3.3,2.8,3.0,"Network Innovations U.S. Government
3.4",2023-05-14 14:13:46.068298
37,Software Engineer,83200.0,-1,1,Remote,1,1 to 50 Employees,1,2013,10,Computer Hardware Development,Information Technology,Less than $1 million (USD),1,Company - Private,4.2,3.8,3.9,4.5,4.0,4.5,"Jumpseller
4.2",2023-05-14 14:13:47.827075
39,Software Engineer,140400.0,7,1,"Foster City, CA",0,201 to 500 Employees,3,-1,-1,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3,Company - Private,4.5,4.4,4.2,4.4,3.8,4.4,"Intone Networks
4.5",2023-05-14 14:13:51.356475
41,AWS Cloud Engineer,140400.0,-1,2,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Kanini,2023-05-14 14:13:54.903123
42,Frontend Engineer,130000.0,5,2,"Cerritos, CA",0,Unknown,-1,-1,-1,Construction,"Construction, Repair & Maintenance Services",Unknown / Non-Applicable,-1,Company - Private,2.4,3.3,3.7,2.3,2.7,3.3,"FAAZ Consulting
2.4",2023-05-14 14:13:56.364137
43,DevOps engineer,135200.0,-1,2,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,GS SOLUTIONS,2023-05-14 14:13:58.177803
44,Software Engineer - AWS (Remote),184433.6,4,2,United States,0,51 to 200 Employees,2,2001,22,Business Consulting,Management & Consulting,$5 to $25 million (USD),3,Company - Private,4.6,4.5,4.1,4.5,4.5,4.5,"Stage 4 Solutions Inc
4.6",2023-05-14 14:13:59.632162
45,Engineer Software,110595.0,3,1,Remote,1,1001 to 5000 Employees,5,1997,26,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),6,Company - Public,4.0,4.0,3.9,4.2,3.8,4.0,"PAYLOCITY CORPORATION
4.0",2023-05-14 14:14:01.447679
46,Software Engineer,82000.0,-1,2,Remote,1,51 to 200 Employees,2,2005,18,Enterprise Software & Network Solutions,Information Technology,$5 to $25 million (USD),3,Company - Private,3.4,3.0,3.5,3.4,3.0,3.8,"Mosaic Learning, Inc.
3.4",2023-05-14 14:14:03.269318
47,Full Stack Software Developer,27040.0,5,2,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Remedy Well,2023-05-14 14:14:05.109962
48,DevOps Engineer,107500.0,2,2,Remote,1,501 to 1000 Employees,4,2008,15,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.0,4.0,3.6,4.2,3.8,3.6,"Capillary Technologies
4.0",2023-05-14 14:14:06.579475
49,Software Engineer - Full Stack,124350.0,20,2,California,0,10000+ Employees,7,1998,25,Internet & Web Services,Information Technology,$10+ billion (USD),9,Company - Public,3.9,3.5,3.9,4.0,3.4,4.0,"PayPal
3.9",2023-05-14 14:14:08.485119
50,DevOps Engineer,124800.0,8,2,"McLean, VA",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Artint Knowledge Tech,2023-05-14 14:14:10.344816
51,Junior Software Developer,64480.0,2,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Springbrook Creek Statement Composition LLC,2023-05-14 14:14:11.815094
52,Full Stack Engineer,156000.0,2,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Big Corporations,2023-05-14 14:14:13.318253
53,Software Engineer,105000.0,3,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vindhya Data Science,2023-05-14 14:14:14.780934
54,Senior Full-Stack Software Engineer,165000.0,-1,1,Remote,1,51 to 200 Employees,2,2009,14,Enterprise Software & Network Solutions,Information Technology,$5 to $25 million (USD),3,Company - Private,4.2,4.0,4.1,4.7,3.7,4.7,"Chartbeat
4.2",2023-05-14 14:14:16.230086
55,Backend Software Engineer (All Skill Levels),80000.0,1,2,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Wolfjaw Studios,2023-05-14 14:14:18.065920
58,Python Software Engineer,157310.4,1,1,"Boston, MA",0,Unknown,-1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,-1,-1,-1,-1,-1,-1,Rackera Inc,2023-05-14 14:14:22.739984
59,Software Engineer,135000.0,6,2,"San Francisco, CA",0,51 to 200 Employees,2,2016,7,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Company - Private,5.0,4.9,4.4,5.0,5.0,4.9,"January Technologies
5.0",2023-05-14 14:14:24.555583
62,Software Engineer,100000.0,2,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Aiden Technology,2023-05-14 14:14:38.942142
63,Software Engineer (JavaScript),100000.0,3,2,"San Diego, CA",0,51 to 200 Employees,2,2012,11,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.9,4.1,4.1,4.3,4.1,4.1,"SoftIron
3.9",2023-05-14 14:14:40.455239
64,Software Engineer,82000.0,-1,2,Remote,1,51 to 200 Employees,2,2005,18,Enterprise Software & Network Solutions,Information Technology,$5 to $25 million (USD),3,Company - Private,3.4,3.0,3.5,3.4,3.0,3.8,"Mosaic Learning, Inc.
3.4",2023-05-14 14:14:42.343510
65,Software Engineer,105000.0,3,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vindhya Data Science,2023-05-14 14:14:44.243206
66,Kubernetes Engineer,114400.0,1,3,"Deerfield, IL",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,4.2,3.9,3.7,4.0,4.0,4.2,"Purple Drive Technologies
4.2",2023-05-14 14:14:45.751028
68,DevOps Engineer,102500.0,-1,2,Remote,1,Unknown,-1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,-1,-1,-1,-1,-1,-1,Seamless Migration LLC,2023-05-14 14:14:49.338618
69,DevOps Engineer,107500.0,2,2,Remote,1,501 to 1000 Employees,4,2008,15,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.0,4.0,3.6,4.2,3.8,3.6,"Capillary Technologies
4.0",2023-05-14 14:14:50.993798
70,Software Engineer,87184.0,-1,1,"Pittsburgh, PA",0,10000+ Employees,7,1845,178,Banking & Lending,Financial Services,$10+ billion (USD),9,Company - Public,3.6,3.6,3.3,3.7,3.2,3.5,"PNC Financial Services Group
3.6",2023-05-14 14:14:52.864553
73,Software Engineer,220480.0,-1,1,"San Francisco, CA",0,51 to 200 Employees,2,2018,5,Business Consulting,Management & Consulting,$5 to $25 million (USD),3,Company - Private,4.6,4.4,4.5,4.5,4.4,4.3,"Braintrust
4.6",2023-05-14 14:14:58.511365
74,Software Engineer,135000.0,6,2,"San Francisco, CA",0,51 to 200 Employees,2,2016,7,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Company - Private,5.0,4.9,4.4,5.0,5.0,4.9,"January Technologies
5.0",2023-05-14 14:15:00.420882
77,Full Stack Software Developer,27040.0,5,2,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Remedy Well,2023-05-14 14:15:06.116275
80,Software Engineer - Full Stack,124350.0,20,2,California,0,10000+ Employees,7,1998,25,Internet & Web Services,Information Technology,$10+ billion (USD),9,Company - Public,3.9,3.5,3.9,4.0,3.4,4.0,"PayPal
3.9",2023-05-14 14:15:11.418983
81,DevOps engineer,135200.0,-1,2,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,GS SOLUTIONS,2023-05-14 14:15:13.307985
82,Software Engineer,112950.0,18,1,"Dallas, TX",0,10000+ Employees,7,1967,56,"Airlines, Airports & Air Transportation",Transportation & Logistics,$10+ billion (USD),9,Company - Public,4.1,4.1,4.2,4.0,3.5,3.6,"Southwest Airlines
4.1",2023-05-14 14:15:14.763679
84,Software Engineer I (NST),96997.0,-1,1,"Redmond, WA",0,5001 to 10000 Employees,6,-1,-1,Video Game Publishing,Media & Communication,$10+ billion (USD),9,Company - Public,4.5,3.9,4.1,4.3,4.0,3.9,"Nintendo
4.5",2023-05-14 14:15:18.920152
87,Frontend Engineer,135000.0,6,1,Remote,1,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,3.7,3.8,3.8,3.8,3.6,4.1,"MagicLinks
3.7",2023-05-14 14:15:24.598918
88,Software Engineer (Full Stack),97800.0,3,1,"Alameda, CA",0,10000+ Employees,7,1888,135,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),9,Company - Public,3.8,3.5,3.8,3.6,3.2,3.4,"Abbott Laboratories
3.8",2023-05-14 14:15:26.439381
92,Software Engineer I (NST),96997.0,-1,1,"Redmond, WA",0,5001 to 10000 Employees,6,-1,-1,Video Game Publishing,Media & Communication,$10+ billion (USD),9,Company - Public,4.5,3.9,4.1,4.3,4.0,3.9,"Nintendo
4.5",2023-05-14 14:15:43.462745
94,Software Engineer I,85000.0,2,1,Remote,1,1 to 50 Employees,1,-1,-1,Health Care Services & Hospitals,Healthcare,Less than $1 million (USD),1,Company - Private,3.9,3.5,2.9,3.9,2.9,3.5,"Apollo Medical Holdings
3.9",2023-05-14 14:15:47.297326
96,Software Engineer,83200.0,-1,1,Remote,1,1 to 50 Employees,1,2013,10,Computer Hardware Development,Information Technology,Less than $1 million (USD),1,Company - Private,4.2,3.8,3.9,4.5,4.0,4.5,"Jumpseller
4.2",2023-05-14 14:15:51.251179
97,Senior Full-Stack Software Engineer,165000.0,-1,1,Remote,1,51 to 200 Employees,2,2009,14,Enterprise Software & Network Solutions,Information Technology,$5 to $25 million (USD),3,Company - Private,4.2,4.0,4.1,4.7,3.7,4.7,"Chartbeat
4.2",2023-05-14 14:15:53.271768
99,Software Engineer - Full Stack,124350.0,20,2,California,0,10000+ Employees,7,1998,25,Internet & Web Services,Information Technology,$10+ billion (USD),9,Company - Public,3.9,3.5,3.9,4.0,3.4,4.0,"PayPal
3.9",2023-05-14 14:15:57.257296
100,Full Stack Software Engineer,96500.0,-1,1,Remote,1,51 to 200 Employees,2,2012,11,Education & Training Services,Education,Unknown / Non-Applicable,-1,Company - Private,3.1,3.2,2.9,3.4,3.1,3.5,"Packback Inc
3.1",2023-05-14 14:15:59.236863
101,Full Stack Software Engineer,104000.0,-1,1,"Santa Barbara, CA",0,201 to 500 Employees,3,1982,41,Computer Hardware Development,Information Technology,$100 to $500 million (USD),6,Company - Private,3.7,3.6,4.1,3.2,3.0,3.7,"Green Hills Software
3.7",2023-05-14 14:16:01.238793
103,DevOps Engineer,107500.0,2,2,Remote,1,501 to 1000 Employees,4,2008,15,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.0,4.0,3.6,4.2,3.8,3.6,"Capillary Technologies
4.0",2023-05-14 14:16:04.454567
105,Software Engineer,105000.0,3,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vindhya Data Science,2023-05-14 14:16:08.449197
106,DevOps Engineer,102500.0,-1,2,Remote,1,Unknown,-1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,-1,-1,-1,-1,-1,-1,Seamless Migration LLC,2023-05-14 14:16:09.996654
108,Software Engineer (Full Stack) - Remote,125000.0,5,2,"Dallas, TX",0,501 to 1000 Employees,4,2003,20,Taxi & Car Services,Transportation & Logistics,$25 to $100 million (USD),4,Company - Private,4.0,3.3,3.7,3.1,3.5,3.5,"TeamOne Logistics
4.0",2023-05-14 14:16:13.004249
109,Software Engineer,125000.0,-1,1,Remote,1,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,5.0,4.0,5.0,5.0,5.0,5.0,"PHNTM
5.0",2023-05-14 14:16:15.037337
110,Software Engineer,112950.0,18,1,"Dallas, TX",0,10000+ Employees,7,1967,56,"Airlines, Airports & Air Transportation",Transportation & Logistics,$10+ billion (USD),9,Company - Public,4.1,4.1,4.2,4.0,3.5,3.6,"Southwest Airlines
4.1",2023-05-14 14:16:17.013732
113,Associate Software Engineer,88500.0,-1,2,Remote,1,1001 to 5000 Employees,5,1983,40,Internet & Web Services,Information Technology,$1 to $5 billion (USD),7,Company - Private,3.7,3.2,3.5,3.8,3.2,4.1,"Ancestry
3.7",2023-05-14 14:16:22.353813
114,Software Engineer,135000.0,6,2,"San Francisco, CA",0,51 to 200 Employees,2,2016,7,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Company - Private,5.0,4.9,4.4,5.0,5.0,4.9,"January Technologies
5.0",2023-05-14 14:16:24.598180
115,Frontend Engineer (Remote),80000.0,2,1,Remote,1,1 to 50 Employees,1,2017,6,Taxi & Car Services,Transportation & Logistics,Unknown / Non-Applicable,-1,Company - Private,4.0,3.9,4.2,3.9,3.8,4.5,"Leaf Logistics
4.0",2023-05-14 14:16:26.671741
116,Software Engineer I,82680.0,-1,1,"Alpharetta, GA",0,10000+ Employees,7,1967,56,Financial Transaction Processing,Financial Services,$5 to $10 billion (USD),8,Company - Public,3.4,3.3,3.3,3.4,3.1,3.4,"Global Payments
3.4",2023-05-14 14:16:28.754620
118,Software Engineer,109000.0,4,1,Remote,1,1001 to 5000 Employees,5,1972,51,Banking & Lending,Financial Services,$500 million to $1 billion (USD),7,Company - Public,3.9,3.8,4.2,4.2,3.7,4.2,"Credit Acceptance
3.9",2023-05-14 14:16:32.746716
119,Software Engineer I,74700.0,140,1,"Des Moines, IA",0,10000+ Employees,7,1879,144,Investment & Asset Management,Financial Services,$10+ billion (USD),9,Company - Public,4.1,3.9,3.9,4.2,3.8,4.1,"Principal Financial Group
4.1",2023-05-14 14:16:34.830007
120,Software Engineer I (NST),96997.0,-1,1,"Redmond, WA",0,5001 to 10000 Employees,6,-1,-1,Video Game Publishing,Media & Communication,$10+ billion (USD),9,Company - Public,4.5,3.9,4.1,4.3,4.0,3.9,"Nintendo
4.5",2023-05-14 14:16:45.668595
122,"Software Engineer, Docs + Wiki",190000.0,-1,1,"San Francisco, CA",0,201 to 500 Employees,3,2016,7,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.9,4.9,4.8,4.9,4.8,4.6,"Notion
4.9",2023-05-14 14:16:49.703123
123,Full Stack Software Engineer,104000.0,-1,1,"Santa Barbara, CA",0,201 to 500 Employees,3,1982,41,Computer Hardware Development,Information Technology,$100 to $500 million (USD),6,Company - Private,3.7,3.6,4.1,3.2,3.0,3.7,"Green Hills Software
3.7",2023-05-14 14:16:51.784666
124,Software Engineer I,82680.0,-1,1,"Alpharetta, GA",0,10000+ Employees,7,1967,56,Financial Transaction Processing,Financial Services,$5 to $10 billion (USD),8,Company - Public,3.4,3.3,3.3,3.4,3.1,3.4,"Global Payments
3.4",2023-05-14 14:16:53.962484
125,Software Engineer,83200.0,-1,1,Remote,1,1 to 50 Employees,1,2013,10,Computer Hardware Development,Information Technology,Less than $1 million (USD),1,Company - Private,4.2,3.8,3.9,4.5,4.0,4.5,"Jumpseller
4.2",2023-05-14 14:16:56.052127
126,Kubernetes Engineer,114400.0,1,3,"Deerfield, IL",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,4.2,3.9,3.7,4.0,4.0,4.2,"Purple Drive Technologies
4.2",2023-05-14 14:16:58.173974
127,Software Engineer I,85000.0,2,1,Remote,1,1 to 50 Employees,1,-1,-1,Health Care Services & Hospitals,Healthcare,Less than $1 million (USD),1,Company - Private,3.9,3.5,2.9,3.9,2.9,3.5,"Apollo Medical Holdings
3.9",2023-05-14 14:17:00.171059
128,Software Engineer (Frontend),155000.0,2,2,"San Francisco, CA",0,501 to 1000 Employees,4,2006,17,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),6,Company - Private,4.3,4.2,4.3,4.4,4.2,4.2,"Demandbase
4.3",2023-05-14 14:17:02.253944
130,"Associate Software Engineer, Server",80055.0,-1,2,"Needham, MA",0,10000+ Employees,7,2003,20,Film Production,Media & Communication,$10+ billion (USD),9,Company - Public,3.8,3.3,3.6,3.7,3.3,3.7,"Warner Bros. Discovery
3.8",2023-05-14 14:17:06.429859
132,Software Engineer - Full Stack,124350.0,20,2,California,0,10000+ Employees,7,1998,25,Internet & Web Services,Information Technology,$10+ billion (USD),9,Company - Public,3.9,3.5,3.9,4.0,3.4,4.0,"PayPal
3.9",2023-05-14 14:17:10.589187
133,Frontend Engineer,140000.0,1,1,"San Francisco, CA",0,10000+ Employees,7,-1,-1,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable,-1,Company - Public,3.8,3.3,3.6,3.7,3.0,4.1,"Hive
3.8",2023-05-14 14:17:12.746054
134,Full Stack Software Engineer,96500.0,-1,1,Remote,1,51 to 200 Employees,2,2012,11,Education & Training Services,Education,Unknown / Non-Applicable,-1,Company - Private,3.1,3.2,2.9,3.4,3.1,3.5,"Packback Inc
3.1",2023-05-14 14:17:14.851723
135,Software Engineer I,78856.0,-1,1,"Carmel, IN",0,51 to 200 Employees,2,2007,16,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.5,3.8,3.6,4.7,4.2,4.6,"Clinical Architecture
4.5",2023-05-14 14:17:16.978095
136,DevOps Engineer,102500.0,-1,2,Remote,1,Unknown,-1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,-1,-1,-1,-1,-1,-1,Seamless Migration LLC,2023-05-14 14:17:19.157486
137,Software Engineer - Remote,79074.0,1,2,"Green Bay, WI",0,51 to 200 Employees,2,-1,-1,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Company - Public,2.9,2.9,3.1,2.9,2.9,3.2,"iboss
2.9",2023-05-14 14:17:20.965444
142,Software Engineer | Frontend,120868.0,2,2,"New York, NY",0,201 to 500 Employees,3,2019,4,Financial Transaction Processing,Financial Services,Unknown / Non-Applicable,-1,Company - Private,4.5,4.7,4.6,4.6,4.5,4.1,"Ramp Financial
4.5",2023-05-14 14:17:31.647933
143,Senior Software Engineer,110000.0,-1,2,Remote,1,10000+ Employees,7,1849,174,Banking & Lending,Financial Services,$5 to $10 billion (USD),8,Company - Public,3.8,3.8,3.6,3.9,3.5,3.8,"KeyBank
3.8",2023-05-14 14:17:33.805841
145,"Software Engineer, Web - Remote",121900.0,2,1,"Lenexa, KS",0,1001 to 5000 Employees,5,1973,50,Stock Exchanges,Financial Services,Unknown / Non-Applicable,-1,Company - Public,4.3,4.1,4.3,4.4,4.2,4.5,"CBOE
4.3",2023-05-14 14:17:37.974940
146,Software Engineer - Frontend,95544.0,3,1,"Salt Lake City, UT",0,501 to 1000 Employees,4,2018,5,"Airlines, Airports & Air Transportation",Transportation & Logistics,Unknown / Non-Applicable,-1,Company - Private,2.7,3.1,2.2,3.1,2.7,2.6,"Breeze Airways™
2.7",2023-05-14 14:17:40.123882
147,Software Engineer - Full Stack,119146.0,-1,2,"Portland, OR",0,10000+ Employees,7,1865,158,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),9,Company - Public,3.7,3.5,3.6,3.8,3.4,3.8,"The Cigna Group
3.7",2023-05-14 14:17:42.319756
148,Software Engineer,125000.0,-1,1,Remote,1,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,5.0,4.0,5.0,5.0,5.0,5.0,"PHNTM
5.0",2023-05-14 14:17:44.509128
