,Job Title,Annual Salary,Experience,Education,Position,Location,Is Remote,Company Size,Company Size Scale,Founded,Company Old,Industry,Sector,Revenue,Revenue Scale,Type of Ownership,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Company Name,Time of Scrape
37,Jr. Software Developer,54080.0,1,0,1,"Visalia, CA",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,4.3,4.0,3.5,4.5,3.5,4.0,"4Creeks Inc.
4.3",2023-05-11 23:26:10.525919
38,Jr. ReactJS/NodeJS Developer,68600.0,2,0,0,Remote,1,10000+ Employees,7,1944,79,Insurance Carriers,Insurance,$10+ billion (USD),9,Nonprofit Organization,4.0,3.7,3.8,4.1,3.7,4.0,"Florida Blue
4.0",2023-05-11 23:26:12.182894
39,API Developer,104000.0,5,1,-1,"Raritan, NJ",0,51 to 200 Employees,2,-1,-1,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Contract,4.3,3.9,4.0,4.4,4.3,4.1,"Global IT
4.3",2023-05-11 23:26:13.949250
41,AWS Developer,90193.0,-1,1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vorizo info tech inc,2023-05-11 23:26:17.277104
42,Software Developer,84040.0,2,0,-1,"Irvine, CA",0,1 to 50 Employees,1,2012,11,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,-1,Company - Private,3.8,3.8,3.5,3.8,3.8,3.5,"U-PARTS
3.8",2023-05-11 23:26:18.781724
44,Software Engineer,115000.0,2,0,-1,Remote,1,51 to 200 Employees,2,-1,-1,Municipal Agencies,Government & Public Administration,Unknown / Non-Applicable,-1,Company - Private,4.8,4.4,4.4,4.7,4.7,5.0,"Polco
4.8",2023-05-11 23:26:21.811704
47,Software Engineer (JavaScript),100000.0,3,1,-1,"San Diego, CA",0,51 to 200 Employees,2,2012,11,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.9,4.1,4.1,4.3,4.1,4.1,"SoftIron
3.9",2023-05-11 23:26:26.495224
48,Jr Frontend Developer,70000.0,10,0,1,"Austin, TX",0,51 to 200 Employees,2,2005,18,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.1,4.1,4.0,4.3,4.1,4.2,"Modernize Home Services
4.1",2023-05-11 23:26:28.345343
50,"Software Developer, Junior",75950.0,-1,0,0,"Charleston, SC",0,10000+ Employees,7,1914,109,Business Consulting,Management & Consulting,$5 to $10 billion (USD),8,Company - Public,4.2,4.1,3.9,4.3,4.0,4.3,"Booz Allen Hamilton
4.2",2023-05-11 23:26:31.755589
51,Junior Software Developer,63227.0,-1,0,0,"Atlanta, GA",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,1.0,1.0,1.0,1.0,1.0,2.0,"RelyMD
1.0",2023-05-11 23:26:33.577480
52,Angular Developer,104000.0,4,0,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,LikeMinded Software,2023-05-11 23:26:35.589630
53,Software Developer,98800.0,6,0,-1,"Dallas, TX",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Symplore,2023-05-11 23:26:37.144714
54,Junior Developer,110000.0,3,0,1,"New York, NY",0,1001 to 5000 Employees,5,1967,56,Investment & Asset Management,Financial Services,$1 to $5 billion (USD),7,Company - Public,3.7,3.5,3.3,3.7,3.4,3.6,"AllianceBernstein
3.7",2023-05-11 23:26:38.583805
55,Software Developer,97500.0,-1,1,1,"Lakewood, CO",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,4.5,3.9,4.0,5.0,3.9,4.5,"Woodridge Software
4.5",2023-05-11 23:26:40.278584
56,Junior Level Software Developer,70000.0,1,0,0,"Princeton, NJ",0,1 to 50 Employees,1,2017,6,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.2,4.2,3.6,4.1,4.1,4.0,"BeaconFire Solution
4.2",2023-05-11 23:26:42.134785
58,Jr Frontend Developer,70000.0,12,0,-1,"Austin, TX",0,501 to 1000 Employees,4,1999,24,Advertising & Public Relations,Media & Communication,$500 million to $1 billion (USD),7,Company - Public,4.1,4.0,3.8,4.0,3.7,4.1,"QuinStreet
4.1",2023-05-11 23:26:45.795765
59,Shopify Developer,145600.0,1,0,1,Remote,1,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Contract,-1,-1,-1,-1,-1,-1,Zora,2023-05-11 23:26:47.566936
60,Full Stack Java,119600.0,1,2,-1,Remote,1,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Contract,4.7,4.7,4.5,4.7,4.3,4.5,"Fuge Technologies Inc
4.7",2023-05-11 23:26:58.531215
61,Java Developer,135200.0,6,0,0,"Denver, CO",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,5.0,4.5,4.5,5.0,5.0,5.0,"Cloud Shift Technologies LLC
5.0",2023-05-11 23:27:00.231636
62,Java AWS Developer ( Only Full Time),130000.0,3,1,-1,"Plano, TX",0,201 to 500 Employees,3,2009,14,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3,Company - Private,4.7,4.4,4.3,4.6,4.4,4.5,"Kani Solutions Inc.
4.7",2023-05-11 23:27:02.046736
63,Trainee - Software Developer,90411.0,1,0,0,"San Francisco, CA",0,51 to 200 Employees,2,-1,-1,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.7,3.8,3.5,3.6,3.6,3.6,"LeewayHertz
3.7",2023-05-11 23:27:03.881144
64,Software Developer I,64400.0,1,0,1,"Riverside, CA",0,1001 to 5000 Employees,5,-1,-1,Colleges & Universities,Education,$100 to $500 million (USD),6,College / University,4.2,3.7,3.5,4.1,3.8,3.9,"University of California, Riverside
4.2",2023-05-11 23:27:05.630905
65,Java Developer,123260.8,8,2,1,"Plano, TX",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Trinity Technologies,2023-05-11 23:27:07.452792
66,Java Developer,84106.0,7,0,0,"Tallahassee, FL",0,201 to 500 Employees,3,2000,23,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.8,3.8,3.0,3.7,3.7,3.7,"Radiant Digital
3.8",2023-05-11 23:27:08.917577
67,Software Developer,93600.0,10,1,1,"Philadelphia, PA",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Contract,-1,-1,-1,-1,-1,-1,Arreglo Consulting,2023-05-11 23:27:10.700033
68,Software Developer I,48370.0,2,0,1,"San Juan, PR",0,1 to 50 Employees,1,-1,-1,Computer Hardware Development,Information Technology,$1 to $5 million (USD),2,Company - Private,3.7,3.6,3.3,4.0,3.5,3.5,"wovenware
3.7",2023-05-11 23:27:12.341916
69,Software Engineer (Neo4J/Binqa),145600.0,5,1,-1,Remote,1,501 to 1000 Employees,4,-1,-1,Information Technology Support Services,Information Technology,$100 to $500 million (USD),6,Company - Private,4.2,3.9,3.9,4.1,3.9,4.3,"CBTS
4.2",2023-05-11 23:27:14.189613
70,Java Developer,124800.0,-1,0,-1,"Irving, TX",0,10000+ Employees,7,1927,96,Food & Beverage Stores,Retail & Wholesale,$1 to $5 billion (USD),7,Company - Private,3.3,3.1,3.0,3.1,3.0,2.9,"7-Eleven
3.3",2023-05-11 23:27:15.881960
71,Backend Developer,124800.0,-1,0,-1,"Irving, TX",0,10000+ Employees,7,1927,96,Food & Beverage Stores,Retail & Wholesale,$1 to $5 billion (USD),7,Company - Private,3.3,3.1,3.0,3.1,3.0,2.9,"7-Eleven
3.3",2023-05-11 23:27:17.761831
72,Python Developer,130000.0,8,1,-1,"Philadelphia, PA",0,201 to 500 Employees,3,2003,20,Enterprise Software & Network Solutions,Information Technology,$25 to $100 million (USD),4,Company - Private,4.3,3.9,3.7,4.2,4.2,4.0,"American Unit
4.3",2023-05-11 23:27:19.573517
73,Java Developer,124800.0,5,0,0,"Tallahassee, FL",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Think Another LLC,2023-05-11 23:27:21.367338
74,Python Developer,122098.0,-1,1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,MNM TEC LLC,2023-05-11 23:27:22.795953
76,Junior Java Developer,69680.0,1,0,-1,"Chicago, IL",0,1 to 50 Employees,1,-1,-1,-1,-1,$1 to $5 million (USD),2,Company - Private,5.0,-1,-1,-1,-1,-1,"DSMH LLC
5.0",2023-05-11 23:27:26.150417
77,Software Developer I,57500.0,4,0,1,Remote,1,1001 to 5000 Employees,5,1985,38,Insurance Agencies & Brokerages,Insurance,$100 to $500 million (USD),6,Company - Public,2.9,3.0,3.0,2.9,2.8,2.7,"SelectQuote
2.9",2023-05-11 23:27:27.730447
78,Java Developer,135200.0,6,0,-1,"O Fallon, MO",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Sana Pivot Inc,2023-05-11 23:27:29.609494
79,Software Developer (Remote),55736.0,5,0,1,"Mandeville, LA",0,501 to 1000 Employees,4,1989,34,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,-1,Company - Private,4.3,3.9,4.1,4.3,4.2,3.9,"Avenu Insights & Analytics
4.3",2023-05-11 23:27:31.049500
80,Developer I,58367.0,3,1,-1,"Plano, TX",0,1 to 50 Employees,1,2013,10,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.1,4.0,3.8,4.0,4.0,4.3,"TBX Employee Benefits, LLC
4.1",2023-05-11 23:27:33.112547
81,Java Developer,101691.2,4,1,-1,"Philadelphia, PA",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,4.1,4.1,4.0,4.0,4.0,4.1,"eJAmerica
4.1",2023-05-11 23:27:34.837572
83,Software Developer,90800.0,-1,0,1,"Laurel, MD",0,51 to 200 Employees,2,2004,19,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3,Company - Private,4.8,4.4,4.5,4.8,4.8,4.8,"Freedom Consulting Group
4.8",2023-05-11 23:27:38.336148
84,Sr. Java Developer,140400.0,-1,2,-1,"San Leandro, CA",0,51 to 200 Employees,2,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,5.0,5.0,4.6,4.8,4.8,4.8,"Hanker System's Inc.
5.0",2023-05-11 23:27:40.612085
85,Developer I,61382.0,5,0,0,"Westerville, OH",0,10000+ Employees,7,1969,54,Shipping & Trucking,Transportation & Logistics,$10+ billion (USD),9,Company - Private,3.8,3.7,3.6,3.8,3.4,3.5,"DHL
3.8",2023-05-11 23:27:43.165378
86,AWS Java Developer,124800.0,6,1,-1,"Plano, TX",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,4.2,3.9,3.7,4.0,4.0,4.2,"Purple Drive Technologies
4.2",2023-05-11 23:27:45.100968
87,Automation Testing Software Developer,114400.0,-1,0,-1,"Tucson, AZ",0,51 to 200 Employees,2,-1,-1,Business Consulting,Management & Consulting,$5 to $25 million (USD),3,Company - Private,3.7,2.3,2.8,3.0,2.6,3.2,"BEPC Inc
3.7",2023-05-11 23:27:47.133038
88,Angular Developer,124800.0,-1,1,-1,"Sturgis, MI",0,1 to 50 Employees,1,-1,-1,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.6,4.6,4.2,4.4,4.3,4.6,"Tekfortune Inc
4.6",2023-05-11 23:27:48.872018
89,Full Stack Software Developer,27040.0,5,1,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Remedy Well,2023-05-11 23:27:50.689782
90,Java AWS Developer ( Only Full Time),130000.0,3,1,-1,"Plano, TX",0,201 to 500 Employees,3,2009,14,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3,Company - Private,4.7,4.4,4.3,4.6,4.4,4.5,"Kani Solutions Inc.
4.7",2023-05-11 23:28:01.493555
91,Java Developer,123260.8,8,2,1,"Plano, TX",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Trinity Technologies,2023-05-11 23:28:03.308525
92,Java Full Stack Developer,135200.0,5,0,-1,"Dallas, TX",0,1 to 50 Employees,1,2007,16,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,Company - Public,3.9,3.9,3.9,3.9,3.8,4.0,"Violetink LLC
3.9",2023-05-11 23:28:04.726408
93,Full Stack Java,119600.0,1,2,-1,Remote,1,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Contract,4.7,4.7,4.5,4.7,4.3,4.5,"Fuge Technologies Inc
4.7",2023-05-11 23:28:06.449286
94,Sr. Full Stack Developer,156000.0,7,0,-1,"Minneapolis, MN",0,1 to 50 Employees,1,2018,5,Information Technology Support Services,Information Technology,$1 to $5 million (USD),2,Company - Private,3.0,-1,-1,-1,-1,-1,"Zelus Inc.
3.0",2023-05-11 23:28:08.113772
95,Java Developer,135200.0,6,0,0,"Denver, CO",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,5.0,4.5,4.5,5.0,5.0,5.0,"Cloud Shift Technologies LLC
5.0",2023-05-11 23:28:09.942648
96,Java Developer,124800.0,5,0,0,"Tallahassee, FL",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Think Another LLC,2023-05-11 23:28:11.587980
97,Java Developer,124800.0,-1,0,-1,"Irving, TX",0,10000+ Employees,7,1927,96,Food & Beverage Stores,Retail & Wholesale,$1 to $5 billion (USD),7,Company - Private,3.3,3.1,3.0,3.1,3.0,2.9,"7-Eleven
3.3",2023-05-11 23:28:13.114863
98,Java Backend Developer,114400.0,6,0,-1,"New York, NY",0,201 to 500 Employees,3,2009,14,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3,Company - Private,4.7,4.4,4.3,4.6,4.4,4.5,"Kani Solutions Inc.
4.7",2023-05-11 23:28:14.962606
99,Java Full Stack Developer,138320.0,4,1,1,"Charlotte, NC",0,201 to 500 Employees,3,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,-1,-1,-1,-1,-1,-1,ZENOTIS TECHNOLOGY PVT LTD,2023-05-11 23:28:16.817095
100,Java Developer,84106.0,7,0,0,"Tallahassee, FL",0,201 to 500 Employees,3,2000,23,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.8,3.8,3.0,3.7,3.7,3.7,"Radiant Digital
3.8",2023-05-11 23:28:18.444680
101,Java Developer,101691.2,4,1,-1,"Philadelphia, PA",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,4.1,4.1,4.0,4.0,4.0,4.1,"eJAmerica
4.1",2023-05-11 23:28:20.259144
102,Java Developer,80000.0,11,0,-1,"Egg Harbor Township, NJ",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,-1,-1,-1,-1,-1,-1,Integrisys LLC,2023-05-11 23:28:21.915125
103,Java Full Stack Developer,130000.0,4,1,-1,Remote,1,51 to 200 Employees,2,2003,20,Business Consulting,Management & Consulting,$5 to $25 million (USD),3,Company - Private,4.1,3.9,3.9,3.8,3.9,4.0,"Kaygen
4.1",2023-05-11 23:28:23.537554
105,Sr. Java Developer,145600.0,2,1,0,"Alpharetta, GA",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Hemanth,2023-05-11 23:28:26.778666
106,Full Stack developer,170560.0,5,0,-1,"Dearborn, MI",0,10000+ Employees,7,1987,36,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),7,Subsidiary or Business Segment,3.8,3.5,3.3,3.7,3.5,3.7,"Stefanini, Inc
3.8",2023-05-11 23:28:28.346244
107,Full Stack Developer,124800.0,1,1,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,LotusData,2023-05-11 23:28:30.228257
108,Java Full Stack Developer,130000.0,4,1,-1,"Wilmington, DE",0,201 to 500 Employees,3,2009,14,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3,Company - Private,4.7,4.4,4.3,4.6,4.4,4.5,"Kani Solutions Inc.
4.7",2023-05-11 23:28:31.836009
109,Full Stack Java Trainee,62400.0,-1,0,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,SNVA Ventures,2023-05-11 23:28:33.935043
110,Full Stack Developer,162240.0,10,0,1,"Windsor Mill, MD",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vision,2023-05-11 23:28:35.367748
111,Junior Developer,85238.4,-1,0,-1,"Phoenix, AZ",0,1 to 50 Employees,1,-1,-1,-1,-1,Less than $1 million (USD),1,Company - Private,2.1,1.7,2.0,1.7,1.7,1.7,"Iannarino Fullen Group
2.1",2023-05-11 23:28:36.921423
112,Sr. Java Developer,140400.0,-1,2,-1,"San Leandro, CA",0,51 to 200 Employees,2,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,5.0,5.0,4.6,4.8,4.8,4.8,"Hanker System's Inc.
5.0",2023-05-11 23:28:38.622306
113,Training and Placement for Python (AWS) and Java Full Stack Developer,91520.0,1,1,1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Precision Technology Corp,2023-05-11 23:28:40.628781
114,Java Scala Developer,114400.0,8,1,-1,"New York, NY",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1POINT SYSTEM LLC,2023-05-11 23:28:42.409657
115,Full Stack Developer,104000.0,10,1,-1,"Jersey City, NJ",0,Unknown,-1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,4.0,4.2,4.2,4.0,3.4,4.0,"High5
4.0",2023-05-11 23:28:43.972037
116,Java React Developer,130000.0,8,1,0,"Minneapolis, NC",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Sripen,2023-05-11 23:28:45.625036
117,Full Stack Java Developer,83200.0,3,0,1,"Lisle, IL",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,VKAAS,2023-05-11 23:28:47.322332
118,Java Application Developer,92289.6,5,0,-1,"Detroit, MI",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,3.3,3.3,3.3,3.3,3.3,3.3,"Xiar tech inc
3.3",2023-05-11 23:28:48.778096
119,Sr. Java Developer,98800.0,8,0,-1,"Alpharetta, GA",0,1001 to 5000 Employees,5,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,4.5,4.5,3.5,4.0,3.5,4.5,"Appsintegration INC
4.5",2023-05-11 23:28:50.585814
120,"Full Stack Java Developer (AWS, 10+ Years)",156000.0,10,0,1,"Chicago, IL",0,1 to 50 Employees,1,-1,-1,-1,-1,$1 to $5 million (USD),2,Company - Private,5.0,-1,-1,-1,-1,-1,"DSMH LLC
5.0",2023-05-11 23:29:01.644552
